 #---------------------------------------------------------------------------
 #   gamma p --> pi0 p                     Apr2013
 #
 #        Q - polar angle of pi0 meson in CMS
 #        err2 = sqrt(stat**2 + (0.02*ds/dOmega)**2)
 #---------------------------------------------------------------------------
 # Eg[MeV]  Eg_min   Eg_max   W[GeV]  cos(Q)    Q    ds/dOmega  stat.  err2
 #                                            [deg]   [µb/sr]   err.
 #--------------------------------------------------------------------------
   218.37   216.22   220.52  1.13584  -0.967  165.16  2.6843  0.0198  0.0572
   218.37   216.22   220.52  1.13584  -0.900  154.16  2.8335  0.0195  0.0599
   218.37   216.22   220.52  1.13584  -0.833  146.44  3.0251  0.0197  0.0636
   218.37   216.22   220.52  1.13584  -0.767  140.06  3.1755  0.0197  0.0665
   218.37   216.22   220.52  1.13584  -0.700  134.43  3.3341  0.0199  0.0696
   218.37   216.22   220.52  1.13584  -0.633  129.30  3.4336  0.0200  0.0715
   218.37   216.22   220.52  1.13584  -0.567  124.52  3.5554  0.0202  0.0739
   218.37   216.22   220.52  1.13584  -0.500  120.00  3.5724  0.0199  0.0742
   218.37   216.22   220.52  1.13584  -0.433  115.68  3.6805  0.0201  0.0763
   218.37   216.22   220.52  1.13584  -0.367  111.51  3.7623  0.0202  0.0779
   218.37   216.22   220.52  1.13584  -0.300  107.46  3.7826  0.0201  0.0783
   218.37   216.22   220.52  1.13584  -0.233  103.49  3.8140  0.0201  0.0789
   218.37   216.22   220.52  1.13584  -0.167   99.59  3.7808  0.0198  0.0782
   218.37   216.22   220.52  1.13584  -0.100   95.74  3.8041  0.0198  0.0786
   218.37   216.22   220.52  1.13584  -0.033   91.91  3.7643  0.0196  0.0778
   218.37   216.22   220.52  1.13584   0.033   88.09  3.7443  0.0195  0.0774
   218.37   216.22   220.52  1.13584   0.100   84.26  3.6907  0.0194  0.0763
   218.37   216.22   220.52  1.13584   0.167   80.41  3.6443  0.0193  0.0754
   218.37   216.22   220.52  1.13584   0.233   76.51  3.5625  0.0191  0.0738
   218.37   216.22   220.52  1.13584   0.300   72.54  3.4574  0.0189  0.0717
   218.37   216.22   220.52  1.13584   0.367   68.49  3.3363  0.0189  0.0694
