 #---------------------------------------------------------------------------
 #   gamma p --> pi0 p                     Oct2014
 #
 #        Q - polar angle of pi0 meson in CMS
 #        err2 = sqrt(stat**2 + (0.04*ds/dOmega)**2)
 #---------------------------------------------------------------------------
 # Eg[MeV]  Eg_min   Eg_max   W[GeV]  cos(Q)    Q    ds/dOmega  stat.  err2
 #                                            [deg]   [µb/sr]   err.   
 #--------------------------------------------------------------------------
  1427.90  1424.73  1431.07  1.88676  -0.833  146.44  1.3414  0.0631  0.0653
  1427.90  1424.73  1431.07  1.88676  -0.767  140.06  1.2518  0.0330  0.0365
  1427.90  1424.73  1431.07  1.88676  -0.700  134.43  0.9216  0.0165  0.0201
  1427.90  1424.73  1431.07  1.88676  -0.633  129.30  0.7520  0.0104  0.0140
  1427.90  1424.73  1431.07  1.88676  -0.567  124.52  0.6575  0.0082  0.0116
  1427.90  1424.73  1431.07  1.88676  -0.500  120.00  0.6128  0.0073  0.0106
  1427.90  1424.73  1431.07  1.88676  -0.433  115.68  0.6250  0.0070  0.0105
  1427.90  1424.73  1431.07  1.88676  -0.367  111.51  0.6390  0.0068  0.0105
  1427.90  1424.73  1431.07  1.88676  -0.300  107.46  0.6720  0.0066  0.0107
  1427.90  1424.73  1431.07  1.88676  -0.233  103.49  0.7483  0.0070  0.0117
  1427.90  1424.73  1431.07  1.88676  -0.167   99.59  0.8128  0.0073  0.0125
  1427.90  1424.73  1431.07  1.88676  -0.100   95.74  0.8741  0.0079  0.0135
  1427.90  1424.73  1431.07  1.88676  -0.033   91.91  0.9204  0.0083  0.0142
  1427.90  1424.73  1431.07  1.88676   0.033   88.09  0.9188  0.0084  0.0142
  1427.90  1424.73  1431.07  1.88676   0.100   84.26  0.8875  0.0082  0.0138
  1427.90  1424.73  1431.07  1.88676   0.167   80.41  0.8314  0.0080  0.0131
  1427.90  1424.73  1431.07  1.88676   0.233   76.51  0.7376  0.0074  0.0118
  1427.90  1424.73  1431.07  1.88676   0.300   72.54  0.6186  0.0067  0.0102
  1427.90  1424.73  1431.07  1.88676   0.367   68.49  0.5107  0.0061  0.0088
  1427.90  1424.73  1431.07  1.88676   0.433   64.32  0.4521  0.0058  0.0081
  1427.90  1424.73  1431.07  1.88676   0.500   60.00  0.4930  0.0064  0.0089
  1427.90  1424.73  1431.07  1.88676   0.567   55.48  0.5556  0.0072  0.0100
  1427.90  1424.73  1431.07  1.88676   0.633   50.70  0.7860  0.0103  0.0142
  1427.90  1424.73  1431.07  1.88676   0.700   45.57  1.2084  0.0168  0.0226
  1427.90  1424.73  1431.07  1.88676   0.767   39.94  1.6254  0.0261  0.0331
  1427.90  1424.73  1431.07  1.88676   0.833   33.56  2.0119  0.0652  0.0699
  1434.32  1431.07  1437.55  1.88995  -0.833  146.44  1.3327  0.0620  0.0642
  1434.32  1431.07  1437.55  1.88995  -0.767  140.06  1.1701  0.0323  0.0355
  1434.32  1431.07  1437.55  1.88995  -0.700  134.43  0.9151  0.0166  0.0202
  1434.32  1431.07  1437.55  1.88995  -0.633  129.30  0.7404  0.0105  0.0140
  1434.32  1431.07  1437.55  1.88995  -0.567  124.52  0.6528  0.0084  0.0117
  1434.32  1431.07  1437.55  1.88995  -0.500  120.00  0.6319  0.0075  0.0109
  1434.32  1431.07  1437.55  1.88995  -0.433  115.68  0.6209  0.0071  0.0105
  1434.32  1431.07  1437.55  1.88995  -0.367  111.51  0.6401  0.0070  0.0106
  1434.32  1431.07  1437.55  1.88995  -0.300  107.46  0.6764  0.0069  0.0109
  1434.32  1431.07  1437.55  1.88995  -0.233  103.49  0.7473  0.0072  0.0118
  1434.32  1431.07  1437.55  1.88995  -0.167   99.59  0.8113  0.0076  0.0127
  1434.32  1431.07  1437.55  1.88995  -0.100   95.74  0.9042  0.0084  0.0141
  1434.32  1431.07  1437.55  1.88995  -0.033   91.91  0.9231  0.0086  0.0144
  1434.32  1431.07  1437.55  1.88995   0.033   88.09  0.9353  0.0087  0.0146
  1434.32  1431.07  1437.55  1.88995   0.100   84.26  0.8740  0.0084  0.0138
  1434.32  1431.07  1437.55  1.88995   0.167   80.41  0.8211  0.0081  0.0131
  1434.32  1431.07  1437.55  1.88995   0.233   76.51  0.7270  0.0077  0.0119
  1434.32  1431.07  1437.55  1.88995   0.300   72.54  0.6080  0.0068  0.0102
  1434.32  1431.07  1437.55  1.88995   0.367   68.49  0.4935  0.0060  0.0086
  1434.32  1431.07  1437.55  1.88995   0.433   64.32  0.4330  0.0058  0.0079
