E =  218.370 MeV, E_lo =  216.220 MeV, E_hi =  220.520 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     2.684300     0.019800     0.053664
154.160     2.833500     0.019500     0.056637
146.440     3.025100     0.019700     0.060472
140.060     3.175500     0.019700     0.063515
134.430     3.334100     0.019900     0.066694
129.300     3.433600     0.020000     0.068646
124.520     3.555400     0.020200     0.071086
120.000     3.572400     0.019900     0.071482
115.680     3.680500     0.020100     0.073605
111.510     3.762300     0.020200     0.075235
107.460     3.782600     0.020100     0.075676
103.490     3.814000     0.020100     0.076297
 99.590     3.780800     0.019800     0.075652
 95.740     3.804100     0.019800     0.076065
 91.910     3.764300     0.019600     0.075291
 88.090     3.744300     0.019500     0.074903
 84.260     3.690700     0.019400     0.073792
 80.410     3.644300     0.019300     0.072888
 76.510     3.562500     0.019100     0.071286
 72.540     3.457400     0.018900     0.069164
 68.490     3.336300     0.018900     0.066777
 64.320     3.225400     0.018800     0.064517
 60.000     3.106100     0.018900     0.062087
 55.480     2.927300     0.018900     0.058524
 50.700     2.744200     0.019100     0.054871
 45.570     2.508600     0.019200     0.050150
 39.940     2.299500     0.019800     0.046021
 33.560     2.074100     0.020800     0.041477
 25.840     1.838700     0.022600     0.036817
 14.840     1.630900     0.026000     0.032602
-----------------------------------------------------------
E =  222.680 MeV, E_lo =  220.520 MeV, E_hi =  224.830 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     2.971200     0.019800     0.059386
154.160     3.214300     0.019800     0.064321
146.440     3.436900     0.020000     0.068750
140.060     3.597200     0.019900     0.071897
134.430     3.748800     0.020000     0.074978
129.300     3.897400     0.020200     0.077924
124.520     4.051100     0.020500     0.081048
120.000     4.140200     0.020400     0.082825
115.680     4.266700     0.020600     0.085349
111.510     4.303100     0.020500     0.086093
107.460     4.371900     0.020500     0.087429
103.490     4.356600     0.020400     0.087144
 99.590     4.411200     0.020300     0.088194
 95.740     4.418000     0.020300     0.088399
 91.910     4.375800     0.020100     0.087522
 88.090     4.327600     0.019800     0.086564
 84.260     4.249000     0.019600     0.084969
 80.410     4.208600     0.019600     0.084147
 76.510     4.128900     0.019500     0.082528
 72.540     3.996800     0.019200     0.079926
 68.490     3.893400     0.019200     0.077868
 64.320     3.711300     0.019100     0.074181
 60.000     3.530900     0.019000     0.070588
 55.480     3.379500     0.019100     0.067552
 50.700     3.175900     0.019300     0.063533
 45.570     2.936400     0.019500     0.058748
 39.940     2.676200     0.019900     0.053520
 33.560     2.417800     0.020900     0.048379
 25.840     2.069200     0.022600     0.041438
 14.840     1.746600     0.026200     0.034975
-----------------------------------------------------------
