 W         E0+(eta_p) 
 (MeV)     Re      Im 
1487.5 13.0811 8.9347 
1493.8 10.2844 10.9835 
1500.1 8.3327 12.0512 
1506.3 6.6048 12.6948 
1512.5 5.0148 13.0337 
1518.7 3.5490 13.1296 
1524.9 2.2102 13.0289 
1531.0 1.0031 12.7720 
1537.1 -0.0710 12.3947 
1543.2 -1.0149 11.9282 
1549.3 -1.8350 11.3986 
1555.3 -2.5399 10.8270 
1561.4 -3.1399 10.2298 
1567.4 -3.6450 9.6190 
1573.3 -4.0648 9.0031 
1579.3 -4.4078 8.3876 
1585.2 -4.6805 7.7762 
1591.1 -4.8876 7.1713 
1597.0 -5.0318 6.5748 
1602.9 -5.1137 5.9894 
1608.7 -5.1326 5.4195 
1614.5 -5.0876 4.8718 
1620.3 -4.9787 4.3561 
1626.1 -4.8096 3.8846 
1631.9 -4.5884 3.4704 
1637.6 -4.3292 3.1242 
1643.3 -4.0502 2.8517 
1649.0 -3.7710 2.6514 
1654.7 -3.5088 2.5151 
1660.4 -3.2757 2.4298 
1666.0 -3.0775 2.3810 
1671.7 -2.9150 2.3551 
1677.3 -2.7853 2.3415 
1682.8 -2.6836 2.3324 
1688.4 -2.6046 2.3228 
1694.0 -2.5433 2.3098 
1699.5 -2.4954 2.2922 
1705.0 -2.4573 2.2696 
1710.5 -2.4263 2.2423 
1716.0 -2.4003 2.2106 
1721.4 -2.3778 2.1754 
1726.9 -2.3576 2.1373 
1732.3 -2.3390 2.0968 
1737.7 -2.3214 2.0547 
1743.1 -2.3044 2.0112 
1748.5 -2.2878 1.9669 
1753.8 -2.2713 1.9221 
1759.2 -2.2551 1.8770 
1764.5 -2.2389 1.8319 
1769.8 -2.2228 1.7868 
1775.1 -2.2068 1.7420 
1780.4 -2.1910 1.6974 
1785.6 -2.1754 1.6532 
1790.9 -2.1600 1.6092 
1796.1 -2.1449 1.5654 
1801.3 -2.1302 1.5219 
1806.5 -2.1158 1.4783 
1811.7 -2.1020 1.4347 
1816.9 -2.0885 1.3907 
1822.0 -2.0755 1.3462 
1827.2 -2.0630 1.3009 
1832.3 -2.0507 1.2543 
1837.4 -2.0385 1.2062 
1842.5 -2.0260 1.1559 
1847.6 -2.0129 1.1030 
1852.7 -1.9982 1.0469 
1857.7 -1.9809 0.9871 
1862.8 -1.9595 0.9233 
1867.8 -1.9319 0.8557 
1872.8 -1.8956 0.7853 
1877.8 -1.8483 0.7143 
1882.8 -1.7879 0.6465 
1887.8 -1.7143 0.5872 
1892.8 -1.6302 0.5418 
1897.7 -1.5409 0.5144 
1902.7 -1.4535 0.5059 
1907.6 -1.3743 0.5136 
1912.5 -1.3075 0.5327 
1917.4 -1.2541 0.5576 
1922.3 -1.2132 0.5838 
1927.2 -1.1825 0.6083 
1932.0 -1.1597 0.6296 
1936.9 -1.1425 0.6469 
1941.7 -1.1291 0.6603 
1946.5 -1.1184 0.6700 
1951.3 -1.1094 0.6765 
1956.1 -1.1013 0.6803 
1960.9 -1.0938 0.6819 
1965.7 -1.0867 0.6815 
1970.5 -1.0796 0.6797 
1975.2 -1.0725 0.6766 
1980.0 -1.0653 0.6724 
1984.7 -1.0580 0.6675 
1989.4 -1.0506 0.6619 
1994.2 -1.0430 0.6558 
1998.9 -1.0352 0.6492 
2003.5 -1.0274 0.6424 
2008.2 -1.0194 0.6353 
2012.9 -1.0113 0.6281 
2017.5 -1.0031 0.6207 
2022.2 -0.9949 0.6132 
2026.8 -0.9866 0.6057 
2031.4 -0.9782 0.5981 
2036.1 -0.9699 0.5906 
2040.7 -0.9615 0.5831 
2045.3 -0.9531 0.5756 
2049.8 -0.9447 0.5682 
2054.4 -0.9363 0.5608 
2059.0 -0.9279 0.5535 
2063.5 -0.9196 0.5463 
2068.1 -0.9113 0.5392 
2072.6 -0.9030 0.5321 
2077.1 -0.8948 0.5252 
2081.6 -0.8866 0.5184 
2086.1 -0.8785 0.5116 
2090.6 -0.8704 0.5050 
2095.1 -0.8624 0.4984 
2099.6 -0.8545 0.4920 
2104.0 -0.8466 0.4857 
2108.5 -0.8388 0.4794 
2112.9 -0.8310 0.4733 
2117.4 -0.8233 0.4673 
2121.8 -0.8157 0.4613 
2126.2 -0.8082 0.4555 
2130.6 -0.8008 0.4498 
2135.0 -0.7934 0.4441 
2139.4 -0.7861 0.4386 
2143.8 -0.7788 0.4332 
2148.2 -0.7717 0.4278 
2152.5 -0.7646 0.4225 
2156.9 -0.7576 0.4174 
2161.2 -0.7507 0.4123 
2165.6 -0.7438 0.4073 
2169.9 -0.7370 0.4024 
2174.2 -0.7303 0.3976 
2178.5 -0.7237 0.3928 
2182.8 -0.7172 0.3881 
2187.1 -0.7107 0.3836 
2191.4 -0.7043 0.3791 
2195.7 -0.6979 0.3746 
2200.0 -0.6917 0.3703 
2204.2 -0.6855 0.3660 
2208.5 -0.6794 0.3618 
2212.7 -0.6733 0.3576 
2217.0 -0.6674 0.3536 
2221.2 -0.6615 0.3496 
2225.4 -0.6556 0.3456 
2229.6 -0.6499 0.3418 
2233.8 -0.6441 0.3379 
2238.0 -0.6385 0.3342 
