 W         E3-(eta_p) 
 (MeV)     Re      Im 
1487.5 0.0000 0.0000 
1493.8 0.0006 0.0001 
1500.1 0.0014 0.0002 
1506.3 0.0025 0.0004 
1512.5 0.0039 0.0006 
1518.7 0.0054 0.0009 
1524.9 0.0071 0.0014 
1531.0 0.0091 0.0019 
1537.1 0.0112 0.0025 
1543.2 0.0136 0.0033 
1549.3 0.0162 0.0042 
1555.3 0.0190 0.0054 
1561.4 0.0220 0.0068 
1567.4 0.0253 0.0085 
1573.3 0.0288 0.0106 
1579.3 0.0326 0.0131 
1585.2 0.0365 0.0161 
1591.1 0.0406 0.0198 
1597.0 0.0449 0.0241 
1602.9 0.0491 0.0293 
1608.7 0.0533 0.0354 
1614.5 0.0573 0.0426 
1620.3 0.0607 0.0510 
1626.1 0.0634 0.0606 
1631.9 0.0650 0.0715 
1637.6 0.0649 0.0836 
1643.3 0.0629 0.0965 
1649.0 0.0584 0.1098 
1654.7 0.0513 0.1230 
1660.4 0.0415 0.1352 
1666.0 0.0291 0.1457 
1671.7 0.0148 0.1538 
1677.3 -0.0008 0.1591 
1682.8 -0.0168 0.1614 
1688.4 -0.0324 0.1609 
1694.0 -0.0471 0.1578 
1699.5 -0.0605 0.1528 
1705.0 -0.0722 0.1464 
1710.5 -0.0822 0.1389 
1716.0 -0.0907 0.1309 
1721.4 -0.0978 0.1225 
1726.9 -0.1035 0.1142 
1732.3 -0.1082 0.1059 
1737.7 -0.1119 0.0979 
1743.1 -0.1148 0.0900 
1748.5 -0.1171 0.0825 
1753.8 -0.1188 0.0753 
1759.2 -0.1201 0.0683 
1764.5 -0.1210 0.0616 
1769.8 -0.1215 0.0551 
1775.1 -0.1217 0.0488 
1780.4 -0.1217 0.0427 
1785.6 -0.1214 0.0368 
1790.9 -0.1208 0.0310 
1796.1 -0.1200 0.0253 
1801.3 -0.1190 0.0198 
1806.5 -0.1177 0.0144 
1811.7 -0.1162 0.0092 
1816.9 -0.1145 0.0041 
1822.0 -0.1125 -0.0009 
1827.2 -0.1103 -0.0057 
1832.3 -0.1079 -0.0103 
1837.4 -0.1052 -0.0147 
1842.5 -0.1024 -0.0189 
1847.6 -0.0994 -0.0228 
1852.7 -0.0962 -0.0265 
1857.7 -0.0929 -0.0300 
1862.8 -0.0895 -0.0333 
1867.8 -0.0860 -0.0362 
1872.8 -0.0825 -0.0390 
1877.8 -0.0789 -0.0415 
1882.8 -0.0752 -0.0437 
1887.8 -0.0716 -0.0457 
1892.8 -0.0680 -0.0475 
1897.7 -0.0644 -0.0491 
1902.7 -0.0608 -0.0504 
1907.6 -0.0573 -0.0516 
1912.5 -0.0538 -0.0526 
1917.4 -0.0505 -0.0534 
1922.3 -0.0472 -0.0541 
1927.2 -0.0440 -0.0546 
1932.0 -0.0408 -0.0550 
1936.9 -0.0378 -0.0553 
1941.7 -0.0349 -0.0555 
1946.5 -0.0320 -0.0555 
1951.3 -0.0293 -0.0555 
1956.1 -0.0266 -0.0555 
1960.9 -0.0240 -0.0553 
1965.7 -0.0215 -0.0551 
1970.5 -0.0192 -0.0548 
1975.2 -0.0168 -0.0545 
1980.0 -0.0146 -0.0542 
1984.7 -0.0125 -0.0538 
1989.4 -0.0104 -0.0534 
1994.2 -0.0084 -0.0529 
1998.9 -0.0065 -0.0525 
2003.5 -0.0046 -0.0520 
2008.2 -0.0028 -0.0515 
2012.9 -0.0011 -0.0510 
2017.5 0.0006 -0.0504 
2022.2 0.0022 -0.0499 
2026.8 0.0037 -0.0494 
2031.4 0.0052 -0.0489 
2036.1 0.0067 -0.0483 
2040.7 0.0081 -0.0478 
2045.3 0.0094 -0.0472 
2049.8 0.0107 -0.0467 
2054.4 0.0120 -0.0462 
2059.0 0.0132 -0.0456 
2063.5 0.0144 -0.0451 
2068.1 0.0156 -0.0446 
2072.6 0.0167 -0.0441 
2077.1 0.0178 -0.0436 
2081.6 0.0189 -0.0431 
2086.1 0.0199 -0.0426 
2090.6 0.0209 -0.0421 
2095.1 0.0219 -0.0416 
2099.6 0.0228 -0.0411 
2104.0 0.0238 -0.0407 
2108.5 0.0247 -0.0402 
2112.9 0.0256 -0.0397 
2117.4 0.0264 -0.0393 
2121.8 0.0272 -0.0389 
2126.2 0.0281 -0.0384 
2130.6 0.0289 -0.0380 
2135.0 0.0296 -0.0376 
2139.4 0.0304 -0.0372 
2143.8 0.0312 -0.0368 
2148.2 0.0319 -0.0364 
2152.5 0.0326 -0.0360 
2156.9 0.0333 -0.0356 
2161.2 0.0340 -0.0352 
2165.6 0.0347 -0.0349 
2169.9 0.0353 -0.0345 
2174.2 0.0360 -0.0342 
2178.5 0.0366 -0.0338 
2182.8 0.0372 -0.0335 
2187.1 0.0379 -0.0331 
2191.4 0.0385 -0.0328 
2195.7 0.0390 -0.0325 
2200.0 0.0396 -0.0322 
2204.2 0.0402 -0.0319 
2208.5 0.0408 -0.0316 
2212.7 0.0413 -0.0313 
2217.0 0.0419 -0.0310 
2221.2 0.0424 -0.0307 
2225.4 0.0429 -0.0304 
2229.6 0.0435 -0.0301 
2233.8 0.0440 -0.0298 
2238.0 0.0445 -0.0296 
