 W         M1-(eta_p) 
 (MeV)     Re      Im 
1487.5 0.0452 -0.0020 
1493.8 0.1040 -0.0052 
1500.1 0.1366 -0.0077 
1506.3 0.1599 -0.0100 
1512.5 0.1777 -0.0125 
1518.7 0.1915 -0.0151 
1524.9 0.2021 -0.0180 
1531.0 0.2102 -0.0211 
1537.1 0.2159 -0.0245 
1543.2 0.2196 -0.0284 
1549.3 0.2214 -0.0327 
1555.3 0.2213 -0.0375 
1561.4 0.2195 -0.0429 
1567.4 0.2160 -0.0490 
1573.3 0.2109 -0.0559 
1579.3 0.2040 -0.0637 
1585.2 0.1955 -0.0727 
1591.1 0.1852 -0.0829 
1597.0 0.1733 -0.0946 
1602.9 0.1596 -0.1081 
1608.7 0.1441 -0.1236 
1614.5 0.1269 -0.1417 
1620.3 0.1080 -0.1627 
1626.1 0.0874 -0.1872 
1631.9 0.0654 -0.2159 
1637.6 0.0422 -0.2496 
1643.3 0.0184 -0.2892 
1649.0 -0.0054 -0.3359 
1654.7 -0.0279 -0.3907 
1660.4 -0.0475 -0.4550 
1666.0 -0.0617 -0.5298 
1671.7 -0.0671 -0.6157 
1677.3 -0.0596 -0.7124 
1682.8 -0.0341 -0.8180 
1688.4 0.0146 -0.9281 
1694.0 0.0906 -1.0354 
1699.5 0.1948 -1.1303 
1705.0 0.3236 -1.2020 
1710.5 0.4682 -1.2417 
1716.0 0.6162 -1.2455 
1721.4 0.7552 -1.2156 
1726.9 0.8756 -1.1591 
1732.3 0.9725 -1.0853 
1737.7 1.0451 -1.0033 
1743.1 1.0958 -0.9200 
1748.5 1.1284 -0.8405 
1753.8 1.1468 -0.7673 
1759.2 1.1547 -0.7019 
1764.5 1.1552 -0.6444 
1769.8 1.1508 -0.5946 
1775.1 1.1436 -0.5516 
1780.4 1.1350 -0.5147 
1785.6 1.1261 -0.4828 
1790.9 1.1177 -0.4548 
1796.1 1.1101 -0.4296 
1801.3 1.1033 -0.4062 
1806.5 1.0969 -0.3839 
1811.7 1.0906 -0.3623 
1816.9 1.0840 -0.3413 
1822.0 1.0767 -0.3208 
1827.2 1.0686 -0.3011 
1832.3 1.0595 -0.2825 
1837.4 1.0498 -0.2649 
1842.5 1.0394 -0.2486 
1847.6 1.0285 -0.2335 
1852.7 1.0174 -0.2196 
1857.7 1.0061 -0.2068 
1862.8 0.9948 -0.1952 
1867.8 0.9835 -0.1845 
1872.8 0.9723 -0.1748 
1877.8 0.9613 -0.1658 
1882.8 0.9504 -0.1576 
1887.8 0.9397 -0.1501 
1892.8 0.9293 -0.1431 
1897.7 0.9190 -0.1367 
1902.7 0.9090 -0.1308 
1907.6 0.8991 -0.1252 
1912.5 0.8895 -0.1201 
1917.4 0.8801 -0.1153 
1922.3 0.8708 -0.1109 
1927.2 0.8618 -0.1067 
1932.0 0.8529 -0.1028 
1936.9 0.8442 -0.0992 
1941.7 0.8357 -0.0957 
1946.5 0.8273 -0.0925 
1951.3 0.8191 -0.0895 
1956.1 0.8110 -0.0866 
1960.9 0.8030 -0.0839 
1965.7 0.7952 -0.0813 
1970.5 0.7875 -0.0789 
1975.2 0.7799 -0.0765 
1980.0 0.7724 -0.0743 
1984.7 0.7650 -0.0723 
1989.4 0.7578 -0.0703 
1994.2 0.7506 -0.0684 
1998.9 0.7435 -0.0666 
2003.5 0.7366 -0.0648 
2008.2 0.7297 -0.0632 
2012.9 0.7228 -0.0616 
2017.5 0.7161 -0.0601 
2022.2 0.7095 -0.0586 
2026.8 0.7029 -0.0573 
2031.4 0.6964 -0.0559 
2036.1 0.6899 -0.0546 
2040.7 0.6835 -0.0534 
2045.3 0.6772 -0.0522 
2049.8 0.6710 -0.0511 
2054.4 0.6648 -0.0500 
2059.0 0.6587 -0.0489 
2063.5 0.6526 -0.0479 
2068.1 0.6466 -0.0469 
2072.6 0.6406 -0.0460 
2077.1 0.6347 -0.0451 
2081.6 0.6288 -0.0442 
2086.1 0.6230 -0.0433 
2090.6 0.6172 -0.0425 
2095.1 0.6115 -0.0417 
2099.6 0.6058 -0.0409 
2104.0 0.6002 -0.0402 
2108.5 0.5946 -0.0394 
2112.9 0.5891 -0.0387 
2117.4 0.5836 -0.0381 
2121.8 0.5781 -0.0374 
2126.2 0.5727 -0.0368 
2130.6 0.5673 -0.0361 
2135.0 0.5619 -0.0355 
2139.4 0.5566 -0.0349 
2143.8 0.5514 -0.0344 
2148.2 0.5461 -0.0338 
2152.5 0.5409 -0.0333 
2156.9 0.5357 -0.0327 
2161.2 0.5306 -0.0322 
2165.6 0.5255 -0.0317 
2169.9 0.5204 -0.0312 
2174.2 0.5154 -0.0307 
2178.5 0.5104 -0.0303 
2182.8 0.5054 -0.0298 
2187.1 0.5005 -0.0294 
2191.4 0.4955 -0.0290 
2195.7 0.4907 -0.0285 
2200.0 0.4858 -0.0281 
2204.2 0.4810 -0.0277 
2208.5 0.4762 -0.0273 
2212.7 0.4714 -0.0270 
2217.0 0.4667 -0.0266 
2221.2 0.4620 -0.0262 
2225.4 0.4573 -0.0259 
2229.6 0.4526 -0.0255 
2233.8 0.4480 -0.0252 
2238.0 0.4434 -0.0249 
