 W         M1+(eta_p) 
 (MeV)     Re      Im 
1487.5 0.0632 -0.0186 
1493.8 0.1498 -0.0469 
1500.1 0.2034 -0.0673 
1506.3 0.2471 -0.0858 
1512.5 0.2860 -0.1035 
1518.7 0.3221 -0.1208 
1524.9 0.3569 -0.1377 
1531.0 0.3909 -0.1543 
1537.1 0.4248 -0.1703 
1543.2 0.4588 -0.1857 
1549.3 0.4933 -0.2002 
1555.3 0.5283 -0.2138 
1561.4 0.5639 -0.2261 
1567.4 0.6001 -0.2370 
1573.3 0.6370 -0.2464 
1579.3 0.6743 -0.2541 
1585.2 0.7120 -0.2600 
1591.1 0.7500 -0.2640 
1597.0 0.7880 -0.2660 
1602.9 0.8260 -0.2660 
1608.7 0.8638 -0.2641 
1614.5 0.9012 -0.2602 
1620.3 0.9381 -0.2544 
1626.1 0.9744 -0.2467 
1631.9 1.0100 -0.2371 
1637.6 1.0447 -0.2259 
1643.3 1.0785 -0.2130 
1649.0 1.1113 -0.1986 
1654.7 1.1430 -0.1827 
1660.4 1.1736 -0.1654 
1666.0 1.2031 -0.1468 
1671.7 1.2314 -0.1269 
1677.3 1.2584 -0.1059 
1682.8 1.2842 -0.0837 
1688.4 1.3087 -0.0605 
1694.0 1.3319 -0.0364 
1699.5 1.3538 -0.0113 
1705.0 1.3743 0.0147 
1710.5 1.3935 0.0415 
1716.0 1.4112 0.0690 
1721.4 1.4276 0.0973 
1726.9 1.4424 0.1262 
1732.3 1.4558 0.1557 
1737.7 1.4677 0.1857 
1743.1 1.4780 0.2163 
1748.5 1.4868 0.2472 
1753.8 1.4940 0.2785 
1759.2 1.4995 0.3101 
1764.5 1.5034 0.3419 
1769.8 1.5056 0.3738 
1775.1 1.5061 0.4057 
1780.4 1.5049 0.4375 
1785.6 1.5021 0.4692 
1790.9 1.4975 0.5007 
1796.1 1.4912 0.5318 
1801.3 1.4832 0.5624 
1806.5 1.4736 0.5925 
1811.7 1.4623 0.6219 
1816.9 1.4494 0.6505 
1822.0 1.4350 0.6782 
1827.2 1.4192 0.7050 
1832.3 1.4019 0.7307 
1837.4 1.3833 0.7553 
1842.5 1.3635 0.7786 
1847.6 1.3425 0.8006 
1852.7 1.3205 0.8212 
1857.7 1.2976 0.8404 
1862.8 1.2738 0.8582 
1867.8 1.2493 0.8744 
1872.8 1.2242 0.8890 
1877.8 1.1987 0.9021 
1882.8 1.1727 0.9137 
1887.8 1.1465 0.9237 
1892.8 1.1202 0.9321 
1897.7 1.0938 0.9391 
1902.7 1.0675 0.9445 
1907.6 1.0414 0.9486 
1912.5 1.0155 0.9512 
1917.4 0.9899 0.9525 
1922.3 0.9648 0.9525 
1927.2 0.9401 0.9514 
1932.0 0.9160 0.9490 
1936.9 0.8924 0.9456 
1941.7 0.8695 0.9412 
1946.5 0.8472 0.9359 
1951.3 0.8257 0.9297 
1956.1 0.8049 0.9227 
1960.9 0.7848 0.9149 
1965.7 0.7655 0.9065 
1970.5 0.7470 0.8975 
1975.2 0.7293 0.8880 
1980.0 0.7123 0.8780 
1984.7 0.6961 0.8676 
1989.4 0.6806 0.8568 
1994.2 0.6659 0.8457 
1998.9 0.6520 0.8343 
2003.5 0.6388 0.8228 
2008.2 0.6262 0.8110 
2012.9 0.6144 0.7991 
2017.5 0.6032 0.7871 
2022.2 0.5927 0.7751 
2026.8 0.5828 0.7630 
2031.4 0.5735 0.7508 
2036.1 0.5647 0.7387 
2040.7 0.5566 0.7267 
2045.3 0.5489 0.7147 
2049.8 0.5418 0.7027 
2054.4 0.5352 0.6908 
2059.0 0.5290 0.6791 
2063.5 0.5232 0.6675 
2068.1 0.5179 0.6559 
2072.6 0.5130 0.6446 
2077.1 0.5085 0.6333 
2081.6 0.5044 0.6223 
2086.1 0.5006 0.6114 
2090.6 0.4971 0.6006 
2095.1 0.4939 0.5900 
2099.6 0.4911 0.5796 
2104.0 0.4885 0.5694 
2108.5 0.4862 0.5593 
2112.9 0.4841 0.5494 
2117.4 0.4823 0.5397 
2121.8 0.4806 0.5302 
2126.2 0.4793 0.5208 
2130.6 0.4781 0.5116 
2135.0 0.4771 0.5026 
2139.4 0.4762 0.4938 
2143.8 0.4756 0.4851 
2148.2 0.4751 0.4766 
2152.5 0.4747 0.4683 
2156.9 0.4745 0.4602 
2161.2 0.4744 0.4522 
2165.6 0.4744 0.4444 
2169.9 0.4746 0.4367 
2174.2 0.4749 0.4292 
2178.5 0.4752 0.4219 
2182.8 0.4757 0.4147 
2187.1 0.4763 0.4076 
2191.4 0.4769 0.4007 
2195.7 0.4776 0.3940 
2200.0 0.4784 0.3873 
2204.2 0.4792 0.3809 
2208.5 0.4802 0.3745 
2212.7 0.4811 0.3683 
2217.0 0.4822 0.3622 
2221.2 0.4833 0.3563 
2225.4 0.4844 0.3504 
2229.6 0.4856 0.3447 
2233.8 0.4868 0.3391 
2238.0 0.4881 0.3337 
