   W             E0+(p)                 E1+(p)                 M1+(p)                 M1-(p)                 E2+(p)                 E2-(p)                 M2+(p)                 M2-(p)                 E3+(p)                 E3-(p)                 M3+(p)                 M3-(p)                 E4+(p)                 E4-(p)                 M4+(p)                 M4-(p)                 E5+(p)                 E5-(p)                 M5+(p)                 M5-(p)                 E6+(p)                 E6-(p)                 M6+(p)                 M6-(p)                 E7+(p)                 E7-(p)                 M7+(p)                 M7-(p)                 E8+(p)                 E8-(p)                 M8+(p)                 M8-(p)                 E9+(p)                 E9-(p)                 M9+(p)                 M9-(p)
 (MeV)        Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im
  710.0   13.081069   8.934688    0.000980  -0.002585    0.063159  -0.018587    0.045195  -0.002046   -0.000399  -0.000051    0.011350   0.013931   -0.000398  -0.000128    0.006228   0.009975    0.000000   0.000000    0.000043   0.000005    0.000007   0.000000    0.000010   0.000001    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  720.0   10.284446  10.983465    0.002733  -0.006522    0.149765  -0.046891    0.103967  -0.005238   -0.002242  -0.000309    0.054614   0.084302   -0.002339  -0.000799    0.028194   0.060328   -0.000006   0.000000    0.000573   0.000075    0.000091   0.000000    0.000141   0.000017    0.000000   0.000000    0.000002   0.000000    0.000002   0.000000    0.000006   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  730.0    8.332672  12.051204    0.004302  -0.009359    0.203418  -0.067280    0.136553  -0.007671   -0.004122  -0.000615    0.080599   0.162019   -0.004492  -0.001626    0.037142   0.115767   -0.000014   0.000000    0.001427   0.000200    0.000223   0.000000    0.000360   0.000046   -0.000001   0.000000    0.000005   0.000000    0.000006   0.000000    0.000021   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  740.0    6.604791  12.694841    0.005987  -0.011936    0.247136  -0.085783    0.159881  -0.010036   -0.006042  -0.000979    0.087127   0.240589   -0.006870  -0.002639    0.031443   0.171439   -0.000024   0.000000    0.002529   0.000382    0.000388   0.000000    0.000652   0.000088   -0.000002   0.000000    0.000011   0.000000    0.000012   0.000000    0.000044   0.000000    0.000000   0.000000    0.000001   0.000000    0.000001   0.000000    0.000002   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  750.0    5.014801  13.033720    0.007854  -0.014405    0.285977  -0.103503    0.177658  -0.012489   -0.008007  -0.001408    0.075333   0.313106   -0.009488  -0.003870    0.011917   0.222179   -0.000035   0.000000    0.003852   0.000628    0.000581   0.000000    0.001013   0.000146   -0.000003   0.000000    0.000019   0.000000    0.000021   0.000000    0.000076   0.000000    0.000000   0.000000    0.000002   0.000000    0.000002   0.000000    0.000004   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  760.0    3.548962  13.129568    0.009934  -0.016815    0.322143  -0.120787    0.191460  -0.015110   -0.010022  -0.001913    0.049291   0.374186   -0.012361  -0.005359   -0.018437   0.263937   -0.000048   0.000000    0.005385   0.000948    0.000798   0.000000    0.001442   0.000223   -0.000004   0.000000    0.000029   0.000000    0.000032   0.000000    0.000116   0.000000    0.000000   0.000000    0.000003   0.000000    0.000003   0.000000    0.000007   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  770.0    2.210217  13.028873    0.012249  -0.019179    0.356859  -0.137719    0.202131  -0.017959   -0.012088  -0.002507    0.014543   0.421126   -0.015501  -0.007149   -0.055530   0.294641   -0.000061   0.000000    0.007123   0.001356    0.001034   0.000000    0.001940   0.000323   -0.000006   0.000000    0.000040   0.000000    0.000046   0.000000    0.000165   0.000000    0.000000   0.000000    0.000005   0.000000    0.000005   0.000000    0.000011   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  780.0    1.003099  12.771964    0.014814  -0.021490    0.390892  -0.154259    0.210180  -0.021085   -0.014211  -0.003203   -0.023543   0.453874   -0.018919  -0.009296   -0.095394   0.314167   -0.000075   0.000000    0.009067   0.001866    0.001290   0.000000    0.002509   0.000451   -0.000008   0.000000    0.000054   0.000000    0.000062   0.000000    0.000223   0.000000   -0.000001   0.000000    0.000007   0.000000    0.000007   0.000000    0.000017   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  790.0   -0.071025  12.394669    0.017636  -0.023733    0.424755  -0.170298    0.215935  -0.024541   -0.016392  -0.004018   -0.060828   0.474185   -0.022622  -0.011860   -0.134957   0.323714   -0.000089   0.000000    0.011220   0.002500    0.001562   0.000000    0.003150   0.000613   -0.000011   0.000000    0.000070   0.000000    0.000080   0.000000    0.000289   0.000000   -0.000001   0.000000    0.000010   0.000000    0.000010   0.000000    0.000023   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000002   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  800.0   -1.014933  11.928153    0.020719  -0.025888    0.458799  -0.185683    0.219619  -0.028384   -0.018631  -0.004972   -0.094693   0.484619   -0.026611  -0.014914   -0.172261   0.325070   -0.000104   0.000000    0.013588   0.003280    0.001850   0.000000    0.003866   0.000817   -0.000013   0.000000    0.000088   0.000000    0.000101   0.000000    0.000363   0.000000   -0.000001   0.000000    0.000013   0.000000    0.000013   0.000000    0.000031   0.000000    0.000000   0.000000    0.000001   0.000000    0.000001   0.000000    0.000003   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
