   W         E4+(pi0_p)
 (MeV)      Re         Im
 1080.0    0.000000   0.000000
 1085.0    0.000000   0.000000
 1090.0    0.000000   0.000000
 1095.0    0.000000   0.000000
 1100.0    0.000000   0.000000
 1105.0    0.000000   0.000000
 1110.0    0.000000   0.000000
 1115.0    0.000000   0.000000
 1120.0    0.000000   0.000000
 1125.0    0.000000   0.000001
 1130.0    0.000000   0.000001
 1135.0    0.000000   0.000001
 1140.0    0.000000   0.000001
 1145.0    0.000001   0.000002
 1150.0    0.000001   0.000002
 1155.0    0.000001   0.000002
 1160.0    0.000001   0.000003
 1165.0    0.000001   0.000004
 1170.0    0.000001   0.000004
 1175.0    0.000001   0.000005
 1180.0    0.000001   0.000006
 1185.0    0.000001   0.000007
 1190.0    0.000001   0.000008
 1195.0    0.000001   0.000009
 1200.0    0.000001   0.000010
 1205.0    0.000001   0.000012
 1210.0    0.000000   0.000013
 1215.0    0.000000   0.000015
 1220.0   -0.000000   0.000017
 1225.0   -0.000000   0.000019
 1230.0   -0.000001   0.000022
 1235.0   -0.000001   0.000024
 1240.0   -0.000002   0.000027
 1245.0   -0.000002   0.000030
 1250.0   -0.000003   0.000033
 1255.0   -0.000004   0.000037
 1260.0   -0.000005   0.000040
 1265.0   -0.000004   0.000045
 1270.0   -0.000008   0.000048
 1275.0   -0.000009   0.000053
 1280.0   -0.000010   0.000058
 1285.0   -0.000012   0.000063
 1290.0   -0.000013   0.000069
 1295.0   -0.000015   0.000075
 1300.0   -0.000018   0.000080
 1305.0   -0.000019   0.000088
 1310.0   -0.000022   0.000095
 1315.0   -0.000024   0.000102
 1320.0   -0.000027   0.000109
 1325.0   -0.000030   0.000118
 1330.0   -0.000034   0.000126
 1335.0   -0.000037   0.000135
 1340.0   -0.000041   0.000145
 1345.0   -0.000045   0.000154
 1350.0   -0.000053   0.000163
 1355.0   -0.000055   0.000175
 1360.0   -0.000060   0.000186
 1365.0   -0.000065   0.000198
 1370.0   -0.000071   0.000210
 1375.0   -0.000077   0.000222
 1380.0   -0.000083   0.000235
 1385.0   -0.000089   0.000250
 1390.0   -0.000098   0.000262
 1395.0   -0.000105   0.000277
 1400.0   -0.000113   0.000292
 1405.0   -0.000121   0.000307
 1410.0   -0.000130   0.000323
 1415.0   -0.000139   0.000339
 1420.0   -0.000149   0.000356
 1425.0   -0.000159   0.000373
 1430.0   -0.000170   0.000391
 1435.0   -0.000179   0.000410
 1440.0   -0.000193   0.000428
 1445.0   -0.000205   0.000447
 1450.0   -0.000218   0.000466
 1455.0   -0.000231   0.000486
 1460.0   -0.000245   0.000506
 1465.0   -0.000259   0.000527
 1470.0   -0.000274   0.000548
 1475.0   -0.000290   0.000569
 1480.0   -0.000306   0.000590
 1485.0   -0.000323   0.000612
 1490.0   -0.000341   0.000635
 1495.0   -0.000359   0.000657
 1500.0   -0.000378   0.000680
 1505.0   -0.000397   0.000703
 1510.0   -0.000418   0.000726
 1515.0   -0.000439   0.000750
 1520.0   -0.000460   0.000773
 1525.0   -0.000483   0.000797
 1530.0   -0.000506   0.000820
 1535.0   -0.000530   0.000844
 1540.0   -0.000555   0.000868
 1545.0   -0.000581   0.000891
 1550.0   -0.000607   0.000915
 1555.0   -0.000634   0.000939
 1560.0   -0.000662   0.000962
 1565.0   -0.000691   0.000985
 1570.0   -0.000721   0.001008
 1575.0   -0.000751   0.001031
 1580.0   -0.000783   0.001053
 1585.0   -0.000815   0.001075
 1590.0   -0.000848   0.001096
 1595.0   -0.000882   0.001117
 1600.0   -0.000917   0.001138
 1605.0   -0.000952   0.001158
 1610.0   -0.000989   0.001177
 1615.0   -0.001026   0.001195
 1620.0   -0.001064   0.001213
 1625.0   -0.001103   0.001230
 1630.0   -0.001143   0.001246
 1635.0   -0.001184   0.001261
 1640.0   -0.001226   0.001275
 1645.0   -0.001268   0.001288
 1650.0   -0.001311   0.001299
 1655.0   -0.001355   0.001310
 1660.0   -0.001400   0.001319
 1665.0   -0.001445   0.001326
 1670.0   -0.001491   0.001333
 1675.0   -0.001538   0.001338
 1680.0   -0.001585   0.001341
 1685.0   -0.001633   0.001342
 1690.0   -0.001682   0.001342
 1695.0   -0.001731   0.001340
 1700.0   -0.001781   0.001336
 1705.0   -0.001831   0.001330
 1710.0   -0.001882   0.001322
 1715.0   -0.001933   0.001312
 1720.0   -0.001984   0.001300
 1725.0   -0.002036   0.001286
 1730.0   -0.002088   0.001269
 1735.0   -0.002140   0.001250
 1740.0   -0.002193   0.001229
 1745.0   -0.002245   0.001205
 1750.0   -0.002298   0.001178
 1755.0   -0.002349   0.001149
 1760.0   -0.002401   0.001117
 1765.0   -0.002453   0.001083
 1770.0   -0.002505   0.001045
 1775.0   -0.002557   0.001005
 1780.0   -0.002607   0.000962
 1785.0   -0.002658   0.000916
 1790.0   -0.002708   0.000866
 1795.0   -0.002757   0.000814
 1800.0   -0.002805   0.000759
 1805.0   -0.002853   0.000700
 1810.0   -0.002899   0.000638
 1815.0   -0.002945   0.000573
 1820.0   -0.002989   0.000505
 1825.0   -0.003032   0.000433
 1830.0   -0.003074   0.000358
 1835.0   -0.003115   0.000280
 1840.0   -0.003154   0.000198
 1845.0   -0.003191   0.000113
 1850.0   -0.003226   0.000025
 1855.0   -0.003260  -0.000067
 1860.0   -0.003292  -0.000162
 1865.0   -0.003321  -0.000261
 1870.0   -0.003349  -0.000363
 1875.0   -0.003374  -0.000468
 1880.0   -0.003397  -0.000577
 1885.0   -0.003417  -0.000689
 1890.0   -0.003435  -0.000805
 1895.0   -0.003450  -0.000923
 1900.0   -0.003462  -0.001045
 1905.0   -0.003471  -0.001171
 1910.0   -0.003477  -0.001299
 1915.0   -0.003480  -0.001431
 1920.0   -0.003480  -0.001565
 1925.0   -0.003477  -0.001703
 1930.0   -0.003470  -0.001844
 1935.0   -0.003459  -0.001987
 1940.0   -0.003445  -0.002134
 1945.0   -0.003428  -0.002283
 1950.0   -0.003406  -0.002435
 1955.0   -0.003380  -0.002590
 1960.0   -0.003351  -0.002747
 1965.0   -0.003317  -0.002907
 1970.0   -0.003280  -0.003069
 1975.0   -0.003238  -0.003233
 1980.0   -0.003191  -0.003399
 1985.0   -0.003141  -0.003568
 1990.0   -0.003085  -0.003738
 1995.0   -0.003026  -0.003911
 2000.0   -0.002962  -0.004085
 2005.0   -0.002893  -0.004260
