   W         E5-(pi0_p)
 (MeV)      Re         Im
 1080.0   -0.000000  -0.000000
 1085.0   -0.000000  -0.000000
 1090.0   -0.000000  -0.000000
 1095.0   -0.000000  -0.000000
 1100.0   -0.000000  -0.000000
 1105.0   -0.000000  -0.000000
 1110.0   -0.000000  -0.000000
 1115.0   -0.000000  -0.000000
 1120.0   -0.000001  -0.000000
 1125.0   -0.000001  -0.000001
 1130.0   -0.000001  -0.000001
 1135.0   -0.000001  -0.000001
 1140.0   -0.000001  -0.000001
 1145.0   -0.000002  -0.000001
 1150.0   -0.000002  -0.000002
 1155.0   -0.000002  -0.000002
 1160.0   -0.000003  -0.000003
 1165.0   -0.000003  -0.000003
 1170.0   -0.000004  -0.000004
 1175.0   -0.000004  -0.000005
 1180.0   -0.000005  -0.000006
 1185.0   -0.000005  -0.000007
 1190.0   -0.000006  -0.000008
 1195.0   -0.000006  -0.000010
 1200.0   -0.000007  -0.000011
 1205.0   -0.000007  -0.000013
 1210.0   -0.000008  -0.000015
 1215.0   -0.000008  -0.000017
 1220.0   -0.000009  -0.000020
 1225.0   -0.000010  -0.000022
 1230.0   -0.000010  -0.000025
 1235.0   -0.000010  -0.000029
 1240.0   -0.000011  -0.000032
 1245.0   -0.000011  -0.000036
 1250.0   -0.000012  -0.000040
 1255.0   -0.000012  -0.000045
 1260.0   -0.000012  -0.000050
 1265.0   -0.000014  -0.000057
 1270.0   -0.000011  -0.000061
 1275.0   -0.000011  -0.000068
 1280.0   -0.000011  -0.000075
 1285.0   -0.000010  -0.000082
 1290.0   -0.000011  -0.000091
 1295.0   -0.000010  -0.000100
 1300.0   -0.000008  -0.000109
 1305.0   -0.000008  -0.000119
 1310.0   -0.000007  -0.000130
 1315.0   -0.000005  -0.000141
 1320.0   -0.000003  -0.000153
 1325.0   -0.000001  -0.000166
 1330.0    0.000001  -0.000180
 1335.0    0.000004  -0.000195
 1340.0    0.000007  -0.000210
 1345.0    0.000010  -0.000227
 1350.0    0.000017  -0.000242
 1355.0    0.000019  -0.000262
 1360.0    0.000023  -0.000281
 1365.0    0.000028  -0.000302
 1370.0    0.000034  -0.000323
 1375.0    0.000040  -0.000346
 1380.0    0.000046  -0.000370
 1385.0    0.000053  -0.000395
 1390.0    0.000062  -0.000421
 1395.0    0.000070  -0.000448
 1400.0    0.000079  -0.000477
 1405.0    0.000089  -0.000507
 1410.0    0.000099  -0.000538
 1415.0    0.000110  -0.000571
 1420.0    0.000122  -0.000606
 1425.0    0.000135  -0.000641
 1430.0    0.000148  -0.000679
 1435.0    0.000162  -0.000718
 1440.0    0.000178  -0.000757
 1445.0    0.000195  -0.000799
 1450.0    0.000212  -0.000843
 1455.0    0.000231  -0.000888
 1460.0    0.000250  -0.000934
 1465.0    0.000271  -0.000983
 1470.0    0.000293  -0.001033
 1475.0    0.000316  -0.001085
 1480.0    0.000340  -0.001138
 1485.0    0.000366  -0.001194
 1490.0    0.000393  -0.001251
 1495.0    0.000422  -0.001310
 1500.0    0.000452  -0.001371
 1505.0    0.000483  -0.001433
 1510.0    0.000516  -0.001498
 1515.0    0.000551  -0.001564
 1520.0    0.000587  -0.001632
 1525.0    0.000625  -0.001702
 1530.0    0.000665  -0.001774
 1535.0    0.000707  -0.001848
 1540.0    0.000751  -0.001923
 1545.0    0.000797  -0.002001
 1550.0    0.000844  -0.002080
 1555.0    0.000894  -0.002161
 1560.0    0.000946  -0.002244
 1565.0    0.001000  -0.002328
 1570.0    0.001057  -0.002415
 1575.0    0.001115  -0.002503
 1580.0    0.001176  -0.002593
 1585.0    0.001240  -0.002684
 1590.0    0.001306  -0.002778
 1595.0    0.001374  -0.002873
 1600.0    0.001446  -0.002969
 1605.0    0.001519  -0.003067
 1610.0    0.001596  -0.003167
 1615.0    0.001675  -0.003268
 1620.0    0.001757  -0.003370
 1625.0    0.001842  -0.003474
 1630.0    0.001930  -0.003579
 1635.0    0.002021  -0.003686
 1640.0    0.002115  -0.003793
 1645.0    0.002211  -0.003902
 1650.0    0.002311  -0.004012
 1655.0    0.002415  -0.004123
 1660.0    0.002521  -0.004234
 1665.0    0.002631  -0.004347
 1670.0    0.002743  -0.004460
 1675.0    0.002860  -0.004574
 1680.0    0.002979  -0.004688
 1685.0    0.003102  -0.004803
 1690.0    0.003228  -0.004919
 1695.0    0.003358  -0.005034
 1700.0    0.003491  -0.005150
 1705.0    0.003627  -0.005266
 1710.0    0.003767  -0.005382
 1715.0    0.003911  -0.005498
 1720.0    0.004057  -0.005614
 1725.0    0.004208  -0.005729
 1730.0    0.004362  -0.005844
 1735.0    0.004519  -0.005959
 1740.0    0.004680  -0.006073
 1745.0    0.004844  -0.006186
 1750.0    0.005012  -0.006298
 1755.0    0.005183  -0.006409
 1760.0    0.005357  -0.006520
 1765.0    0.005535  -0.006629
 1770.0    0.005716  -0.006736
 1775.0    0.005900  -0.006842
 1780.0    0.006088  -0.006947
 1785.0    0.006279  -0.007050
 1790.0    0.006473  -0.007151
 1795.0    0.006670  -0.007251
 1800.0    0.006871  -0.007348
 1805.0    0.007074  -0.007443
 1810.0    0.007280  -0.007536
 1815.0    0.007489  -0.007627
 1820.0    0.007701  -0.007715
 1825.0    0.007915  -0.007801
 1830.0    0.008132  -0.007884
 1835.0    0.008352  -0.007964
 1840.0    0.008574  -0.008041
 1845.0    0.008799  -0.008116
 1850.0    0.009025  -0.008187
 1855.0    0.009254  -0.008255
 1860.0    0.009485  -0.008320
 1865.0    0.009718  -0.008381
 1870.0    0.009953  -0.008439
 1875.0    0.010189  -0.008494
 1880.0    0.010427  -0.008545
 1885.0    0.010667  -0.008592
 1890.0    0.010908  -0.008636
 1895.0    0.011150  -0.008676
 1900.0    0.011402  -0.008707
 1905.0    0.011637  -0.008744
 1910.0    0.011883  -0.008772
 1915.0    0.012128  -0.008796
 1920.0    0.012375  -0.008815
 1925.0    0.012622  -0.008831
 1930.0    0.012869  -0.008843
 1935.0    0.013116  -0.008850
 1940.0    0.013364  -0.008854
 1945.0    0.013611  -0.008853
 1950.0    0.013858  -0.008847
 1955.0    0.014105  -0.008838
 1960.0    0.014351  -0.008824
 1965.0    0.014597  -0.008806
 1970.0    0.014841  -0.008784
 1975.0    0.015085  -0.008757
 1980.0    0.015328  -0.008727
 1985.0    0.015570  -0.008692
 1990.0    0.015810  -0.008652
 1995.0    0.016049  -0.008609
 2000.0    0.016285  -0.008561
 2005.0    0.016520  -0.008509
