   W         M6+(pi0_p)
 (MeV)      Re         Im
 1080.0   -0.000000   0.000000
 1085.0   -0.000000   0.000000
 1090.0   -0.000000   0.000000
 1095.0   -0.000000   0.000000
 1100.0   -0.000000   0.000000
 1105.0   -0.000000   0.000000
 1110.0   -0.000000   0.000000
 1115.0   -0.000000   0.000000
 1120.0   -0.000000   0.000000
 1125.0   -0.000000   0.000000
 1130.0   -0.000000   0.000000
 1135.0   -0.000000   0.000000
 1140.0   -0.000000   0.000000
 1145.0   -0.000000   0.000000
 1150.0   -0.000000   0.000000
 1155.0   -0.000000   0.000000
 1160.0   -0.000000   0.000000
 1165.0   -0.000001   0.000000
 1170.0   -0.000001   0.000000
 1175.0   -0.000001   0.000000
 1180.0   -0.000001   0.000000
 1185.0   -0.000001   0.000000
 1190.0   -0.000001   0.000000
 1195.0   -0.000002   0.000000
 1200.0   -0.000002   0.000001
 1205.0   -0.000002   0.000001
 1210.0   -0.000002   0.000001
 1215.0   -0.000003   0.000001
 1220.0   -0.000003   0.000001
 1225.0   -0.000003   0.000001
 1230.0   -0.000004   0.000002
 1235.0   -0.000004   0.000002
 1240.0   -0.000004   0.000002
 1245.0   -0.000005   0.000003
 1250.0   -0.000005   0.000003
 1255.0   -0.000006   0.000004
 1260.0   -0.000007   0.000004
 1265.0   -0.000006   0.000005
 1270.0   -0.000009   0.000005
 1275.0   -0.000009   0.000006
 1280.0   -0.000009   0.000007
 1285.0   -0.000011   0.000008
 1290.0   -0.000011   0.000010
 1295.0   -0.000012   0.000011
 1300.0   -0.000013   0.000013
 1305.0   -0.000014   0.000014
 1310.0   -0.000015   0.000016
 1315.0   -0.000016   0.000018
 1320.0   -0.000017   0.000020
 1325.0   -0.000019   0.000022
 1330.0   -0.000020   0.000025
 1335.0   -0.000021   0.000028
 1340.0   -0.000022   0.000031
 1345.0   -0.000023   0.000035
 1350.0   -0.000030   0.000039
 1355.0   -0.000027   0.000043
 1360.0   -0.000029   0.000047
 1365.0   -0.000031   0.000052
 1370.0   -0.000032   0.000058
 1375.0   -0.000034   0.000064
 1380.0   -0.000036   0.000070
 1385.0   -0.000038   0.000076
 1390.0   -0.000041   0.000085
 1395.0   -0.000043   0.000093
 1400.0   -0.000045   0.000101
 1405.0   -0.000048   0.000111
 1410.0   -0.000050   0.000121
 1415.0   -0.000053   0.000131
 1420.0   -0.000056   0.000143
 1425.0   -0.000059   0.000155
 1430.0   -0.000062   0.000168
 1435.0   -0.000071   0.000181
 1440.0   -0.000068   0.000197
 1445.0   -0.000072   0.000213
 1450.0   -0.000076   0.000230
 1455.0   -0.000080   0.000248
 1460.0   -0.000084   0.000267
 1465.0   -0.000088   0.000287
 1470.0   -0.000093   0.000309
 1475.0   -0.000098   0.000332
 1480.0   -0.000103   0.000356
 1485.0   -0.000108   0.000381
 1490.0   -0.000114   0.000408
 1495.0   -0.000120   0.000436
 1500.0   -0.000127   0.000466
 1505.0   -0.000131   0.000496
 1510.0   -0.000139   0.000530
 1515.0   -0.000147   0.000565
 1520.0   -0.000155   0.000601
 1525.0   -0.000163   0.000640
 1530.0   -0.000172   0.000680
 1535.0   -0.000181   0.000722
 1540.0   -0.000190   0.000765
 1545.0   -0.000201   0.000811
 1550.0   -0.000211   0.000859
 1555.0   -0.000223   0.000910
 1560.0   -0.000235   0.000962
 1565.0   -0.000248   0.001016
 1570.0   -0.000261   0.001073
 1575.0   -0.000275   0.001132
 1580.0   -0.000290   0.001194
 1585.0   -0.000306   0.001258
 1590.0   -0.000323   0.001325
 1595.0   -0.000340   0.001394
 1600.0   -0.000359   0.001466
 1605.0   -0.000380   0.001539
 1610.0   -0.000400   0.001616
 1615.0   -0.000422   0.001696
 1620.0   -0.000445   0.001779
 1625.0   -0.000469   0.001864
 1630.0   -0.000495   0.001952
 1635.0   -0.000522   0.002044
 1640.0   -0.000550   0.002138
 1645.0   -0.000580   0.002235
 1650.0   -0.000612   0.002335
 1655.0   -0.000645   0.002438
 1660.0   -0.000680   0.002544
 1665.0   -0.000716   0.002654
 1670.0   -0.000755   0.002766
 1675.0   -0.000795   0.002882
 1680.0   -0.000837   0.003001
 1685.0   -0.000882   0.003123
 1690.0   -0.000928   0.003248
 1695.0   -0.000977   0.003376
 1700.0   -0.001028   0.003508
 1705.0   -0.001081   0.003642
 1710.0   -0.001137   0.003780
 1715.0   -0.001195   0.003922
 1720.0   -0.001256   0.004066
 1725.0   -0.001319   0.004214
 1730.0   -0.001385   0.004364
 1735.0   -0.001455   0.004518
 1740.0   -0.001527   0.004675
 1745.0   -0.001601   0.004836
 1750.0   -0.001679   0.004999
 1755.0   -0.001763   0.005165
 1760.0   -0.001847   0.005335
 1765.0   -0.001935   0.005507
 1770.0   -0.002026   0.005682
 1775.0   -0.002121   0.005860
 1780.0   -0.002220   0.006041
 1785.0   -0.002322   0.006225
 1790.0   -0.002428   0.006411
 1795.0   -0.002538   0.006600
 1800.0   -0.002652   0.006792
 1805.0   -0.002770   0.006986
 1810.0   -0.002892   0.007182
 1815.0   -0.003019   0.007381
 1820.0   -0.003149   0.007582
 1825.0   -0.003284   0.007785
 1830.0   -0.003424   0.007990
 1835.0   -0.003567   0.008197
 1840.0   -0.003716   0.008406
 1845.0   -0.003869   0.008617
 1850.0   -0.004026   0.008829
 1855.0   -0.004189   0.009043
 1860.0   -0.004356   0.009258
 1865.0   -0.004528   0.009474
 1870.0   -0.004705   0.009691
 1875.0   -0.004887   0.009910
 1880.0   -0.005074   0.010129
 1885.0   -0.005266   0.010349
 1890.0   -0.005463   0.010569
 1895.0   -0.005665   0.010790
 1900.0   -0.005850   0.011050
 1905.0   -0.006085   0.011233
 1910.0   -0.006303   0.011454
 1915.0   -0.006526   0.011675
 1920.0   -0.006755   0.011895
 1925.0   -0.006988   0.012115
 1930.0   -0.007227   0.012335
 1935.0   -0.007471   0.012553
 1940.0   -0.007721   0.012771
 1945.0   -0.007976   0.012987
 1950.0   -0.008236   0.013202
 1955.0   -0.008501   0.013415
 1960.0   -0.008771   0.013626
 1965.0   -0.009047   0.013836
 1970.0   -0.009328   0.014043
 1975.0   -0.009614   0.014249
 1980.0   -0.009906   0.014451
 1985.0   -0.010202   0.014651
 1990.0   -0.010503   0.014849
 1995.0   -0.010809   0.015043
 2000.0   -0.011121   0.015235
 2005.0   -0.011441   0.015415
