   W         M8-(pi0_p)
 (MeV)      Re         Im
 1080.0    0.000000   0.000000
 1085.0   -0.000000  -0.000000
 1090.0   -0.000000  -0.000000
 1095.0   -0.000000  -0.000000
 1100.0    0.000000   0.000000
 1105.0   -0.000000  -0.000000
 1110.0    0.000000   0.000000
 1115.0    0.000000   0.000000
 1120.0   -0.000000   0.000000
 1125.0    0.000000  -0.000000
 1130.0   -0.000000  -0.000000
 1135.0    0.000000   0.000000
 1140.0    0.000000   0.000000
 1145.0    0.000000  -0.000000
 1150.0    0.000000   0.000000
 1155.0   -0.000000   0.000000
 1160.0    0.000000   0.000000
 1165.0    0.000000   0.000000
 1170.0    0.000000   0.000000
 1175.0    0.000000   0.000000
 1180.0    0.000000   0.000000
 1185.0    0.000000   0.000000
 1190.0    0.000000  -0.000000
 1195.0    0.000000  -0.000000
 1200.0    0.000000   0.000000
 1205.0    0.000000   0.000000
 1210.0    0.000000   0.000000
 1215.0    0.000000   0.000000
 1220.0    0.000000   0.000000
 1225.0    0.000000   0.000000
 1230.0    0.000000   0.000000
 1235.0    0.000000   0.000000
 1240.0    0.000000   0.000000
 1245.0    0.000000   0.000000
 1250.0    0.000000   0.000000
 1255.0    0.000000   0.000000
 1260.0    0.000000  -0.000000
 1265.0   -0.000001  -0.000000
 1270.0   -0.000000  -0.000000
 1275.0    0.000000   0.000000
 1280.0   -0.000000  -0.000000
 1285.0   -0.000000  -0.000000
 1290.0    0.000000   0.000000
 1295.0    0.000000  -0.000000
 1300.0   -0.000000  -0.000000
 1305.0    0.000000   0.000000
 1310.0    0.000000   0.000000
 1315.0    0.000000   0.000000
 1320.0    0.000001   0.000000
 1325.0   -0.000000   0.000000
 1330.0   -0.000000   0.000000
 1335.0    0.000000   0.000000
 1340.0    0.000000   0.000000
 1345.0    0.000000   0.000000
 1350.0   -0.000000  -0.000002
 1355.0    0.000000   0.000000
 1360.0    0.000000   0.000000
 1365.0    0.000000   0.000000
 1370.0    0.000000   0.000000
 1375.0    0.000000   0.000000
 1380.0    0.000000   0.000000
 1385.0   -0.000001   0.000000
 1390.0    0.000001   0.000000
 1395.0    0.000001   0.000000
 1400.0    0.000001   0.000001
 1405.0    0.000001   0.000001
 1410.0    0.000001   0.000001
 1415.0    0.000001   0.000001
 1420.0    0.000001   0.000001
 1425.0    0.000001   0.000001
 1430.0    0.000001   0.000001
 1435.0    0.000002  -0.000001
 1440.0    0.000001   0.000002
 1445.0    0.000001   0.000002
 1450.0    0.000002   0.000002
 1455.0    0.000002   0.000002
 1460.0    0.000002   0.000002
 1465.0    0.000002   0.000002
 1470.0    0.000002   0.000003
 1475.0    0.000002   0.000003
 1480.0    0.000003   0.000003
 1485.0    0.000003   0.000003
 1490.0    0.000003   0.000004
 1495.0    0.000004   0.000004
 1500.0    0.000004   0.000004
 1505.0    0.000002   0.000004
 1510.0    0.000004   0.000005
 1515.0    0.000005   0.000005
 1520.0    0.000005   0.000006
 1525.0    0.000005   0.000006
 1530.0    0.000006   0.000007
 1535.0    0.000006   0.000008
 1540.0    0.000007   0.000008
 1545.0    0.000007   0.000009
 1550.0    0.000008   0.000009
 1555.0    0.000009   0.000010
 1560.0    0.000009   0.000011
 1565.0    0.000010   0.000012
 1570.0    0.000011   0.000013
 1575.0    0.000012   0.000014
 1580.0    0.000012   0.000015
 1585.0    0.000013   0.000016
 1590.0    0.000014   0.000017
 1595.0    0.000015   0.000018
 1600.0    0.000016   0.000020
 1605.0    0.000017   0.000020
 1610.0    0.000018   0.000022
 1615.0    0.000020   0.000023
 1620.0    0.000021   0.000025
 1625.0    0.000022   0.000026
 1630.0    0.000024   0.000028
 1635.0    0.000025   0.000030
 1640.0    0.000027   0.000032
 1645.0    0.000028   0.000034
 1650.0    0.000030   0.000036
 1655.0    0.000031   0.000038
 1660.0    0.000033   0.000040
 1665.0    0.000035   0.000043
 1670.0    0.000037   0.000045
 1675.0    0.000039   0.000048
 1680.0    0.000041   0.000051
 1685.0    0.000044   0.000054
 1690.0    0.000046   0.000057
 1695.0    0.000048   0.000060
 1700.0    0.000051   0.000063
 1705.0    0.000053   0.000066
 1710.0    0.000056   0.000070
 1715.0    0.000059   0.000074
 1720.0    0.000062   0.000078
 1725.0    0.000065   0.000082
 1730.0    0.000068   0.000086
 1735.0    0.000071   0.000090
 1740.0    0.000074   0.000095
 1745.0    0.000077   0.000099
 1750.0    0.000080   0.000104
 1755.0    0.000085   0.000109
 1760.0    0.000089   0.000115
 1765.0    0.000092   0.000120
 1770.0    0.000096   0.000126
 1775.0    0.000100   0.000132
 1780.0    0.000104   0.000138
 1785.0    0.000109   0.000144
 1790.0    0.000113   0.000150
 1795.0    0.000117   0.000157
 1800.0    0.000122   0.000164
 1805.0    0.000127   0.000171
 1810.0    0.000131   0.000179
 1815.0    0.000136   0.000186
 1820.0    0.000141   0.000194
 1825.0    0.000147   0.000202
 1830.0    0.000152   0.000211
 1835.0    0.000157   0.000219
 1840.0    0.000163   0.000228
 1845.0    0.000168   0.000238
 1850.0    0.000174   0.000247
 1855.0    0.000180   0.000257
 1860.0    0.000185   0.000267
 1865.0    0.000191   0.000277
 1870.0    0.000198   0.000287
 1875.0    0.000204   0.000298
 1880.0    0.000210   0.000309
 1885.0    0.000216   0.000321
 1890.0    0.000223   0.000332
 1895.0    0.000229   0.000344
 1900.0    0.000247   0.000377
 1905.0    0.000243   0.000369
 1910.0    0.000249   0.000382
 1915.0    0.000256   0.000395
 1920.0    0.000263   0.000409
 1925.0    0.000270   0.000423
 1930.0    0.000277   0.000437
 1935.0    0.000284   0.000451
 1940.0    0.000291   0.000466
 1945.0    0.000298   0.000481
 1950.0    0.000305   0.000496
 1955.0    0.000312   0.000512
 1960.0    0.000320   0.000528
 1965.0    0.000327   0.000544
 1970.0    0.000334   0.000561
 1975.0    0.000342   0.000578
 1980.0    0.000349   0.000595
 1985.0    0.000356   0.000612
 1990.0    0.000363   0.000630
 1995.0    0.000371   0.000648
 2000.0    0.000377   0.000667
 2005.0    0.000375   0.000669
