   W                 E1+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.251    0.164   -0.239    0.136
1493.809   -0.091    0.098    0.107    0.128
1500.077    0.052    0.127   -0.024    0.089
1506.319    0.062    0.118   -0.061    0.075
1512.535    0.029    0.100    0.010    0.061
1518.726    0.005    0.072   -0.030    0.044
1524.891   -0.010    0.071   -0.012    0.043
1531.032    0.008    0.072   -0.014    0.039
1537.148    0.015    0.065   -0.014    0.037
1543.240    0.020    0.063   -0.019    0.036
1549.308    0.021    0.061   -0.009    0.035
1555.352    0.043    0.060   -0.024    0.036
1561.373    0.034    0.060   -0.019    0.036
1567.371    0.043    0.055   -0.030    0.037
1573.346    0.036    0.053   -0.036    0.036
1579.298    0.046    0.052   -0.030    0.038
1585.228    0.045    0.051   -0.045    0.041
1591.136    0.032    0.050   -0.033    0.040
1597.022    0.041    0.043   -0.039    0.039
1602.886    0.048    0.042   -0.045    0.039
1608.729    0.059    0.040   -0.034    0.041
1614.551    0.059    0.039   -0.027    0.040
1620.352    0.071    0.037   -0.031    0.041
1626.132    0.113    0.035   -0.025    0.043
1631.892    0.074    0.035   -0.017    0.042
1637.631    0.106    0.033   -0.019    0.042
1643.351    0.084    0.031   -0.020    0.041
1649.050    0.097    0.033   -0.017    0.040
1654.730    0.103    0.030   -0.026    0.039
1660.391    0.115    0.036   -0.030    0.032
1666.032    0.085    0.030    0.041    0.029
1671.655    0.114    0.031   -0.027    0.037
1677.258    0.085    0.033    0.044    0.028
1682.843    0.119    0.031   -0.023    0.036
1688.409    0.130    0.033   -0.019    0.036
1693.957    0.121    0.031   -0.008    0.035
1699.487    0.154    0.030   -0.048    0.029
1704.999    0.141    0.028   -0.048    0.028
1710.493    0.192    0.027    0.004    0.028
1715.970    0.173    0.028   -0.027    0.028
1721.429    0.176    0.026    0.017    0.030
1726.871    0.169    0.031    0.029    0.040
1732.296    0.149    0.032    0.023    0.039
1737.704    0.189    0.024    0.008    0.028
1743.095    0.204    0.024    0.018    0.029
1748.469    0.153    0.030    0.004    0.037
1753.827    0.077    0.028    0.086    0.031
1759.169    0.228    0.024    0.073    0.031
1764.495    0.177    0.030    0.073    0.051
1769.804    0.092    0.026    0.149    0.035
1775.098    0.099    0.028    0.140    0.037
1780.376    0.092    0.028    0.102    0.034
1785.638    0.099    0.027    0.100    0.037
1790.885    0.095    0.028    0.109    0.035
1796.116    0.323    0.028    0.007    0.044
1801.333    0.256    0.029   -0.075    0.036
1806.534    0.221    0.025    0.162    0.038
1811.720    0.120    0.027    0.169    0.041
1816.892    0.102    0.042    0.015    0.043
1822.049    0.045    0.026    0.047    0.024
1827.191    0.258    0.028    0.138    0.032
1832.319    0.166    0.032    0.140    0.052
1837.432    0.305    0.029    0.048    0.041
1842.532    0.301    0.027   -0.073    0.035
1847.617   -0.084    0.024   -0.020    0.019
1852.688    0.140    0.032    0.172    0.040
1857.746    0.175    0.031    0.123    0.052
1862.790    0.126    0.024   -0.026    0.026
1867.820    0.162    0.026   -0.008    0.027
1872.836   -0.179    0.030    0.072    0.030
1877.840   -0.162    0.028    0.061    0.029
1882.829   -0.068    0.039    0.166    0.037
1887.806   -0.082    0.038   -0.103    0.028
1892.770    0.145    0.026    0.070    0.028
1897.721   -0.122    0.025    0.061    0.024
1902.658    0.163    0.021    0.007    0.028
1907.583    0.106    0.023    0.101    0.029
1912.496    0.008    0.017   -0.011    0.020
1917.395   -0.106    0.020    0.127    0.025
1922.283    0.016    0.025   -0.028    0.024
