   W                 M1+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.381    0.166   -0.284    0.142
1493.809    0.056    0.106    0.165    0.137
1500.077    0.206    0.130   -0.111    0.095
1506.319    0.255    0.120   -0.043    0.082
1512.535    0.265    0.102   -0.148    0.071
1518.726    0.312    0.073   -0.109    0.058
1524.891    0.361    0.072   -0.179    0.058
1531.032    0.399    0.074   -0.176    0.054
1537.148    0.448    0.066   -0.163    0.052
1543.240    0.423    0.064   -0.219    0.051
1549.308    0.513    0.062   -0.212    0.050
1555.352    0.549    0.062   -0.180    0.050
1561.373    0.588    0.061   -0.263    0.049
1567.371    0.612    0.057   -0.235    0.048
1573.346    0.633    0.056   -0.247    0.048
1579.298    0.673    0.055   -0.247    0.048
1585.228    0.736    0.054   -0.229    0.049
1591.136    0.758    0.054   -0.324    0.050
1597.022    0.838    0.047   -0.266    0.048
1602.886    0.822    0.046   -0.291    0.047
1608.729    0.883    0.045   -0.273    0.048
1614.551    0.869    0.044   -0.286    0.048
1620.352    0.945    0.042   -0.239    0.049
1626.132    1.000    0.041   -0.226    0.051
1631.892    1.002    0.041   -0.242    0.050
1637.631    1.053    0.040   -0.216    0.050
1643.351    1.051    0.039   -0.211    0.049
1649.050    1.138    0.040   -0.192    0.052
1654.730    1.098    0.039   -0.161    0.050
1660.391    1.045    0.037   -0.241    0.045
1666.032    1.056    0.040   -0.102    0.047
1671.655    1.201    0.043   -0.141    0.052
1677.258    1.122    0.043   -0.067    0.047
1682.843    1.273    0.045   -0.086    0.051
1688.409    1.307    0.046   -0.059    0.051
1693.957    1.293    0.047   -0.054    0.050
1699.487    1.239    0.040   -0.172    0.046
1704.999    1.220    0.038   -0.181    0.044
1710.493    1.232    0.036   -0.111    0.045
1715.970    1.273    0.039   -0.104    0.044
1721.429    1.312    0.037   -0.058    0.046
1726.871    1.449    0.046    0.142    0.051
1732.296    1.452    0.047    0.141    0.051
1737.704    1.329    0.038    0.030    0.043
1743.095    1.342    0.037    0.039    0.044
1748.469    1.489    0.052    0.233    0.051
1753.827    1.382    0.044    0.281    0.045
1759.169    1.375    0.038    0.210    0.045
1764.495    1.510    0.045    0.350    0.061
1769.804    1.421    0.044    0.418    0.048
1775.098    1.437    0.044    0.472    0.054
1780.376    1.412    0.043    0.449    0.052
1785.638    1.410    0.044    0.480    0.057
1790.885    1.424    0.043    0.515    0.053
1796.116    1.481    0.039    0.473    0.060
1801.333    1.352    0.044    0.260    0.059
1806.534    1.253    0.042    0.566    0.054
1811.720    1.390    0.042    0.666    0.061
1816.892    1.410    0.065    0.605    0.069
1822.049    0.971    0.044    0.491    0.053
1827.191    1.221    0.047    0.629    0.063
1832.319    1.360    0.060    0.763    0.069
1837.432    1.288    0.053    0.684    0.079
1842.532    1.227    0.041    0.386    0.061
1847.617    0.201    0.029    0.561    0.022
1852.688    1.291    0.052    0.824    0.061
1857.746    1.286    0.057    0.946    0.072
1862.790    0.845    0.037    0.527    0.060
1867.820    0.845    0.041    0.550    0.056
1872.836    1.076    0.068    1.137    0.045
1877.840    1.138    0.061    1.121    0.045
1882.829    1.057    0.051    0.996    0.062
1887.806    0.935    0.057    1.021    0.056
1892.770    1.060    0.041    0.909    0.043
1897.721    1.006    0.055    1.116    0.041
1902.658    1.217    0.024    0.574    0.050
1907.583    1.041    0.039    0.910    0.047
1912.496    0.793    0.033    1.030    0.028
1917.395    0.626    0.039    1.028    0.036
1922.283    0.914    0.039    1.003    0.042
