   W                 M5-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.031    0.035   -0.025    0.049
1493.809    0.035    0.036   -0.020    0.033
1500.077   -0.000    0.032    0.002    0.027
1506.319   -0.010    0.029   -0.001    0.022
1512.535    0.003    0.027   -0.005    0.022
1518.726   -0.002    0.021   -0.003    0.013
1524.891    0.001    0.021    0.007    0.013
1531.032   -0.001    0.021    0.001    0.014
1537.148    0.006    0.019   -0.007    0.013
1543.240   -0.001    0.017   -0.005    0.012
1549.308    0.003    0.018   -0.004    0.012
1555.352   -0.005    0.017   -0.002    0.012
1561.373   -0.010    0.017    0.004    0.011
1567.371    0.004    0.015    0.001    0.012
1573.346   -0.002    0.015    0.004    0.012
1579.298    0.000    0.014   -0.002    0.012
1585.228   -0.007    0.014    0.005    0.013
1591.136    0.004    0.014   -0.003    0.013
1597.022    0.001    0.011   -0.002    0.011
1602.886    0.003    0.010   -0.000    0.011
1608.729    0.008    0.009    0.002    0.012
1614.551    0.007    0.009    0.008    0.013
1620.352   -0.002    0.008   -0.004    0.011
1626.132   -0.007    0.007   -0.010    0.012
1631.892    0.004    0.006    0.008    0.010
1637.631   -0.002    0.005   -0.001    0.009
1643.351    0.003    0.005   -0.001    0.008
1649.050    0.002    0.005    0.007    0.007
1654.730    0.006    0.005   -0.001    0.007
1660.391    0.038    0.004   -0.015    0.005
1666.032    0.042    0.004   -0.003    0.005
1671.655    0.006    0.004   -0.007    0.006
1677.258    0.030    0.004    0.002    0.005
1682.843    0.002    0.004    0.001    0.005
1688.409    0.004    0.004   -0.001    0.005
1693.957    0.005    0.005    0.001    0.005
1699.487    0.050    0.003   -0.004    0.005
1704.999    0.047    0.003   -0.008    0.005
1710.493    0.050    0.004   -0.004    0.005
1715.970    0.047    0.003    0.004    0.005
1721.429    0.043    0.004   -0.002    0.005
1726.871    0.004    0.004   -0.006    0.005
1732.296    0.000    0.004    0.002    0.005
1737.704    0.038    0.003    0.013    0.005
1743.095    0.040    0.004    0.003    0.006
1748.469    0.006    0.003    0.004    0.004
1753.827    0.015    0.004   -0.019    0.005
1759.169    0.031    0.004    0.005    0.007
1764.495   -0.001    0.004    0.001    0.004
1769.804    0.022    0.004   -0.013    0.006
1775.098    0.015    0.005   -0.012    0.005
1780.376    0.013    0.005   -0.016    0.005
1785.638    0.012    0.006   -0.019    0.005
1790.885    0.012    0.005   -0.018    0.005
1796.116    0.005    0.003    0.021    0.004
1801.333   -0.001    0.004    0.002    0.005
1806.534    0.026    0.004    0.024    0.005
1811.720    0.012    0.004   -0.007    0.005
1816.892    0.000    0.004    0.002    0.005
1822.049   -0.010    0.004    0.008    0.004
1827.191    0.016    0.004    0.024    0.004
1832.319    0.012    0.005   -0.007    0.005
1837.432    0.008    0.004    0.023    0.004
1842.532   -0.003    0.004    0.013    0.005
1847.617    0.067    0.010    0.141    0.005
1852.688    0.006    0.005   -0.000    0.004
1857.746    0.006    0.004    0.004    0.004
1862.790   -0.007    0.004    0.035    0.003
1867.820   -0.008    0.004    0.034    0.003
1872.836    0.005    0.005   -0.007    0.003
1877.840    0.007    0.005   -0.005    0.004
1882.829    0.007    0.004   -0.006    0.004
1887.806    0.005    0.004   -0.001    0.003
1892.770    0.000    0.003    0.022    0.003
1897.721    0.002    0.003   -0.002    0.003
1902.658   -0.006    0.002    0.016    0.004
1907.583    0.002    0.003    0.005    0.004
1912.496   -0.011    0.002    0.005    0.002
1917.395    0.005    0.003   -0.002    0.003
1922.283   -0.001    0.003   -0.003    0.002
