   W                 M1+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.107    0.041   -0.035    0.045
1493.809    0.151    0.043   -0.003    0.042
1500.077    0.172    0.044   -0.090    0.040
1506.319    0.211    0.044   -0.039    0.039
1512.535    0.265    0.044   -0.136    0.038
1518.726    0.316    0.044   -0.113    0.038
1524.891    0.383    0.045   -0.157    0.038
1531.032    0.405    0.045   -0.168    0.037
1537.148    0.438    0.044   -0.172    0.037
1543.240    0.441    0.044   -0.205    0.036
1549.308    0.508    0.043   -0.217    0.037
1555.352    0.525    0.043   -0.204    0.036
1561.373    0.585    0.043   -0.262    0.037
1567.371    0.598    0.042   -0.249    0.036
1573.346    0.644    0.041   -0.236    0.037
1579.298    0.668    0.041   -0.251    0.037
1585.228    0.718    0.040   -0.247    0.037
1591.136    0.770    0.039   -0.308    0.038
1597.022    0.826    0.039   -0.276    0.038
1602.886    0.838    0.038   -0.267    0.038
1608.729    0.876    0.037   -0.276    0.039
1614.551    0.891    0.036   -0.259    0.040
1620.352    0.945    0.036   -0.238    0.041
1626.132    0.973    0.035   -0.249    0.041
1631.892    1.012    0.035   -0.238    0.042
1637.631    1.040    0.035   -0.225    0.043
1643.351    1.077    0.035   -0.216    0.044
1649.050    1.136    0.035   -0.198    0.045
1654.730    1.135    0.036   -0.177    0.046
1660.391    1.238    0.034   -0.268    0.047
1666.032    1.069    0.034   -0.215    0.042
1671.655    1.209    0.041   -0.143    0.049
1677.258    1.162    0.045   -0.243    0.044
1682.843    1.289    0.043   -0.083    0.048
1688.409    1.293    0.044   -0.053    0.048
1693.957    1.150    0.041   -0.017    0.045
1699.487    1.343    0.038   -0.167    0.049
1704.999    1.200    0.037   -0.183    0.044
1710.493    1.237    0.035   -0.100    0.046
1715.970    1.267    0.039   -0.103    0.045
1721.429    1.288    0.045    0.105    0.047
1726.871    1.439    0.046    0.122    0.049
1732.296    1.334    0.047    0.177    0.047
1737.704    1.460    0.048    0.189    0.048
1743.095    1.360    0.048    0.235    0.048
1748.469    1.359    0.039    0.063    0.050
1753.827    1.478    0.043    0.132    0.050
1759.169    1.407    0.047    0.314    0.049
1764.495    1.405    0.042    0.169    0.051
1769.804    1.521    0.047    0.390    0.051
1775.098    1.516    0.049    0.409    0.051
1780.376    1.407    0.041    0.222    0.051
1785.638    1.505    0.049    0.464    0.051
1790.885    1.512    0.048    0.501    0.053
1796.116    1.480    0.048    0.538    0.052
1801.333    1.440    0.043    0.381    0.055
1806.534    1.474    0.048    0.601    0.053
1811.720    1.460    0.046    0.626    0.054
1816.892    1.399    0.040    0.457    0.065
1822.049    1.439    0.046    0.689    0.055
1827.191    1.407    0.047    0.712    0.055
1832.319    1.377    0.047    0.741    0.056
1837.432    1.316    0.043    0.532    0.062
1842.532    1.300    0.038    0.568    0.060
1847.617    1.348    0.043    0.787    0.055
1852.688    1.299    0.045    0.820    0.056
1857.746    1.298    0.047    0.861    0.057
1862.790    1.239    0.040    0.655    0.058
1867.820    1.261    0.046    0.878    0.056
1872.836    1.233    0.047    0.888    0.055
1877.840    1.200    0.043    0.911    0.055
1882.829    1.197    0.044    0.913    0.056
1887.806    1.150    0.046    0.932    0.056
1892.770    1.111    0.044    0.922    0.057
1897.721    1.108    0.043    0.955    0.055
1902.658    1.067    0.040    0.947    0.051
1907.583    1.044    0.042    0.927    0.052
1912.496    1.013    0.037    0.952    0.046
1917.395    1.006    0.035    0.958    0.043
1922.283    0.966    0.038    0.946    0.046
