   W                 M5-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.003    0.010    0.000    0.011
1493.809    0.000    0.010    0.001    0.010
1500.077    0.000    0.011    0.001    0.010
1506.319   -0.002    0.011   -0.002    0.009
1512.535    0.002    0.012   -0.002    0.009
1518.726   -0.001    0.012   -0.002    0.008
1524.891    0.001    0.012    0.005    0.008
1531.032   -0.001    0.012    0.001    0.008
1537.148    0.002    0.012   -0.003    0.008
1543.240    0.000    0.011   -0.003    0.008
1549.308    0.002    0.012   -0.003    0.008
1555.352   -0.003    0.011   -0.001    0.008
1561.373   -0.005    0.011    0.004    0.008
1567.371    0.003    0.011   -0.001    0.008
1573.346   -0.003    0.011    0.002    0.009
1579.298    0.001    0.011   -0.002    0.009
1585.228   -0.005    0.010    0.003    0.009
1591.136    0.003    0.010   -0.003    0.009
1597.022    0.001    0.009   -0.002    0.009
1602.886    0.003    0.009   -0.001    0.009
1608.729    0.006    0.008    0.002    0.010
1614.551    0.006    0.007    0.006    0.010
1620.352   -0.001    0.007   -0.003    0.009
1626.132   -0.007    0.006   -0.009    0.010
1631.892    0.003    0.006    0.007    0.009
1637.631   -0.002    0.005    0.000    0.008
1643.351    0.002    0.005   -0.000    0.007
1649.050    0.001    0.005    0.006    0.007
1654.730    0.005    0.005   -0.001    0.007
1660.391    0.007    0.004   -0.014    0.005
1666.032    0.043    0.004   -0.007    0.005
1671.655    0.006    0.004   -0.007    0.006
1677.258    0.039    0.004   -0.002    0.004
1682.843    0.002    0.004    0.001    0.005
1688.409    0.004    0.004   -0.001    0.005
1693.957    0.040    0.004   -0.015    0.007
1699.487    0.011    0.003   -0.008    0.005
1704.999    0.047    0.003   -0.010    0.005
1710.493    0.049    0.004   -0.005    0.005
1715.970    0.047    0.003    0.005    0.005
1721.429    0.023    0.005   -0.019    0.006
1726.871    0.003    0.003   -0.005    0.005
1732.296    0.018    0.005   -0.017    0.005
1737.704    0.002    0.003   -0.005    0.004
1743.095    0.019    0.005   -0.025    0.005
1748.469    0.030    0.005   -0.021    0.006
1753.827    0.011    0.003    0.013    0.004
1759.169    0.005    0.005   -0.029    0.005
1764.495    0.021    0.005   -0.018    0.006
1769.804    0.010    0.003   -0.007    0.005
1775.098    0.003    0.003    0.003    0.004
1780.376    0.019    0.004   -0.019    0.004
1785.638    0.005    0.004   -0.004    0.005
1790.885   -0.000    0.004   -0.003    0.005
1796.116    0.005    0.005   -0.003    0.004
1801.333    0.007    0.003    0.018    0.004
1806.534    0.003    0.003   -0.003    0.006
1811.720    0.002    0.005    0.004    0.005
1816.892    0.005    0.003    0.020    0.004
1822.049    0.003    0.004   -0.001    0.005
1827.191   -0.001    0.005   -0.001    0.006
1832.319    0.005    0.005   -0.004    0.004
1837.432    0.005    0.004    0.023    0.004
1842.532    0.001    0.003    0.023    0.004
1847.617    0.006    0.003   -0.007    0.006
1852.688    0.004    0.005    0.003    0.005
1857.746    0.010    0.004    0.000    0.004
1862.790   -0.002    0.003    0.018    0.003
1867.820    0.002    0.005    0.002    0.004
1872.836    0.003    0.005   -0.004    0.005
1877.840    0.013    0.005   -0.007    0.004
1882.829    0.008    0.005   -0.005    0.004
1887.806    0.006    0.005   -0.004    0.004
1892.770    0.003    0.006    0.001    0.004
1897.721    0.004    0.004   -0.000    0.004
1902.658    0.003    0.003   -0.004    0.003
1907.583    0.003    0.003    0.003    0.004
1912.496    0.004    0.003   -0.003    0.003
1917.395    0.006    0.003   -0.004    0.003
1922.283    0.001    0.003   -0.006    0.003
