   W                 E3-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.318    0.126   -0.047    0.130
1493.809    0.092    0.228    0.007    0.235
1500.077   -0.435    0.443    0.234    0.570
1506.319   -0.478    0.392    0.032    1.026
1512.535    0.141    0.309   -0.113    0.315
1518.726   -0.121    0.110   -0.041    0.085
1524.891   -0.127    0.098   -0.007    0.099
1531.032   -0.588    0.103    0.296    0.089
1537.148   -0.212    0.073    0.105    0.091
1543.240   -0.035    0.126   -0.132    0.073
1549.308   -0.886    0.111   -1.707    0.114
1555.352   -0.368    0.093    0.169    0.069
1561.373    0.242    0.690   -0.422    0.557
1567.371    0.086    0.113   -0.048    0.072
1573.346   -0.286    0.130   -0.083    0.058
1579.298   -0.070    0.129    0.023    0.050
1585.228    0.395    0.075   -0.104    0.056
1591.136    0.208    0.064    0.338    0.059
1597.022   -0.172    0.069    0.081    0.071
1602.886   -0.025    0.070   -0.120    0.053
1608.729   -0.270    0.054   -0.012    0.061
1614.551   -0.490    0.291   -0.095    0.998
1620.352    0.190    0.047   -0.375    0.059
1626.132   -0.033    0.063    0.172    0.041
1631.892    0.085    0.046   -0.181    0.042
1637.631   -0.038    0.041   -0.017    0.028
1643.351   -0.198    0.028    0.091    0.029
1649.050   -0.017    0.035   -0.198    0.045
1654.730   -0.139    0.036   -0.199    0.031
1660.391   -0.256    0.034   -0.165    0.021
1666.032   -0.131    0.034   -0.196    0.020
1671.655   -0.010    0.029   -0.074    0.021
1677.258    0.029    0.026   -0.118    0.029
1682.843    0.026    0.166   -0.084    0.081
1688.409   -0.180    0.030   -0.043    0.041
1693.957   -0.013    0.034   -0.044    0.026
1699.487    0.171    0.023    0.029    0.039
1704.999   -0.065    0.213   -0.104    0.231
1710.493    0.159    0.026   -0.396    0.029
1715.970   -0.044    0.032   -0.215    0.021
1721.429   -0.266    0.019   -0.071    0.025
1726.871    0.268    0.028   -0.242    0.034
1732.296    0.061    0.103   -0.043    0.142
1737.704    0.044    0.021   -0.140    0.024
1743.095    0.253    0.029    0.265    0.026
1748.469    0.138    0.024    0.107    0.022
1753.827   -0.013    0.020   -0.137    0.028
1759.169   -0.037    0.028   -0.334    0.018
1764.495    0.139    0.033    0.111    0.021
1769.804    0.046    0.155   -0.148    0.145
1775.098   -0.043    0.025   -0.235    0.026
1780.376    0.269    0.017   -0.102    0.034
1785.638    0.259    0.027   -0.128    0.025
1790.885   -0.143    0.027   -0.195    0.025
1796.116    0.025    0.022   -0.243    0.024
1801.333    0.159    0.028   -0.110    0.035
1806.534    0.211    0.023   -0.148    0.022
1811.720    0.070    0.023   -0.210    0.015
1816.892    0.043    0.018   -0.164    0.026
1822.049    0.124    0.020   -0.061    0.020
1827.191    0.057    0.016   -0.133    0.016
1832.319    0.075    0.023   -0.154    0.018
1837.432    0.177    0.025   -0.125    0.029
1842.532    0.136    0.022   -0.272    0.021
1847.617    0.014    0.021   -0.012    0.017
1852.688    0.063    0.102   -0.068    0.104
1857.746    0.138    0.016   -0.080    0.015
1862.790    0.102    0.023    0.154    0.022
1867.820    0.206    0.016   -0.133    0.019
1872.836    0.066    0.096   -0.036    0.065
1877.840    0.017    0.020   -0.165    0.019
1882.829    0.122    0.019   -0.250    0.022
1887.806    0.107    0.020    0.074    0.012
1892.770   -0.019    0.170    0.216    0.045
1897.721   -0.181    0.019   -0.147    0.016
1902.658    0.140    0.295   -0.316    0.118
1907.583   -0.036    0.011    0.119    0.018
1912.496    0.074    0.016   -0.225    0.019
1917.395   -0.016    0.013   -0.199    0.012
1922.283    0.243    0.010    0.043    0.011
