   W                 E3+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.070    0.066    0.107    0.069
1493.809    0.009    0.095   -0.008    0.083
1500.077   -0.046    0.496    0.325    0.099
1506.319    0.124    0.272    0.086    0.327
1512.535   -0.041    0.150   -0.002    0.170
1518.726    0.024    0.082   -0.005    0.050
1524.891    0.191    0.052   -0.011    0.043
1531.032   -0.137    0.053   -0.060    0.049
1537.148   -0.091    0.082   -0.235    0.049
1543.240   -0.076    0.027   -0.030    0.050
1549.308    0.021    0.025   -0.037    0.019
1555.352   -0.217    0.052    0.008    0.036
1561.373    0.103    0.206   -0.057    0.257
1567.371   -0.174    0.061    0.144    0.035
1573.346   -0.140    0.037    0.041    0.034
1579.298    0.038    0.049    0.020    0.025
1585.228   -0.207    0.041    0.064    0.032
1591.136   -0.020    0.025    0.063    0.031
1597.022   -0.094    0.025   -0.029    0.023
1602.886   -0.004    0.039    0.047    0.026
1608.729    0.107    0.020    0.062    0.026
1614.551   -0.070    0.151    0.005    0.135
1620.352    0.142    0.021    0.056    0.023
1626.132   -0.024    0.025   -0.036    0.024
1631.892   -0.080    0.022   -0.030    0.015
1637.631    0.026    0.016    0.012    0.012
1643.351   -0.124    0.019   -0.122    0.014
1649.050    0.035    0.011   -0.030    0.011
1654.730    0.025    0.015   -0.127    0.014
1660.391    0.089    0.014    0.108    0.012
1666.032   -0.039    0.012    0.013    0.010
1671.655   -0.015    0.012   -0.024    0.009
1677.258   -0.024    0.010    0.018    0.010
1682.843    0.002    0.065   -0.022    0.048
1688.409   -0.023    0.012   -0.057    0.010
1693.957   -0.057    0.015    0.020    0.011
1699.487    0.012    0.012    0.052    0.012
1704.999    0.010    0.023   -0.011    0.023
1710.493   -0.061    0.016   -0.060    0.009
1715.970    0.002    0.011   -0.021    0.013
1721.429   -0.046    0.007    0.041    0.012
1726.871    0.102    0.010    0.024    0.011
1732.296   -0.041    0.090   -0.064    0.061
1737.704    0.035    0.013   -0.023    0.009
1743.095    0.008    0.011    0.083    0.010
1748.469    0.074    0.012    0.035    0.011
1753.827   -0.020    0.010   -0.014    0.011
1759.169    0.058    0.008   -0.009    0.010
1764.495   -0.032    0.007    0.009    0.009
1769.804   -0.004    0.049    0.029    0.058
1775.098    0.011    0.008   -0.009    0.007
1780.376    0.003    0.011   -0.129    0.008
1785.638   -0.012    0.007    0.012    0.005
1790.885   -0.039    0.012   -0.019    0.011
1796.116    0.119    0.008    0.030    0.009
1801.333   -0.035    0.009    0.028    0.008
1806.534   -0.043    0.011    0.015    0.009
1811.720   -0.093    0.010   -0.127    0.010
1816.892    0.001    0.009    0.037    0.009
1822.049    0.026    0.012   -0.039    0.008
1827.191    0.074    0.011   -0.057    0.014
1832.319    0.104    0.009    0.020    0.010
1837.432   -0.009    0.007    0.000    0.008
1842.532   -0.006    0.010   -0.151    0.008
1847.617    0.001    0.017   -0.014    0.011
1852.688    0.119    0.063   -0.019    0.168
1857.746    0.063    0.011    0.092    0.011
1862.790   -0.003    0.006    0.001    0.006
1867.820   -0.070    0.010   -0.107    0.008
1872.836    0.094    0.047    0.039    0.105
1877.840   -0.007    0.007   -0.026    0.009
1882.829   -0.037    0.006   -0.027    0.007
1887.806    0.009    0.006   -0.025    0.004
1892.770   -0.007    0.012    0.009    0.011
1897.721    0.060    0.006   -0.005    0.008
1902.658    0.056    0.044    0.052    0.048
1907.583   -0.045    0.005    0.019    0.005
1912.496   -0.019    0.004   -0.009    0.010
1917.395   -0.148    0.005   -0.004    0.007
1922.283    0.070    0.004    0.020    0.009
