   W                 M2-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    1.262    0.220   -1.317    0.230
1493.809   -0.556    0.602   -0.391    0.710
1500.077   -0.347    1.043   -0.285    0.847
1506.319    1.140    1.817   -0.868    2.326
1512.535   -0.082    0.714   -0.285    0.718
1518.726   -0.362    0.219    0.650    0.159
1524.891    0.322    0.197   -0.067    0.181
1531.032   -1.007    0.173   -0.096    0.191
1537.148    0.035    0.202   -0.076    0.133
1543.240    0.442    0.212    0.197    0.165
1549.308    1.396    0.144   -0.781    0.179
1555.352    0.189    0.156   -0.668    0.135
1561.373   -1.003    1.963   -1.066    2.779
1567.371    0.187    0.216   -0.598    0.130
1573.346    0.096    0.183    0.344    0.120
1579.298    0.323    0.158   -0.350    0.109
1585.228   -0.032    0.121   -1.024    0.128
1591.136    0.362    0.119    0.406    0.098
1597.022    0.423    0.126   -0.503    0.098
1602.886    0.183    0.171   -0.544    0.113
1608.729   -0.006    0.096   -0.578    0.082
1614.551   -0.080    1.535    0.341    1.219
1620.352    1.129    0.100   -0.707    0.150
1626.132    0.692    0.103   -0.179    0.102
1631.892   -0.271    0.092   -0.540    0.072
1637.631   -0.051    0.059   -0.359    0.060
1643.351    0.541    0.062   -0.233    0.049
1649.050    0.969    0.048   -0.685    0.059
1654.730    0.269    0.055   -0.633    0.053
1660.391   -0.340    0.044    0.078    0.043
1666.032    0.463    0.050   -0.499    0.054
1671.655   -0.229    0.033   -0.116    0.039
1677.258    0.522    0.063   -0.754    0.052
1682.843   -0.107    0.631    0.372    0.199
1688.409   -0.172    0.052   -0.158    0.045
1693.957   -0.180    0.050   -0.485    0.053
1699.487   -0.144    0.048   -0.674    0.062
1704.999    0.704    0.104    0.013    1.101
1710.493   -0.013    0.048   -0.820    0.025
1715.970    0.188    0.033   -0.224    0.044
1721.429   -0.396    0.034   -0.181    0.044
1726.871    0.520    0.050   -0.542    0.050
1732.296    0.179    0.507   -0.379    0.266
1737.704   -0.158    0.038   -0.454    0.038
1743.095    0.871    0.042   -0.726    0.044
1748.469    0.346    0.058   -0.615    0.030
1753.827   -0.113    0.037   -0.500    0.041
1759.169    0.254    0.021   -0.307    0.038
1764.495    0.076    0.034   -0.610    0.038
1769.804    0.397    0.444   -0.414    0.403
1775.098   -0.039    0.041   -0.384    0.051
1780.376    0.324    0.042   -0.341    0.037
1785.638    0.713    0.034   -0.354    0.035
1790.885    0.040    0.039   -0.362    0.045
1796.116    0.179    0.025   -0.390    0.045
1801.333    0.423    0.040   -0.412    0.057
1806.534    0.269    0.043   -0.472    0.030
1811.720    0.058    0.029   -0.285    0.033
1816.892   -0.171    0.035   -0.380    0.051
1822.049    0.154    0.034   -0.342    0.034
1827.191    0.163    0.035   -0.382    0.044
1832.319    0.003    0.034   -0.253    0.037
1837.432    0.280    0.044   -0.542    0.042
1842.532    0.261    0.030   -0.361    0.036
1847.617    0.033    0.043   -0.152    0.035
1852.688    0.413    0.891   -0.630    0.596
1857.746   -0.438    0.044   -0.151    0.032
1862.790    0.243    0.042   -0.493    0.022
1867.820    0.208    0.028   -0.110    0.034
1872.836    0.488    0.314   -0.247    0.402
1877.840    0.355    0.031   -0.385    0.030
1882.829    0.119    0.031   -0.579    0.039
1887.806    0.169    0.039   -0.563    0.031
1892.770    0.387    0.112   -0.129    0.309
1897.721   -0.171    0.032   -0.469    0.031
1902.658    0.263    0.489   -0.542    0.286
1907.583    0.421    0.014   -0.063    0.020
1912.496   -0.037    0.022   -0.272    0.021
1917.395    0.013    0.014   -0.136    0.018
1922.283   -0.255    0.020   -0.304    0.013
