   W                 M4+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.045    0.042   -0.019    0.050
1493.809    0.066    0.090   -0.052    0.089
1500.077    0.086    0.177   -0.167    0.150
1506.319   -0.083    0.217   -0.101    0.184
1512.535    0.100    0.090   -0.033    0.115
1518.726   -0.001    0.046    0.079    0.031
1524.891   -0.056    0.035    0.042    0.033
1531.032   -0.033    0.025   -0.033    0.032
1537.148   -0.031    0.048    0.053    0.021
1543.240    0.033    0.018    0.106    0.035
1549.308   -0.006    0.019   -0.007    0.014
1555.352   -0.059    0.033    0.123    0.026
1561.373   -0.018    0.101   -0.047    0.056
1567.371   -0.030    0.034   -0.018    0.022
1573.346    0.054    0.023    0.008    0.023
1579.298    0.004    0.027    0.030    0.018
1585.228    0.059    0.017   -0.013    0.019
1591.136   -0.032    0.019   -0.021    0.020
1597.022    0.095    0.019    0.060    0.020
1602.886    0.061    0.021    0.058    0.017
1608.729    0.067    0.013    0.065    0.016
1614.551   -0.020    0.078   -0.041    0.073
1620.352   -0.040    0.013   -0.079    0.015
1626.132    0.036    0.015    0.033    0.017
1631.892    0.003    0.011    0.030    0.012
1637.631    0.054    0.010    0.036    0.009
1643.351   -0.055    0.010    0.036    0.009
1649.050   -0.010    0.007    0.018    0.007
1654.730   -0.005    0.009    0.030    0.010
1660.391   -0.013    0.008   -0.007    0.008
1666.032   -0.010    0.009   -0.055    0.008
1671.655    0.044    0.007   -0.016    0.008
1677.258    0.017    0.007   -0.001    0.008
1682.843    0.021    0.068    0.041    0.041
1688.409   -0.049    0.009    0.057    0.010
1693.957   -0.052    0.008    0.026    0.010
1699.487   -0.014    0.007    0.042    0.008
1704.999   -0.008    0.025    0.016    0.016
1710.493   -0.088    0.005    0.001    0.008
1715.970    0.014    0.008    0.024    0.008
1721.429    0.067    0.007    0.019    0.007
1726.871    0.001    0.008   -0.013    0.006
1732.296    0.011    0.050    0.038    0.021
1737.704    0.006    0.007    0.012    0.007
1743.095   -0.010    0.005   -0.038    0.007
1748.469    0.023    0.006   -0.025    0.006
1753.827   -0.009    0.008    0.020    0.006
1759.169    0.047    0.007    0.012    0.006
1764.495    0.010    0.005    0.006    0.006
1769.804    0.015    0.034   -0.032    0.040
1775.098    0.005    0.007    0.005    0.006
1780.376   -0.023    0.006    0.024    0.009
1785.638   -0.011    0.006   -0.001    0.004
1790.885    0.014    0.007    0.028    0.007
1796.116    0.072    0.006    0.005    0.006
1801.333    0.040    0.005   -0.016    0.007
1806.534   -0.026    0.008   -0.028    0.007
1811.720   -0.017    0.008   -0.081    0.008
1816.892   -0.007    0.006   -0.038    0.007
1822.049    0.002    0.008    0.015    0.006
1827.191    0.021    0.006    0.018    0.007
1832.319   -0.046    0.007   -0.053    0.006
1837.432    0.011    0.004   -0.017    0.005
1842.532    0.048    0.006    0.012    0.007
1847.617    0.033    0.009    0.010    0.007
1852.688   -0.006    0.038   -0.026    0.016
1857.746   -0.047    0.006   -0.063    0.006
1862.790   -0.009    0.004    0.003    0.004
1867.820   -0.038    0.006   -0.032    0.006
1872.836   -0.012    0.023    0.002    0.034
1877.840    0.010    0.004   -0.025    0.005
1882.829    0.001    0.004    0.009    0.005
1887.806   -0.000    0.004    0.000    0.003
1892.770   -0.008    0.010   -0.010    0.010
1897.721   -0.017    0.004    0.000    0.003
1902.658    0.019    0.010    0.000    0.017
1907.583    0.003    0.003   -0.025    0.004
1912.496    0.037    0.005   -0.006    0.005
1917.395    0.044    0.004    0.005    0.005
1922.283    0.030    0.003   -0.042    0.003
