   W                 E2+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.006    0.019   -0.003    0.021
1493.809   -0.011    0.020   -0.013    0.020
1500.077   -0.007    0.021   -0.010    0.018
1506.319   -0.008    0.022   -0.017    0.017
1512.535   -0.011    0.022    0.004    0.017
1518.726   -0.006    0.023    0.011    0.016
1524.891   -0.016    0.023   -0.012    0.015
1531.032   -0.014    0.023   -0.012    0.015
1537.148   -0.011    0.023   -0.003    0.015
1543.240   -0.016    0.023   -0.000    0.014
1549.308   -0.022    0.023    0.008    0.015
1555.352   -0.028    0.023    0.002    0.015
1561.373   -0.018    0.022   -0.016    0.015
1567.371   -0.037    0.022   -0.001    0.015
1573.346   -0.028    0.022   -0.014    0.016
1579.298   -0.030    0.021   -0.022    0.016
1585.228   -0.035    0.021   -0.015    0.017
1591.136   -0.031    0.020   -0.021    0.017
1597.022   -0.036    0.020   -0.025    0.018
1602.886   -0.041    0.019   -0.030    0.018
1608.729   -0.038    0.019   -0.042    0.019
1614.551   -0.045    0.018   -0.039    0.019
1620.352   -0.039    0.017   -0.050    0.020
1626.132   -0.045    0.017   -0.051    0.020
1631.892   -0.038    0.017   -0.061    0.020
1637.631   -0.039    0.016   -0.056    0.020
1643.351   -0.042    0.016   -0.069    0.020
1649.050   -0.023    0.015   -0.071    0.020
1654.730   -0.021    0.016   -0.071    0.021
1660.391    0.095    0.019   -0.091    0.020
1666.032    0.118    0.020   -0.113    0.015
1671.655   -0.010    0.016   -0.077    0.018
1677.258    0.069    0.029   -0.126    0.017
1682.843   -0.005    0.017   -0.085    0.018
1688.409    0.014    0.018   -0.073    0.018
1693.957    0.069    0.014   -0.050    0.012
1699.487    0.124    0.018   -0.149    0.019
1704.999    0.131    0.017   -0.173    0.014
1710.493    0.148    0.015   -0.155    0.015
1715.970    0.136    0.018   -0.168    0.015
1721.429    0.045    0.018   -0.091    0.015
1726.871    0.024    0.018   -0.055    0.021
1732.296    0.052    0.017   -0.076    0.017
1737.704    0.022    0.018   -0.062    0.018
1743.095    0.056    0.017   -0.061    0.018
1748.469    0.187    0.014   -0.091    0.021
1753.827    0.152    0.016   -0.096    0.019
1759.169    0.043    0.016   -0.041    0.018
1764.495    0.182    0.013   -0.101    0.021
1769.804    0.034    0.016   -0.054    0.017
1775.098    0.031    0.018   -0.041    0.018
1780.376    0.198    0.011   -0.064    0.018
1785.638    0.027    0.019   -0.042    0.017
1790.885    0.029    0.018   -0.040    0.018
1796.116    0.033    0.017   -0.049    0.017
1801.333    0.181    0.014   -0.074    0.021
1806.534    0.039    0.019   -0.044    0.018
1811.720    0.027    0.018   -0.039    0.019
1816.892    0.166    0.011   -0.082    0.016
1822.049    0.029    0.018   -0.037    0.018
1827.191    0.038    0.019   -0.040    0.016
1832.319    0.036    0.016   -0.034    0.019
1837.432    0.186    0.012   -0.067    0.021
1842.532    0.185    0.012   -0.065    0.019
1847.617    0.033    0.014   -0.030    0.016
1852.688    0.032    0.018   -0.034    0.017
1857.746    0.038    0.018   -0.041    0.018
1862.790    0.195    0.013   -0.063    0.018
1867.820    0.028    0.020   -0.035    0.017
1872.836    0.030    0.019   -0.037    0.016
1877.840    0.037    0.018   -0.033    0.017
1882.829    0.032    0.018   -0.035    0.016
1887.806    0.033    0.017   -0.033    0.016
1892.770    0.025    0.018   -0.027    0.017
1897.721    0.033    0.014   -0.022    0.014
1902.658    0.028    0.013   -0.032    0.012
1907.583    0.029    0.012   -0.026    0.014
1912.496    0.097    0.013   -0.036    0.010
1917.395    0.026    0.010   -0.033    0.011
1922.283    0.032    0.010   -0.031    0.012
