   W                 M1-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.017    0.101   -0.022    0.107
1493.809    0.100    0.105   -0.010    0.104
1500.077    0.141    0.107   -0.000    0.101
1506.319    0.165    0.109    0.002    0.099
1512.535    0.172    0.110   -0.021    0.097
1518.726    0.195    0.111   -0.005    0.096
1524.891    0.209    0.111   -0.010    0.095
1531.032    0.209    0.111   -0.025    0.095
1537.148    0.216    0.111   -0.036    0.094
1543.240    0.215    0.111   -0.025    0.094
1549.308    0.224    0.111   -0.044    0.094
1555.352    0.226    0.110   -0.049    0.095
1561.373    0.216    0.110   -0.022    0.095
1567.371    0.213    0.110   -0.041    0.096
1573.346    0.214    0.109   -0.051    0.096
1579.298    0.207    0.108   -0.074    0.097
1585.228    0.203    0.107   -0.082    0.097
1591.136    0.176    0.107   -0.068    0.098
1597.022    0.173    0.106   -0.088    0.099
1602.886    0.161    0.105   -0.106    0.099
1608.729    0.146    0.104   -0.133    0.100
1614.551    0.141    0.104   -0.156    0.101
1620.352    0.121    0.102   -0.170    0.100
1626.132    0.078    0.101   -0.190    0.100
1631.892    0.088    0.101   -0.242    0.100
1637.631    0.045    0.100   -0.250    0.099
1643.351    0.024    0.099   -0.283    0.097
1649.050    0.013    0.099   -0.326    0.096
1654.730   -0.036    0.100   -0.381    0.094
1660.391   -0.045    0.106   -0.392    0.103
1666.032    0.469    0.096   -0.499    0.084
1671.655   -0.077    0.099   -0.636    0.086
1677.258    0.420    0.101   -0.737    0.068
1682.843   -0.039    0.098   -0.800    0.084
1688.409    0.010    0.098   -0.963    0.084
1693.957    0.644    0.096   -1.251    0.082
1699.487    0.240    0.092   -0.836    0.082
1704.999    0.868    0.086   -1.007    0.077
1710.493    0.949    0.091   -1.160    0.081
1715.970    1.065    0.086   -1.068    0.077
1721.429    1.179    0.091   -1.444    0.086
1726.871    0.894    0.095   -1.159    0.089
1732.296    1.322    0.091   -1.319    0.082
1737.704    1.052    0.093   -1.004    0.088
1743.095    1.394    0.092   -1.181    0.086
1748.469    1.482    0.078   -0.630    0.091
1753.827    1.166    0.082   -0.446    0.092
1759.169    1.328    0.088   -0.940    0.089
1764.495    1.438    0.080   -0.422    0.092
1769.804    1.137    0.085   -0.575    0.093
1775.098    1.155    0.087   -0.573    0.093
1780.376    1.370    0.073   -0.211    0.104
1785.638    1.118    0.085   -0.478    0.090
1790.885    1.109    0.086   -0.444    0.095
1796.116    1.114    0.083   -0.439    0.094
1801.333    1.141    0.082   -0.075    0.099
1806.534    1.114    0.084   -0.386    0.093
1811.720    1.091    0.083   -0.342    0.094
1816.892    1.113    0.068    0.012    0.111
1822.049    1.072    0.083   -0.318    0.095
1827.191    1.056    0.085   -0.293    0.093
1832.319    1.089    0.083   -0.289    0.094
1837.432    1.071    0.073    0.173    0.089
1842.532    1.010    0.074    0.042    0.081
1847.617    1.026    0.077   -0.224    0.104
1852.688    1.008    0.084   -0.228    0.090
1857.746    1.007    0.081   -0.171    0.089
1862.790    1.013    0.074    0.208    0.076
1867.820    0.967    0.084   -0.188    0.091
1872.836    0.950    0.086   -0.151    0.088
1877.840    0.957    0.082   -0.177    0.087
1882.829    0.940    0.082   -0.130    0.085
1887.806    0.911    0.084   -0.141    0.085
1892.770    0.932    0.084   -0.115    0.085
1897.721    0.905    0.080   -0.147    0.093
1902.658    0.929    0.082   -0.110    0.081
1907.583    0.882    0.080   -0.093    0.087
1912.496    0.831    0.070   -0.096    0.069
1917.395    0.875    0.067   -0.113    0.062
1922.283    0.862    0.067   -0.057    0.070
