   W                 M3+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.005    0.014   -0.010    0.016
1493.809    0.004    0.015   -0.011    0.015
1500.077    0.004    0.016   -0.000    0.014
1506.319   -0.002    0.017   -0.006    0.013
1512.535    0.000    0.017    0.004    0.013
1518.726    0.001    0.017    0.007    0.012
1524.891   -0.005    0.017    0.011    0.012
1531.032    0.007    0.017    0.002    0.012
1537.148    0.002    0.017   -0.015    0.012
1543.240    0.001    0.017    0.004    0.012
1549.308    0.004    0.017    0.003    0.012
1555.352    0.002    0.017    0.003    0.012
1561.373    0.000    0.017   -0.001    0.012
1567.371   -0.001    0.016   -0.000    0.013
1573.346    0.008    0.016    0.007    0.013
1579.298    0.006    0.015    0.001    0.013
1585.228    0.003    0.016   -0.006    0.013
1591.136    0.008    0.015   -0.002    0.014
1597.022    0.000    0.015    0.001    0.014
1602.886    0.004    0.014    0.001    0.014
1608.729    0.007    0.014    0.003    0.014
1614.551    0.009    0.013   -0.006    0.015
1620.352    0.008    0.013   -0.000    0.014
1626.132    0.003    0.013   -0.001    0.015
1631.892    0.013    0.012   -0.005    0.015
1637.631    0.009    0.012   -0.001    0.015
1643.351    0.001    0.012   -0.007    0.014
1649.050    0.005    0.012   -0.001    0.014
1654.730    0.015    0.013    0.000    0.014
1660.391    0.039    0.014   -0.031    0.016
1666.032    0.005    0.010   -0.016    0.015
1671.655    0.005    0.013   -0.004    0.014
1677.258   -0.006    0.010   -0.023    0.013
1682.843    0.011    0.015    0.001    0.015
1688.409    0.011    0.014   -0.004    0.014
1693.957   -0.007    0.012   -0.017    0.015
1699.487    0.028    0.013   -0.078    0.014
1704.999    0.015    0.009   -0.057    0.012
1710.493    0.001    0.009   -0.053    0.012
1715.970    0.018    0.009   -0.055    0.013
1721.429   -0.004    0.011   -0.010    0.014
1726.871    0.018    0.013   -0.009    0.015
1732.296    0.004    0.011   -0.015    0.015
1737.704    0.020    0.013   -0.001    0.015
1743.095    0.010    0.011   -0.030    0.014
1748.469    0.029    0.008   -0.078    0.012
1753.827    0.050    0.011   -0.061    0.013
1759.169    0.016    0.010   -0.021    0.012
1764.495    0.035    0.009   -0.070    0.012
1769.804    0.032    0.013   -0.006    0.013
1775.098    0.019    0.012    0.001    0.016
1780.376    0.029    0.008   -0.087    0.010
1785.638    0.029    0.011    0.001    0.015
1790.885    0.023    0.012    0.004    0.014
1796.116    0.032    0.011    0.006    0.014
1801.333    0.048    0.009   -0.086    0.015
1806.534    0.029    0.012    0.003    0.014
1811.720    0.031    0.013    0.003    0.016
1816.892    0.064    0.008   -0.070    0.015
1822.049    0.026    0.012    0.006    0.014
1827.191    0.032    0.012    0.006    0.015
1832.319    0.032    0.012   -0.000    0.015
1837.432    0.065    0.009   -0.076    0.017
1842.532    0.063    0.009   -0.083    0.016
1847.617    0.026    0.009    0.002    0.012
1852.688    0.023    0.011    0.000    0.015
1857.746    0.042    0.012    0.003    0.014
1862.790    0.066    0.009   -0.065    0.017
1867.820    0.027    0.011    0.009    0.014
1872.836    0.028    0.012    0.005    0.014
1877.840    0.032    0.010    0.006    0.012
1882.829    0.031    0.011    0.013    0.013
1887.806    0.034    0.011    0.011    0.013
1892.770    0.038    0.011    0.006    0.013
1897.721    0.029    0.009    0.001    0.011
1902.658    0.040    0.008    0.004    0.011
1907.583    0.030    0.009    0.001    0.011
1912.496    0.025    0.009    0.001    0.010
1917.395    0.036    0.007    0.008    0.008
1922.283    0.040    0.007    0.006    0.009
