   W                 E3-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.103    0.082    0.179    0.118
1493.809    0.067    0.081   -0.041    0.089
1500.077    0.024    0.093   -0.016    0.066
1506.319   -0.037    0.076   -0.002    0.046
1512.535    0.002    0.079    0.016    0.048
1518.726    0.007    0.062    0.001    0.035
1524.891   -0.000    0.060    0.005    0.034
1531.032    0.020    0.059    0.001    0.032
1537.148    0.013    0.058    0.015    0.030
1543.240    0.014    0.055    0.002    0.028
1549.308    0.021    0.053   -0.006    0.028
1555.352    0.023    0.051    0.006    0.028
1561.373    0.017    0.050    0.025    0.028
1567.371    0.015    0.049    0.027    0.030
1573.346    0.022    0.046    0.032    0.029
1579.298    0.033    0.044    0.014    0.030
1585.228    0.049    0.042    0.008    0.032
1591.136    0.034    0.042    0.024    0.032
1597.022    0.040    0.038    0.037    0.032
1602.886    0.047    0.037    0.026    0.032
1608.729    0.066    0.035    0.034    0.033
1614.551    0.057    0.033    0.020    0.034
1620.352    0.062    0.033    0.062    0.035
1626.132    0.070    0.031    0.070    0.034
1631.892    0.059    0.029    0.073    0.035
1637.631    0.064    0.028    0.093    0.032
1643.351    0.059    0.028    0.094    0.032
1649.050    0.060    0.027    0.112    0.029
1654.730    0.034    0.029    0.115    0.034
1660.391    0.042    0.027    0.127    0.029
1666.032    0.017    0.031    0.139    0.032
1671.655    0.018    0.029    0.158    0.028
1677.258    0.001    0.027    0.142    0.025
1682.843   -0.012    0.028    0.168    0.027
1688.409   -0.024    0.027    0.156    0.025
1693.957   -0.043    0.028    0.178    0.026
1699.487   -0.067    0.026    0.149    0.027
1704.999   -0.081    0.028    0.145    0.033
1710.493   -0.083    0.027    0.154    0.027
1715.970   -0.096    0.023    0.128    0.025
1721.429   -0.099    0.023    0.120    0.035
1726.871   -0.109    0.022    0.126    0.026
1732.296   -0.104    0.023    0.108    0.027
1737.704   -0.112    0.023    0.110    0.023
1743.095   -0.112    0.025    0.084    0.024
1748.469   -0.127    0.019    0.068    0.021
1753.827   -0.114    0.021    0.090    0.029
1759.169   -0.117    0.026    0.061    0.027
1764.495   -0.135    0.018    0.075    0.027
1769.804   -0.156    0.018    0.064    0.031
1775.098   -0.100    0.023    0.090    0.028
1780.376   -0.113    0.021   -0.003    0.023
1785.638   -0.137    0.020    0.020    0.026
1790.885   -0.107    0.020    0.067    0.033
1796.116   -0.128    0.018    0.053    0.028
1801.333   -0.137    0.019    0.030    0.032
1806.534   -0.133    0.018   -0.007    0.031
1811.720   -0.120    0.019    0.068    0.030
1816.892   -0.101    0.021    0.028    0.034
1822.049   -0.096    0.018    0.019    0.029
1827.191   -0.092    0.019   -0.028    0.023
1832.319   -0.148    0.019    0.030    0.027
1837.432   -0.094    0.017    0.032    0.024
1842.532   -0.099    0.016    0.011    0.024
1847.617   -0.103    0.017   -0.063    0.027
1852.688   -0.082    0.020   -0.020    0.024
1857.746   -0.116    0.018    0.032    0.027
1862.790   -0.056    0.020   -0.010    0.025
1867.820   -0.051    0.017   -0.052    0.024
1872.836    0.001    0.019   -0.010    0.022
1877.840   -0.087    0.017   -0.040    0.022
1882.829   -0.072    0.017   -0.026    0.025
1887.806   -0.034    0.016    0.032    0.018
1892.770   -0.032    0.015   -0.018    0.021
1897.721   -0.032    0.016   -0.054    0.020
1902.658   -0.021    0.016   -0.003    0.017
1907.583   -0.046    0.016   -0.045    0.021
1912.496   -0.017    0.015   -0.066    0.016
1917.395   -0.003    0.014    0.017    0.015
1922.283    0.032    0.013   -0.003    0.015
