   W                 E4+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.072    0.046    0.056    0.054
1493.809    0.047    0.044   -0.096    0.038
1500.077   -0.009    0.034    0.004    0.030
1506.319   -0.011    0.028    0.002    0.018
1512.535   -0.001    0.027    0.000    0.018
1518.726   -0.005    0.020   -0.006    0.013
1524.891   -0.001    0.020    0.005    0.012
1531.032   -0.003    0.020    0.007    0.012
1537.148    0.001    0.017    0.000    0.011
1543.240   -0.002    0.017    0.001    0.010
1549.308    0.004    0.017   -0.005    0.010
1555.352    0.000    0.017   -0.003    0.010
1561.373   -0.004    0.017    0.002    0.010
1567.371    0.001    0.017    0.002    0.010
1573.346    0.005    0.014    0.002    0.010
1579.298   -0.004    0.014    0.000    0.011
1585.228    0.003    0.014   -0.001    0.011
1591.136    0.001    0.014   -0.007    0.012
1597.022   -0.001    0.011    0.001    0.010
1602.886    0.000    0.011    0.000    0.010
1608.729   -0.001    0.011    0.003    0.011
1614.551   -0.004    0.010   -0.005    0.012
1620.352   -0.006    0.009    0.000    0.011
1626.132   -0.006    0.009   -0.007    0.011
1631.892   -0.000    0.008    0.003    0.010
1637.631   -0.005    0.008   -0.004    0.010
1643.351   -0.000    0.008   -0.002    0.010
1649.050   -0.009    0.007   -0.013    0.009
1654.730    0.002    0.007    0.003    0.009
1660.391   -0.003    0.006   -0.003    0.007
1666.032    0.005    0.006    0.004    0.007
1671.655    0.006    0.006    0.001    0.006
1677.258    0.003    0.007   -0.002    0.006
1682.843   -0.005    0.006    0.003    0.006
1688.409    0.003    0.006   -0.003    0.006
1693.957    0.000    0.007    0.002    0.005
1699.487   -0.001    0.007    0.001    0.005
1704.999    0.002    0.008    0.002    0.006
1710.493   -0.005    0.007   -0.003    0.005
1715.970   -0.000    0.007    0.002    0.005
1721.429    0.006    0.011    0.002    0.009
1726.871   -0.002    0.006    0.003    0.006
1732.296    0.000    0.006    0.003    0.006
1737.704    0.003    0.006    0.015    0.007
1743.095    0.002    0.005    0.003    0.007
1748.469    0.005    0.005    0.005    0.005
1753.827    0.002    0.006   -0.004    0.005
1759.169    0.004    0.006   -0.000    0.007
1764.495   -0.003    0.008   -0.000    0.005
1769.804    0.007    0.007    0.016    0.011
1775.098   -0.003    0.005    0.003    0.006
1780.376    0.015    0.008   -0.008    0.008
1785.638   -0.004    0.004    0.002    0.005
1790.885    0.002    0.006    0.002    0.005
1796.116    0.003    0.005   -0.003    0.005
1801.333   -0.002    0.005    0.005    0.006
1806.534    0.003    0.004    0.009    0.007
1811.720   -0.004    0.004    0.003    0.005
1816.892   -0.005    0.005   -0.004    0.007
1822.049    0.006    0.005    0.003    0.005
1827.191    0.014    0.005    0.009    0.006
1832.319   -0.004    0.004   -0.002    0.004
1837.432   -0.004    0.004   -0.006    0.006
1842.532    0.000    0.004   -0.003    0.005
1847.617   -0.000    0.004    0.010    0.005
1852.688    0.006    0.006   -0.017    0.005
1857.746   -0.003    0.003    0.007    0.005
1862.790    0.012    0.005    0.001    0.005
1867.820    0.004    0.004    0.013    0.005
1872.836    0.026    0.006   -0.021    0.005
1877.840   -0.001    0.003    0.002    0.004
1882.829   -0.001    0.004   -0.002    0.005
1887.806    0.010    0.005    0.034    0.005
1892.770    0.004    0.003   -0.007    0.004
1897.721    0.000    0.004    0.016    0.004
1902.658    0.004    0.004    0.003    0.003
1907.583   -0.006    0.003    0.006    0.003
1912.496   -0.005    0.003    0.012    0.003
1917.395    0.005    0.004    0.026    0.003
1922.283    0.017    0.004    0.004    0.005
