   W                 M2-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.253    0.140    0.380    0.194
1493.809   -0.081    0.134    0.093    0.123
1500.077    0.077    0.127    0.122    0.098
1506.319    0.054    0.108    0.183    0.073
1512.535    0.027    0.101    0.201    0.074
1518.726   -0.029    0.080    0.260    0.060
1524.891   -0.015    0.079    0.314    0.059
1531.032   -0.093    0.079    0.316    0.055
1537.148   -0.157    0.071    0.311    0.052
1543.240   -0.155    0.069    0.320    0.051
1549.308   -0.209    0.068    0.312    0.050
1555.352   -0.255    0.066    0.303    0.049
1561.373   -0.260    0.066    0.317    0.049
1567.371   -0.290    0.061    0.261    0.048
1573.346   -0.298    0.060    0.283    0.047
1579.298   -0.335    0.058    0.241    0.048
1585.228   -0.356    0.057    0.193    0.049
1591.136   -0.351    0.056    0.199    0.049
1597.022   -0.368    0.050    0.156    0.047
1602.886   -0.364    0.049    0.166    0.047
1608.729   -0.381    0.048    0.125    0.047
1614.551   -0.373    0.047    0.110    0.047
1620.352   -0.383    0.045    0.082    0.047
1626.132   -0.377    0.045    0.022    0.048
1631.892   -0.366    0.042    0.029    0.047
1637.631   -0.361    0.042   -0.029    0.046
1643.351   -0.352    0.040   -0.008    0.044
1649.050   -0.336    0.039   -0.066    0.043
1654.730   -0.331    0.038   -0.077    0.042
1660.391   -0.296    0.037   -0.094    0.042
1666.032   -0.287    0.037   -0.140    0.039
1671.655   -0.254    0.036   -0.130    0.038
1677.258   -0.213    0.035   -0.137    0.038
1682.843   -0.217    0.036   -0.142    0.037
1688.409   -0.169    0.036   -0.159    0.036
1693.957   -0.182    0.036   -0.149    0.036
1699.487   -0.155    0.037   -0.161    0.034
1704.999   -0.135    0.036   -0.171    0.036
1710.493   -0.143    0.036   -0.162    0.034
1715.970   -0.113    0.036   -0.158    0.035
1721.429   -0.124    0.035   -0.173    0.042
1726.871   -0.107    0.036   -0.144    0.039
1732.296   -0.106    0.035   -0.162    0.040
1737.704   -0.095    0.037   -0.159    0.036
1743.095   -0.089    0.038   -0.177    0.037
1748.469   -0.088    0.035   -0.203    0.035
1753.827   -0.062    0.036   -0.155    0.044
1759.169   -0.043    0.043   -0.203    0.047
1764.495   -0.063    0.038   -0.162    0.041
1769.804   -0.106    0.036   -0.179    0.053
1775.098    0.002    0.035   -0.162    0.045
1780.376   -0.035    0.042   -0.288    0.033
1785.638    0.005    0.037   -0.223    0.039
1790.885    0.050    0.042   -0.121    0.047
1796.116    0.038    0.039   -0.161    0.045
1801.333    0.025    0.039   -0.198    0.039
1806.534    0.061    0.040   -0.194    0.042
1811.720    0.046    0.040   -0.149    0.048
1816.892    0.087    0.041   -0.216    0.049
1822.049    0.103    0.039   -0.132    0.041
1827.191    0.140    0.037   -0.263    0.037
1832.319    0.028    0.040   -0.137    0.042
1837.432    0.113    0.031   -0.219    0.036
1842.532    0.145    0.032   -0.173    0.039
1847.617    0.169    0.033   -0.171    0.036
1852.688    0.116    0.043   -0.273    0.035
1857.746    0.096    0.037   -0.164    0.036
1862.790    0.231    0.031   -0.197    0.030
1867.820    0.231    0.034   -0.128    0.032
1872.836    0.226    0.033   -0.209    0.035
1877.840    0.158    0.029   -0.181    0.038
1882.829    0.145    0.027   -0.088    0.044
1887.806    0.155    0.033   -0.021    0.029
1892.770    0.242    0.020   -0.064    0.027
1897.721    0.247    0.028   -0.107    0.026
1902.658    0.302    0.022   -0.139    0.021
1907.583    0.202    0.020   -0.080    0.032
1912.496    0.227    0.022   -0.121    0.025
1917.395    0.212    0.022   -0.041    0.021
1922.283    0.259    0.019   -0.124    0.027
