   W                 M2+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.052    0.067   -0.139    0.090
1493.809   -0.011    0.069   -0.153    0.086
1500.077   -0.033    0.078    0.012    0.056
1506.319   -0.049    0.065    0.010    0.038
1512.535   -0.004    0.061   -0.008    0.040
1518.726   -0.020    0.045   -0.020    0.031
1524.891   -0.017    0.045   -0.023    0.031
1531.032   -0.011    0.046    0.009    0.029
1537.148   -0.030    0.040   -0.008    0.028
1543.240   -0.028    0.039   -0.010    0.027
1549.308   -0.039    0.038   -0.015    0.027
1555.352   -0.040    0.038   -0.024    0.027
1561.373   -0.052    0.037   -0.047    0.027
1567.371   -0.040    0.035   -0.040    0.027
1573.346   -0.053    0.034   -0.046    0.026
1579.298   -0.057    0.033   -0.044    0.027
1585.228   -0.067    0.032   -0.063    0.028
1591.136   -0.078    0.032   -0.078    0.029
1597.022   -0.071    0.027   -0.088    0.027
1602.886   -0.058    0.027   -0.100    0.027
1608.729   -0.068    0.026   -0.111    0.027
1614.551   -0.077    0.025   -0.119    0.027
1620.352   -0.069    0.024   -0.151    0.028
1626.132   -0.066    0.024   -0.174    0.031
1631.892   -0.052    0.023   -0.187    0.028
1637.631   -0.037    0.022   -0.223    0.028
1643.351   -0.026    0.022   -0.227    0.027
1649.050    0.000    0.022   -0.255    0.027
1654.730    0.016    0.022   -0.245    0.028
1660.391    0.043    0.023   -0.267    0.027
1666.032    0.086    0.025   -0.284    0.027
1671.655    0.092    0.024   -0.280    0.026
1677.258    0.125    0.024   -0.266    0.026
1682.843    0.136    0.025   -0.272    0.026
1688.409    0.165    0.025   -0.256    0.024
1693.957    0.183    0.026   -0.255    0.025
1699.487    0.200    0.025   -0.236    0.025
1704.999    0.234    0.025   -0.211    0.024
1710.493    0.239    0.024   -0.213    0.025
1715.970    0.254    0.023   -0.193    0.025
1721.429    0.265    0.023   -0.183    0.028
1726.871    0.272    0.023   -0.166    0.025
1732.296    0.282    0.023   -0.162    0.025
1737.704    0.296    0.023   -0.124    0.027
1743.095    0.297    0.023   -0.131    0.026
1748.469    0.300    0.022   -0.103    0.022
1753.827    0.291    0.022   -0.134    0.028
1759.169    0.303    0.022   -0.088    0.032
1764.495    0.287    0.022   -0.119    0.032
1769.804    0.308    0.021   -0.033    0.028
1775.098    0.304    0.024   -0.038    0.034
1780.376    0.323    0.027   -0.032    0.024
1785.638    0.305    0.024   -0.026    0.028
1790.885    0.305    0.028   -0.050    0.031
1796.116    0.301    0.025   -0.054    0.028
1801.333    0.297    0.021   -0.003    0.039
1806.534    0.308    0.025   -0.006    0.031
1811.720    0.296    0.024   -0.001    0.030
1816.892    0.288    0.026    0.016    0.034
1822.049    0.314    0.024   -0.012    0.027
1827.191    0.315    0.024   -0.007    0.030
1832.319    0.272    0.022    0.025    0.028
1837.432    0.275    0.020    0.087    0.025
1842.532    0.286    0.019    0.040    0.025
1847.617    0.297    0.020    0.059    0.029
1852.688    0.312    0.025    0.148    0.024
1857.746    0.270    0.020    0.065    0.031
1862.790    0.316    0.022   -0.006    0.026
1867.820    0.323    0.020    0.034    0.023
1872.836    0.348    0.026    0.062    0.026
1877.840    0.242    0.018    0.130    0.025
1882.829    0.241    0.018    0.140    0.023
1887.806    0.340    0.020    0.165    0.022
1892.770    0.251    0.015    0.205    0.018
1897.721    0.271    0.017    0.079    0.021
1902.658    0.287    0.016    0.033    0.019
1907.583    0.235    0.015    0.158    0.020
1912.496    0.262    0.015    0.107    0.018
1917.395    0.300    0.015    0.146    0.017
1922.283    0.287    0.016    0.129    0.021
