   W                 M1-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.017    0.101   -0.022    0.107
1493.809    0.100    0.105   -0.010    0.104
1500.077    0.141    0.107   -0.000    0.101
1506.319    0.165    0.109    0.002    0.099
1512.535    0.172    0.110   -0.021    0.097
1518.726    0.195    0.111   -0.005    0.096
1524.891    0.209    0.111   -0.010    0.095
1531.032    0.209    0.111   -0.025    0.095
1537.148    0.216    0.111   -0.036    0.094
1543.240    0.215    0.111   -0.025    0.094
1549.308    0.224    0.111   -0.044    0.094
1555.352    0.226    0.110   -0.049    0.095
1561.373    0.216    0.110   -0.022    0.095
1567.371    0.213    0.110   -0.041    0.096
1573.346    0.214    0.109   -0.051    0.096
1579.298    0.207    0.108   -0.074    0.097
1585.228    0.203    0.107   -0.082    0.097
1591.136    0.176    0.107   -0.068    0.098
1597.022    0.173    0.106   -0.088    0.099
1602.886    0.161    0.105   -0.106    0.099
1608.729    0.146    0.104   -0.133    0.100
1614.551    0.141    0.104   -0.156    0.101
1620.352    0.121    0.102   -0.170    0.100
1626.132    0.078    0.101   -0.190    0.100
1631.892    0.088    0.101   -0.242    0.100
1637.631    0.045    0.100   -0.250    0.099
1643.351    0.024    0.099   -0.283    0.097
1649.050    0.012    0.099   -0.326    0.096
1654.730   -0.036    0.100   -0.381    0.094
1660.391   -0.055    0.098   -0.443    0.092
1666.032   -0.073    0.099   -0.516    0.090
1671.655   -0.077    0.099   -0.636    0.086
1677.258   -0.070    0.098   -0.720    0.085
1682.843   -0.039    0.098   -0.800    0.084
1688.409    0.010    0.098   -0.963    0.084
1693.957    0.086    0.097   -1.024    0.083
1699.487    0.194    0.097   -1.118    0.083
1704.999    0.328    0.097   -1.190    0.086
1710.493    0.479    0.097   -1.255    0.087
1715.970    0.629    0.096   -1.247    0.086
1721.429    0.761    0.096   -1.216    0.088
1726.871    0.894    0.095   -1.159    0.089
1732.296    0.979    0.094   -1.089    0.090
1737.704    1.052    0.093   -1.004    0.088
1743.095    1.102    0.092   -0.934    0.090
1748.469    1.127    0.092   -0.858    0.091
1753.827    1.143    0.090   -0.772    0.092
1759.169    1.159    0.089   -0.710    0.093
1764.495    1.165    0.088   -0.632    0.092
1769.804    1.149    0.095   -0.573    0.105
1775.098    1.155    0.087   -0.573    0.093
1780.376    1.118    0.086   -0.521    0.095
1785.638    1.118    0.085   -0.478    0.090
1790.885    1.109    0.086   -0.444    0.095
1796.116    1.136    0.095   -0.406    0.108
1801.333    1.117    0.084   -0.395    0.094
1806.534    1.114    0.084   -0.386    0.093
1811.720    1.091    0.083   -0.342    0.094
1816.892    1.072    0.082   -0.332    0.094
1822.049    1.072    0.083   -0.318    0.095
1827.191    1.056    0.085   -0.293    0.093
1832.319    1.089    0.083   -0.289    0.094
1837.432    1.084    0.081   -0.250    0.099
1842.532    1.020    0.081   -0.263    0.091
1847.617    1.026    0.077   -0.224    0.104
1852.688    1.008    0.084   -0.228    0.090
1857.746    1.007    0.081   -0.171    0.089
1862.790    0.984    0.085   -0.175    0.093
1867.820    0.967    0.084   -0.188    0.091
1872.836    0.950    0.086   -0.151    0.088
1877.840    0.957    0.082   -0.177    0.087
1882.829    0.928    0.066   -0.202    0.093
1887.806    0.911    0.084   -0.141    0.085
1892.770    0.932    0.084   -0.115    0.085
1897.721    0.905    0.080   -0.147    0.093
1902.658    0.871    0.074   -0.105    0.078
1907.583    0.881    0.066   -0.162    0.067
1912.496    0.880    0.071   -0.115    0.064
1917.395    0.875    0.067   -0.113    0.062
1922.283    0.807    0.064   -0.133    0.062
