   W                 M1+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.107    0.041   -0.035    0.045
1493.809    0.151    0.043   -0.003    0.042
1500.077    0.172    0.044   -0.090    0.040
1506.319    0.211    0.044   -0.039    0.039
1512.535    0.265    0.044   -0.136    0.038
1518.726    0.316    0.044   -0.113    0.038
1524.891    0.383    0.045   -0.157    0.038
1531.032    0.405    0.045   -0.168    0.037
1537.148    0.438    0.044   -0.172    0.037
1543.240    0.441    0.044   -0.205    0.036
1549.308    0.508    0.043   -0.217    0.037
1555.352    0.525    0.043   -0.204    0.036
1561.373    0.585    0.043   -0.262    0.037
1567.371    0.598    0.042   -0.249    0.036
1573.346    0.644    0.041   -0.236    0.037
1579.298    0.668    0.041   -0.251    0.037
1585.228    0.718    0.040   -0.247    0.037
1591.136    0.770    0.039   -0.308    0.038
1597.022    0.826    0.039   -0.276    0.038
1602.886    0.838    0.038   -0.267    0.038
1608.729    0.876    0.037   -0.276    0.039
1614.551    0.891    0.036   -0.259    0.040
1620.352    0.945    0.036   -0.238    0.041
1626.132    0.973    0.035   -0.249    0.041
1631.892    1.012    0.035   -0.238    0.042
1637.631    1.040    0.035   -0.225    0.043
1643.351    1.077    0.035   -0.216    0.044
1649.050    1.136    0.035   -0.198    0.045
1654.730    1.135    0.036   -0.177    0.046
1660.391    1.177    0.037   -0.178    0.047
1666.032    1.200    0.039   -0.142    0.048
1671.655    1.209    0.041   -0.143    0.049
1677.258    1.257    0.041   -0.098    0.048
1682.843    1.289    0.043   -0.083    0.048
1688.409    1.293    0.044   -0.053    0.048
1693.957    1.318    0.045   -0.049    0.048
1699.487    1.363    0.045    0.001    0.048
1704.999    1.385    0.045    0.018    0.048
1710.493    1.388    0.046    0.038    0.049
1715.970    1.399    0.046    0.074    0.048
1721.429    1.416    0.046    0.095    0.048
1726.871    1.439    0.046    0.122    0.049
1732.296    1.462    0.047    0.152    0.049
1737.704    1.460    0.048    0.189    0.048
1743.095    1.477    0.049    0.215    0.049
1748.469    1.488    0.050    0.247    0.050
1753.827    1.490    0.048    0.295    0.049
1759.169    1.490    0.048    0.311    0.049
1764.495    1.510    0.048    0.347    0.050
1769.804    1.508    0.049    0.376    0.051
1775.098    1.516    0.049    0.409    0.051
1780.376    1.505    0.048    0.435    0.051
1785.638    1.505    0.049    0.464    0.051
1790.885    1.512    0.048    0.501    0.053
1796.116    1.466    0.049    0.538    0.055
1801.333    1.495    0.047    0.561    0.053
1806.534    1.474    0.048    0.601    0.053
1811.720    1.460    0.046    0.626    0.054
1816.892    1.452    0.046    0.647    0.054
1822.049    1.439    0.046    0.689    0.055
1827.191    1.407    0.047    0.712    0.055
1832.319    1.377    0.047    0.741    0.056
1837.432    1.374    0.046    0.757    0.057
1842.532    1.372    0.045    0.775    0.055
1847.617    1.348    0.043    0.787    0.055
1852.688    1.299    0.045    0.820    0.056
1857.746    1.298    0.047    0.861    0.057
1862.790    1.289    0.044    0.863    0.057
1867.820    1.261    0.046    0.878    0.056
1872.836    1.233    0.047    0.888    0.055
1877.840    1.200    0.043    0.911    0.055
1882.829    1.101    0.041    0.840    0.052
1887.806    1.150    0.046    0.932    0.056
1892.770    1.111    0.044    0.922    0.057
1897.721    1.108    0.043    0.955    0.055
1902.658    1.048    0.040    0.924    0.052
1907.583    0.999    0.040    0.964    0.046
1912.496    1.021    0.036    0.965    0.044
1917.395    1.006    0.035    0.958    0.043
1922.283    0.969    0.036    0.962    0.043
