   W                 E3+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.045    0.044    0.067    0.052
1493.809   -0.052    0.042    0.045    0.047
1500.077    0.012    0.049   -0.017    0.037
1506.319   -0.024    0.042    0.010    0.024
1512.535    0.001    0.041   -0.007    0.025
1518.726    0.001    0.027   -0.002    0.017
1524.891    0.005    0.028    0.004    0.017
1531.032   -0.002    0.028    0.004    0.016
1537.148    0.001    0.024    0.002    0.016
1543.240    0.000    0.024    0.001    0.015
1549.308    0.000    0.024   -0.012    0.014
1555.352   -0.000    0.023    0.000    0.015
1561.373    0.001    0.024    0.005    0.014
1567.371    0.001    0.022    0.001    0.014
1573.346   -0.004    0.021    0.008    0.014
1579.298    0.002    0.020    0.001    0.015
1585.228   -0.004    0.019    0.000    0.016
1591.136   -0.007    0.020   -0.007    0.016
1597.022    0.001    0.016    0.003    0.015
1602.886    0.003    0.016   -0.000    0.015
1608.729    0.009    0.015   -0.004    0.016
1614.551    0.002    0.015    0.001    0.016
1620.352    0.005    0.014    0.006    0.016
1626.132   -0.002    0.014    0.005    0.016
1631.892    0.008    0.013    0.004    0.015
1637.631   -0.004    0.012    0.001    0.014
1643.351   -0.006    0.011   -0.008    0.014
1649.050   -0.003    0.011    0.006    0.013
1654.730    0.002    0.010   -0.001    0.013
1660.391   -0.009    0.010   -0.004    0.013
1666.032   -0.003    0.011   -0.000    0.012
1671.655    0.006    0.010    0.004    0.011
1677.258    0.008    0.012    0.010    0.010
1682.843   -0.003    0.011    0.003    0.011
1688.409    0.004    0.010   -0.001    0.011
1693.957    0.001    0.011    0.003    0.011
1699.487    0.011    0.011    0.005    0.010
1704.999    0.002    0.011   -0.000    0.013
1710.493    0.002    0.011   -0.002    0.012
1715.970    0.007    0.012    0.000    0.011
1721.429    0.007    0.012   -0.004    0.011
1726.871    0.000    0.013   -0.010    0.011
1732.296   -0.003    0.012   -0.004    0.011
1737.704   -0.005    0.015   -0.017    0.013
1743.095   -0.002    0.011   -0.005    0.013
1748.469   -0.002    0.009   -0.003    0.011
1753.827    0.005    0.013    0.009    0.012
1759.169   -0.005    0.014   -0.003    0.012
1764.495    0.013    0.012    0.012    0.015
1769.804   -0.002    0.012   -0.032    0.016
1775.098   -0.000    0.012   -0.009    0.012
1780.376   -0.034    0.015    0.001    0.013
1785.638   -0.000    0.009   -0.005    0.013
1790.885   -0.007    0.011    0.002    0.013
1796.116    0.010    0.010    0.007    0.010
1801.333    0.011    0.012   -0.003    0.011
1806.534    0.011    0.009   -0.003    0.011
1811.720    0.004    0.010   -0.008    0.011
1816.892   -0.004    0.011    0.000    0.014
1822.049   -0.004    0.010    0.006    0.011
1827.191   -0.002    0.010    0.001    0.011
1832.319    0.030    0.008    0.001    0.010
1837.432   -0.004    0.008   -0.017    0.011
1842.532   -0.003    0.008    0.005    0.012
1847.617   -0.000    0.008   -0.011    0.012
1852.688   -0.040    0.011    0.001    0.011
1857.746    0.026    0.008   -0.017    0.012
1862.790   -0.028    0.009    0.014    0.010
1867.820   -0.018    0.007    0.005    0.010
1872.836   -0.073    0.010    0.040    0.012
1877.840    0.003    0.009   -0.003    0.011
1882.829    0.006    0.008    0.001    0.012
1887.806   -0.047    0.008   -0.055    0.009
1892.770   -0.032    0.007   -0.014    0.008
1897.721   -0.014    0.006   -0.005    0.008
1902.658   -0.033    0.007   -0.004    0.007
1907.583   -0.009    0.006   -0.012    0.008
1912.496   -0.008    0.005   -0.006    0.007
1917.395   -0.039    0.006   -0.048    0.008
1922.283   -0.060    0.006   -0.004    0.009
