   W                 M4-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.093    0.079    0.103    0.090
1493.809    0.023    0.065   -0.076    0.047
1500.077    0.011    0.044    0.008    0.040
1506.319    0.017    0.042   -0.002    0.027
1512.535    0.005    0.037    0.006    0.027
1518.726    0.003    0.029    0.000    0.020
1524.891   -0.001    0.027    0.003    0.018
1531.032   -0.002    0.030   -0.003    0.019
1537.148    0.002    0.025   -0.002    0.018
1543.240   -0.000    0.025   -0.000    0.017
1549.308   -0.001    0.025    0.006    0.016
1555.352    0.001    0.024    0.004    0.017
1561.373    0.012    0.024   -0.011    0.016
1567.371   -0.001    0.023    0.003    0.016
1573.346   -0.001    0.023    0.001    0.016
1579.298   -0.005    0.022    0.007    0.017
1585.228    0.011    0.021   -0.011    0.018
1591.136    0.008    0.021    0.002    0.018
1597.022    0.005    0.016   -0.003    0.016
1602.886    0.004    0.017    0.001    0.016
1608.729    0.001    0.016    0.000    0.017
1614.551   -0.009    0.016   -0.005    0.020
1620.352    0.003    0.014    0.001    0.016
1626.132    0.004    0.014    0.007    0.019
1631.892    0.015    0.013    0.011    0.018
1637.631    0.011    0.012   -0.001    0.015
1643.351    0.010    0.011    0.002    0.014
1649.050    0.010    0.009    0.005    0.013
1654.730    0.000    0.010   -0.005    0.017
1660.391    0.005    0.010    0.001    0.013
1666.032    0.008    0.010   -0.006    0.014
1671.655    0.016    0.009    0.010    0.011
1677.258    0.006    0.010    0.002    0.012
1682.843    0.004    0.009    0.003    0.012
1688.409    0.011    0.010    0.001    0.011
1693.957    0.014    0.011    0.012    0.013
1699.487    0.014    0.011    0.009    0.013
1704.999    0.009    0.012    0.002    0.011
1710.493    0.012    0.011    0.007    0.014
1715.970    0.010    0.011    0.010    0.012
1721.429    0.000    0.014   -0.006    0.011
1726.871    0.009    0.010    0.013    0.011
1732.296    0.006    0.011    0.002    0.011
1737.704    0.009    0.012    0.015    0.011
1743.095    0.004    0.012    0.000    0.013
1748.469    0.011    0.010    0.001    0.011
1753.827    0.006    0.010    0.004    0.012
1759.169    0.008    0.012   -0.008    0.013
1764.495    0.003    0.011   -0.002    0.010
1769.804   -0.018    0.013    0.004    0.014
1775.098    0.006    0.010    0.009    0.012
1780.376    0.005    0.011   -0.021    0.009
1785.638    0.016    0.011    0.013    0.013
1790.885    0.010    0.012    0.021    0.011
1796.116    0.011    0.010    0.008    0.013
1801.333    0.010    0.010    0.020    0.013
1806.534    0.015    0.010    0.023    0.012
1811.720    0.005    0.009    0.009    0.014
1816.892    0.011    0.011   -0.002    0.015
1822.049    0.009    0.009    0.007    0.011
1827.191    0.020    0.011   -0.009    0.013
1832.319    0.006    0.009    0.019    0.015
1837.432    0.022    0.011   -0.004    0.009
1842.532    0.012    0.010    0.009    0.011
1847.617    0.016    0.008    0.025    0.012
1852.688    0.012    0.013   -0.011    0.009
1857.746    0.015    0.008   -0.018    0.009
1862.790    0.025    0.009   -0.012    0.009
1867.820    0.004    0.009    0.012    0.011
1872.836    0.016    0.008   -0.014    0.008
1877.840    0.014    0.009   -0.016    0.010
1882.829    0.014    0.007   -0.023    0.010
1887.806   -0.011    0.008   -0.003    0.007
1892.770    0.034    0.006   -0.009    0.006
1897.721    0.011    0.008    0.013    0.008
1902.658    0.029    0.006   -0.004    0.006
1907.583    0.020    0.006   -0.002    0.009
1912.496    0.009    0.005   -0.009    0.008
1917.395   -0.006    0.006    0.003    0.005
1922.283    0.018    0.005   -0.013    0.006
