   W                 E3-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.040    0.108    0.234    0.136
1493.809   -0.084    0.120    0.070    0.117
1500.077    0.017    0.128    0.186    0.124
1506.319   -0.200    0.130    0.256    0.094
1512.535   -0.500    0.136    0.118    0.099
1518.726   -0.253    0.103    0.536    0.097
1524.891   -0.232    0.107    0.522    0.138
1531.032    0.203    0.109   -0.073    0.121
1537.148    0.121    0.091   -0.191    0.064
1543.240   -0.177    0.083    0.077    0.092
1549.308   -0.429    0.108    0.304    0.080
1555.352   -0.039    0.093   -0.037    0.088
1561.373    0.103    0.092   -0.177    0.090
1567.371    0.091    0.079    0.111    0.063
1573.346    0.029    0.087    0.320    0.092
1579.298    0.181    0.076   -0.320    0.091
1585.228   -0.070    0.055   -0.096    0.054
1591.136    0.238    0.082   -0.030    0.076
1597.022    0.141    0.064   -0.234    0.050
1602.886    0.144    0.057   -0.061    0.058
1608.729   -0.210    0.048    0.010    0.050
1614.551    0.143    0.063   -0.394    0.043
1620.352   -0.136    0.044   -0.085    0.072
1626.132    0.036    0.050   -0.040    0.040
1631.892   -0.153    0.037    0.081    0.046
1637.631    0.070    0.048   -0.024    0.027
1643.351    0.025    0.030   -0.139    0.034
1649.050    0.151    0.045   -0.122    0.035
1654.730   -0.055    0.029    0.033    0.024
1660.391   -0.017    0.035    0.181    0.028
1666.032    0.149    0.028    0.186    0.022
1671.655    0.111    0.023   -0.038    0.028
1677.258    0.181    0.037   -0.003    0.022
1682.843    0.110    0.027   -0.001    0.027
1688.409    0.151    0.027    0.018    0.027
1693.957    0.317    0.043    0.036    0.028
1699.487    0.166    0.030    0.150    0.027
1704.999    0.165    0.026   -0.011    0.024
1710.493    0.227    0.023    0.057    0.035
1715.970    0.135    0.028   -0.072    0.023
1721.429    0.094    0.034    0.232    0.020
1726.871    0.012    0.030    0.076    0.019
1732.296    0.010    0.027    0.144    0.022
1737.704    0.189    0.026    0.117    0.018
1743.095    0.035    0.025    0.062    0.016
1748.469    0.034    0.027    0.050    0.019
1753.827   -0.080    0.036    0.107    0.015
1759.169   -0.041    0.022    0.076    0.018
1764.495    0.084    0.020    0.132    0.028
1769.804   -0.028    0.019    0.043    0.021
1775.098   -0.127    0.026    0.150    0.025
1780.376   -0.109    0.025    0.062    0.023
1785.638   -0.029    0.030    0.129    0.021
1790.885    0.059    0.032    0.109    0.019
1796.116   -0.127    0.023    0.112    0.018
1801.333   -0.006    0.022    0.134    0.021
1806.534    0.061    0.019    0.100    0.018
1811.720    0.016    0.023    0.136    0.022
1816.892    0.016    0.017    0.126    0.017
1822.049    0.039    0.019    0.186    0.018
1827.191   -0.027    0.021    0.142    0.021
1832.319    0.013    0.021    0.258    0.022
1837.432   -0.084    0.030    0.077    0.016
1842.532   -0.081    0.020    0.029    0.021
1847.617   -0.175    0.025    0.218    0.028
1852.688   -0.270    0.024    0.240    0.025
1857.746    0.003    0.023    0.224    0.016
1862.790    0.062    0.021    0.114    0.017
1867.820    0.005    0.025    0.145    0.020
1872.836   -0.179    0.018   -0.076    0.023
1877.840   -0.046    0.019    0.054    0.021
1882.829    0.021    0.020    0.037    0.023
1887.806    0.015    0.019    0.116    0.021
1892.770   -0.117    0.015    0.045    0.019
1897.721   -0.007    0.017    0.048    0.013
1902.658   -0.026    0.017    0.051    0.016
1907.583   -0.094    0.014    0.030    0.015
1912.496   -0.004    0.017    0.097    0.017
1917.395   -0.025    0.014    0.112    0.012
1922.283   -0.103    0.014    0.045    0.015
