   W                 E5+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.088    0.030   -0.018    0.024
1493.809   -0.026    0.022   -0.007    0.031
1500.077    0.054    0.021   -0.028    0.025
1506.319    0.065    0.022   -0.024    0.019
1512.535   -0.029    0.020   -0.095    0.020
1518.726   -0.074    0.021    0.072    0.018
1524.891   -0.055    0.019   -0.022    0.017
1531.032   -0.024    0.019    0.012    0.022
1537.148    0.052    0.025   -0.144    0.028
1543.240    0.026    0.014   -0.004    0.016
1549.308   -0.014    0.020    0.045    0.011
1555.352   -0.027    0.013   -0.028    0.016
1561.373    0.021    0.012   -0.015    0.012
1567.371    0.073    0.020   -0.010    0.017
1573.346    0.020    0.013    0.012    0.010
1579.298    0.035    0.013   -0.001    0.010
1585.228    0.063    0.014   -0.052    0.015
1591.136   -0.029    0.010    0.006    0.011
1597.022   -0.014    0.011   -0.064    0.012
1602.886    0.014    0.009   -0.022    0.009
1608.729    0.050    0.011   -0.001    0.012
1614.551    0.014    0.009    0.024    0.007
1620.352   -0.017    0.007   -0.015    0.009
1626.132   -0.023    0.008    0.002    0.008
1631.892   -0.005    0.006   -0.005    0.005
1637.631    0.002    0.008    0.002    0.005
1643.351    0.036    0.006   -0.006    0.006
1649.050   -0.004    0.003   -0.019    0.004
1654.730   -0.023    0.004    0.014    0.005
1660.391   -0.018    0.005   -0.012    0.003
1666.032    0.005    0.004    0.014    0.004
1671.655    0.035    0.005    0.008    0.004
1677.258    0.001    0.003    0.014    0.004
1682.843   -0.007    0.003   -0.000    0.004
1688.409    0.013    0.004    0.018    0.005
1693.957   -0.004    0.003   -0.009    0.004
1699.487   -0.011    0.004   -0.002    0.004
1704.999   -0.004    0.004   -0.017    0.003
1710.493    0.026    0.004   -0.005    0.005
1715.970    0.014    0.004   -0.015    0.004
1721.429   -0.005    0.004    0.017    0.003
1726.871   -0.003    0.004    0.022    0.004
1732.296    0.017    0.004   -0.009    0.004
1737.704   -0.001    0.003    0.009    0.003
1743.095   -0.018    0.004    0.012    0.004
1748.469    0.004    0.003    0.008    0.005
1753.827    0.000    0.004   -0.000    0.003
1759.169    0.002    0.004    0.028    0.004
1764.495    0.014    0.003    0.005    0.003
1769.804   -0.000    0.005   -0.015    0.004
1775.098   -0.000    0.003   -0.010    0.004
1780.376    0.009    0.003    0.004    0.004
1785.638    0.012    0.004    0.016    0.003
1790.885   -0.003    0.003    0.009    0.004
1796.116   -0.005    0.004    0.019    0.003
1801.333    0.001    0.003    0.014    0.003
1806.534   -0.020    0.003    0.024    0.003
1811.720    0.021    0.003   -0.000    0.003
1816.892    0.023    0.004    0.028    0.004
1822.049   -0.012    0.004   -0.001    0.003
1827.191    0.008    0.003   -0.010    0.003
1832.319    0.006    0.003   -0.001    0.002
1837.432    0.005    0.003    0.003    0.003
1842.532   -0.012    0.004    0.011    0.003
1847.617   -0.005    0.003   -0.006    0.002
1852.688   -0.004    0.002   -0.009    0.003
1857.746   -0.001    0.003    0.010    0.003
1862.790   -0.009    0.003   -0.002    0.003
1867.820    0.006    0.003   -0.009    0.002
1872.836   -0.016    0.003    0.012    0.003
1877.840    0.009    0.003    0.009    0.003
1882.829    0.010    0.002   -0.008    0.002
1887.806    0.003    0.002   -0.011    0.002
1892.770    0.023    0.003   -0.000    0.002
1897.721   -0.014    0.003    0.002    0.002
1902.658   -0.006    0.002   -0.010    0.002
1907.583   -0.007    0.002    0.014    0.002
1912.496    0.001    0.002    0.001    0.002
1917.395   -0.005    0.002    0.007    0.002
1922.283    0.003    0.002   -0.005    0.002
