   W                 M3-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.064    0.089   -0.152    0.149
1493.809    0.256    0.113   -0.187    0.099
1500.077   -0.335    0.087    0.103    0.084
1506.319   -0.046    0.098   -0.022    0.077
1512.535    0.333    0.110   -0.128    0.078
1518.726    0.116    0.095   -0.265    0.099
1524.891    0.220    0.094   -0.368    0.107
1531.032   -0.055    0.104   -0.070    0.098
1537.148   -0.003    0.086    0.177    0.063
1543.240    0.126    0.086    0.041    0.082
1549.308    0.215    0.103   -0.227    0.056
1555.352    0.105    0.082    0.042    0.079
1561.373    0.060    0.075    0.037    0.079
1567.371   -0.071    0.063   -0.111    0.067
1573.346   -0.136    0.062   -0.144    0.070
1579.298   -0.100    0.069    0.334    0.076
1585.228    0.118    0.045    0.099    0.042
1591.136   -0.061    0.069   -0.036    0.062
1597.022   -0.160    0.056    0.247    0.045
1602.886   -0.461    0.050    0.065    0.062
1608.729    0.052    0.042   -0.026    0.049
1614.551   -0.036    0.047    0.040    0.039
1620.352    0.130    0.036   -0.052    0.044
1626.132   -0.006    0.039   -0.044    0.030
1631.892    0.085    0.030    0.037    0.039
1637.631   -0.006    0.038   -0.044    0.023
1643.351   -0.019    0.026    0.118    0.023
1649.050    0.267    0.031   -0.011    0.026
1654.730    0.256    0.022    0.117    0.032
1660.391    0.161    0.028   -0.102    0.021
1666.032   -0.132    0.014   -0.028    0.014
1671.655   -0.070    0.016   -0.047    0.018
1677.258   -0.093    0.019    0.046    0.020
1682.843   -0.004    0.026    0.035    0.022
1688.409    0.005    0.020   -0.024    0.018
1693.957   -0.099    0.026    0.103    0.023
1699.487    0.065    0.023    0.014    0.022
1704.999    0.051    0.026   -0.012    0.020
1710.493   -0.049    0.016   -0.068    0.022
1715.970    0.086    0.021    0.062    0.019
1721.429    0.066    0.017    0.025    0.019
1726.871    0.055    0.023    0.123    0.018
1732.296   -0.068    0.019    0.093    0.018
1737.704   -0.002    0.019    0.033    0.016
1743.095    0.066    0.020    0.027    0.016
1748.469   -0.057    0.024    0.204    0.022
1753.827    0.187    0.019    0.095    0.019
1759.169    0.164    0.017    0.043    0.016
1764.495    0.090    0.017   -0.117    0.020
1769.804    0.005    0.015   -0.040    0.018
1775.098   -0.006    0.019    0.021    0.020
1780.376   -0.157    0.020    0.090    0.020
1785.638   -0.025    0.028    0.144    0.017
1790.885   -0.073    0.023    0.158    0.020
1796.116    0.040    0.022   -0.015    0.015
1801.333    0.066    0.023    0.042    0.014
1806.534    0.025    0.015   -0.030    0.017
1811.720   -0.071    0.017   -0.098    0.016
1816.892   -0.025    0.013    0.042    0.018
1822.049    0.018    0.016    0.089    0.018
1827.191    0.076    0.016   -0.044    0.022
1832.319    0.050    0.017    0.023    0.018
1837.432   -0.114    0.014    0.012    0.015
1842.532   -0.018    0.020   -0.126    0.015
1847.617   -0.013    0.017   -0.107    0.016
1852.688    0.033    0.015    0.018    0.019
1857.746    0.017    0.017   -0.097    0.018
1862.790   -0.041    0.016   -0.052    0.014
1867.820   -0.000    0.016   -0.030    0.015
1872.836   -0.052    0.015    0.050    0.020
1877.840   -0.047    0.016   -0.104    0.018
1882.829   -0.042    0.014   -0.122    0.016
1887.806    0.043    0.014   -0.083    0.011
1892.770   -0.047    0.011   -0.014    0.010
1897.721   -0.061    0.016   -0.101    0.012
1902.658   -0.059    0.010   -0.073    0.009
1907.583   -0.050    0.014   -0.060    0.011
1912.496   -0.067    0.013   -0.071    0.009
1917.395    0.002    0.014   -0.040    0.008
1922.283   -0.092    0.010   -0.054    0.007
