   W                 M4+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.066    0.044   -0.072    0.033
1493.809    0.061    0.034   -0.181    0.042
1500.077   -0.036    0.034    0.102    0.034
1506.319   -0.013    0.033    0.102    0.036
1512.535    0.039    0.033   -0.068    0.041
1518.726    0.045    0.033    0.073    0.028
1524.891    0.131    0.034    0.173    0.028
1531.032    0.088    0.032    0.022    0.040
1537.148   -0.022    0.032   -0.147    0.041
1543.240   -0.050    0.029   -0.082    0.029
1549.308    0.041    0.036    0.007    0.023
1555.352   -0.064    0.020   -0.038    0.027
1561.373   -0.052    0.023    0.054    0.022
1567.371    0.093    0.028    0.042    0.023
1573.346    0.101    0.026    0.013    0.020
1579.298    0.021    0.024    0.011    0.020
1585.228   -0.073    0.023   -0.131    0.025
1591.136    0.014    0.019   -0.024    0.020
1597.022    0.006    0.019   -0.087    0.022
1602.886   -0.057    0.019    0.011    0.017
1608.729   -0.009    0.016   -0.001    0.018
1614.551    0.040    0.020    0.052    0.012
1620.352   -0.035    0.017    0.051    0.020
1626.132   -0.038    0.015   -0.021    0.015
1631.892   -0.055    0.015   -0.015    0.011
1637.631   -0.056    0.012    0.004    0.010
1643.351    0.020    0.010   -0.067    0.009
1649.050    0.008    0.010    0.072    0.009
1654.730    0.036    0.009    0.010    0.008
1660.391    0.021    0.009    0.012    0.008
1666.032    0.034    0.011   -0.047    0.010
1671.655    0.011    0.009   -0.005    0.008
1677.258   -0.004    0.010   -0.022    0.010
1682.843    0.048    0.007    0.013    0.006
1688.409    0.014    0.010    0.004    0.010
1693.957   -0.010    0.007    0.011    0.009
1699.487   -0.002    0.009    0.009    0.009
1704.999    0.046    0.008    0.025    0.007
1710.493    0.025    0.008   -0.045    0.009
1715.970    0.001    0.006    0.040    0.006
1721.429    0.051    0.008   -0.043    0.008
1726.871    0.061    0.008   -0.022    0.007
1732.296   -0.003    0.009   -0.025    0.008
1737.704    0.029    0.007    0.000    0.009
1743.095    0.031    0.007    0.013    0.007
1748.469   -0.018    0.006   -0.040    0.008
1753.827    0.009    0.007    0.017    0.006
1759.169    0.059    0.007   -0.043    0.007
1764.495    0.031    0.007    0.027    0.008
1769.804    0.043    0.007    0.032    0.008
1775.098    0.016    0.007    0.033    0.008
1780.376    0.000    0.006   -0.028    0.009
1785.638   -0.028    0.006    0.022    0.008
1790.885    0.010    0.008   -0.021    0.009
1796.116    0.031    0.008    0.012    0.007
1801.333   -0.032    0.005   -0.019    0.007
1806.534   -0.071    0.008   -0.005    0.008
1811.720   -0.015    0.008    0.009    0.006
1816.892    0.033    0.005    0.033    0.007
1822.049    0.009    0.006   -0.041    0.007
1827.191   -0.004    0.006    0.036    0.006
1832.319    0.030    0.007    0.025    0.006
1837.432    0.002    0.006   -0.038    0.006
1842.532   -0.028    0.008    0.027    0.007
1847.617   -0.024    0.005   -0.001    0.006
1852.688   -0.029    0.005   -0.017    0.006
1857.746   -0.031    0.007   -0.001    0.006
1862.790    0.006    0.008   -0.027    0.005
1867.820    0.009    0.006    0.011    0.006
1872.836    0.001    0.005   -0.034    0.007
1877.840   -0.024    0.006    0.018    0.006
1882.829   -0.008    0.005    0.018    0.005
1887.806   -0.022    0.007   -0.006    0.005
1892.770   -0.007    0.005   -0.013    0.005
1897.721   -0.022    0.007   -0.025    0.005
1902.658   -0.023    0.005   -0.012    0.005
1907.583    0.003    0.004    0.008    0.004
1912.496   -0.004    0.004   -0.024    0.005
1917.395    0.009    0.005    0.005    0.005
1922.283   -0.012    0.004   -0.018    0.003
