   W                 E1+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.015    0.105    0.063    0.139
1493.809   -0.034    0.133    0.049    0.112
1500.077    0.052    0.127   -0.024    0.089
1506.319   -0.024    0.105   -0.024    0.059
1512.535    0.029    0.100    0.010    0.061
1518.726    0.005    0.072   -0.030    0.044
1524.891   -0.010    0.071   -0.012    0.043
1531.032    0.008    0.072   -0.014    0.039
1537.148    0.015    0.065   -0.014    0.037
1543.240    0.020    0.063   -0.019    0.036
1549.308    0.021    0.061   -0.009    0.035
1555.352    0.043    0.060   -0.024    0.036
1561.373    0.034    0.060   -0.019    0.036
1567.371    0.043    0.055   -0.030    0.037
1573.346    0.036    0.053   -0.035    0.036
1579.298    0.046    0.052   -0.030    0.038
1585.228    0.045    0.051   -0.045    0.041
1591.136    0.032    0.050   -0.033    0.040
1597.022    0.041    0.043   -0.039    0.039
1602.886    0.048    0.042   -0.045    0.039
1608.729    0.059    0.040   -0.034    0.041
1614.551    0.059    0.039   -0.027    0.040
1620.352    0.071    0.037   -0.031    0.041
1626.132    0.113    0.035   -0.025    0.043
1631.892    0.074    0.035   -0.017    0.042
1637.631    0.106    0.033   -0.019    0.042
1643.351    0.084    0.031   -0.020    0.041
1649.050    0.097    0.033   -0.017    0.040
1654.730    0.103    0.030   -0.026    0.039
1660.391    0.110    0.031   -0.026    0.039
1666.032    0.127    0.031   -0.039    0.037
1671.655    0.114    0.031   -0.027    0.037
1677.258    0.132    0.033   -0.024    0.036
1682.843    0.119    0.031   -0.023    0.036
1688.409    0.130    0.033   -0.019    0.036
1693.957    0.121    0.031   -0.008    0.035
1699.487    0.146    0.032   -0.010    0.035
1704.999    0.150    0.032    0.001    0.035
1710.493    0.152    0.031    0.008    0.036
1715.970    0.158    0.031    0.018    0.037
1721.429    0.150    0.035    0.007    0.040
1726.871    0.169    0.031    0.029    0.040
1732.296    0.149    0.032    0.023    0.039
1737.704    0.158    0.032    0.019    0.043
1743.095    0.147    0.032    0.015    0.039
1748.469    0.153    0.030    0.004    0.037
1753.827    0.167    0.030    0.058    0.044
1759.169    0.160    0.039    0.026    0.051
1764.495    0.177    0.029    0.064    0.044
1769.804    0.171    0.031    0.068    0.043
1775.098    0.152    0.034    0.037    0.043
1780.376    0.174    0.027    0.111    0.049
1785.638    0.150    0.033    0.037    0.045
1790.885    0.171    0.035    0.107    0.053
1796.116    0.181    0.032    0.154    0.051
1801.333    0.161    0.033    0.062    0.057
1806.534    0.178    0.033    0.094    0.053
1811.720    0.178    0.032    0.110    0.055
1816.892    0.161    0.037    0.090    0.059
1822.049    0.158    0.031    0.181    0.047
1827.191    0.159    0.035    0.130    0.048
1832.319    0.155    0.030    0.235    0.043
1837.432    0.172    0.028    0.187    0.045
1842.532    0.150    0.028    0.134    0.044
1847.617    0.157    0.031    0.093    0.046
1852.688    0.140    0.032    0.172    0.040
1857.746    0.175    0.031    0.123    0.052
1862.790    0.086    0.037    0.190    0.038
1867.820    0.105    0.031    0.184    0.042
1872.836    0.134    0.031    0.132    0.043
1877.840    0.105    0.032    0.225    0.031
1882.829    0.096    0.031    0.137    0.040
1887.806    0.106    0.030    0.193    0.039
1892.770    0.110    0.028    0.133    0.038
1897.721    0.085    0.027    0.173    0.034
1902.658    0.069    0.024    0.183    0.025
1907.583    0.106    0.023    0.101    0.029
1912.496    0.058    0.026    0.207    0.023
1917.395    0.022    0.026    0.219    0.022
1922.283    0.106    0.018    0.143    0.028
