   W                 E5-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.089    0.041    0.123    0.061
1493.809    0.060    0.088   -0.087    0.046
1500.077    0.009    0.037   -0.000    0.029
1506.319   -0.012    0.035    0.010    0.022
1512.535    0.004    0.032   -0.002    0.023
1518.726    0.001    0.027   -0.003    0.014
1524.891    0.006    0.025   -0.006    0.014
1531.032   -0.002    0.025   -0.006    0.014
1537.148   -0.008    0.023    0.004    0.013
1543.240    0.002    0.024   -0.003    0.012
1549.308    0.005    0.021   -0.002    0.011
1555.352   -0.002    0.022   -0.004    0.012
1561.373    0.006    0.022   -0.005    0.012
1567.371   -0.006    0.021   -0.009    0.012
1573.346   -0.007    0.019   -0.004    0.012
1579.298    0.000    0.017    0.002    0.012
1585.228   -0.000    0.016   -0.006    0.013
1591.136   -0.001    0.016   -0.003    0.013
1597.022    0.006    0.014    0.001    0.013
1602.886   -0.005    0.013   -0.004    0.012
1608.729   -0.006    0.013    0.000    0.013
1614.551   -0.004    0.014   -0.006    0.013
1620.352    0.008    0.011    0.009    0.011
1626.132    0.002    0.011    0.004    0.011
1631.892    0.007    0.010   -0.001    0.011
1637.631   -0.004    0.010   -0.006    0.010
1643.351   -0.002    0.012   -0.006    0.010
1649.050    0.002    0.010    0.012    0.008
1654.730   -0.004    0.010   -0.005    0.008
1660.391   -0.003    0.009    0.005    0.006
1666.032    0.001    0.010    0.001    0.007
1671.655    0.000    0.008   -0.002    0.007
1677.258    0.009    0.008   -0.001    0.007
1682.843    0.002    0.009    0.007    0.007
1688.409    0.004    0.009    0.000    0.008
1693.957   -0.004    0.010   -0.003    0.008
1699.487   -0.001    0.009    0.006    0.007
1704.999    0.003    0.010   -0.002    0.007
1710.493   -0.007    0.009   -0.002    0.008
1715.970    0.004    0.007    0.001    0.008
1721.429    0.004    0.007    0.000    0.007
1726.871   -0.003    0.007    0.002    0.009
1732.296    0.000    0.007   -0.000    0.007
1737.704    0.004    0.006    0.002    0.008
1743.095   -0.001    0.006   -0.002    0.008
1748.469    0.002    0.005    0.000    0.006
1753.827   -0.000    0.006   -0.001    0.007
1759.169    0.002    0.006   -0.004    0.006
1764.495   -0.000    0.006    0.002    0.007
1769.804    0.000    0.005    0.010    0.006
1775.098   -0.002    0.005   -0.001    0.007
1780.376   -0.001    0.005    0.001    0.008
1785.638   -0.002    0.005   -0.001    0.007
1790.885    0.002    0.005    0.004    0.008
1796.116    0.002    0.005   -0.003    0.005
1801.333    0.001    0.005   -0.006    0.008
1806.534    0.007    0.004    0.001    0.008
1811.720    0.001    0.005    0.004    0.007
1816.892   -0.003    0.005    0.004    0.007
1822.049    0.002    0.005   -0.006    0.006
1827.191    0.013    0.005   -0.008    0.006
1832.319    0.019    0.005   -0.011    0.005
1837.432    0.008    0.004   -0.017    0.006
1842.532   -0.003    0.004    0.007    0.007
1847.617    0.003    0.004    0.002    0.007
1852.688    0.002    0.006   -0.003    0.006
1857.746    0.008    0.004    0.001    0.006
1862.790    0.002    0.005   -0.006    0.005
1867.820    0.005    0.005   -0.009    0.007
1872.836   -0.001    0.005   -0.008    0.007
1877.840   -0.000    0.004   -0.006    0.005
1882.829   -0.008    0.005   -0.001    0.006
1887.806    0.012    0.005   -0.007    0.005
1892.770    0.000    0.005    0.001    0.005
1897.721    0.005    0.004   -0.007    0.005
1902.658   -0.003    0.004   -0.012    0.004
1907.583   -0.010    0.004   -0.006    0.005
1912.496    0.002    0.003   -0.011    0.004
1917.395    0.004    0.003   -0.003    0.003
1922.283   -0.007    0.004   -0.003    0.005
