   W                 M3+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.004    0.044    0.003    0.056
1493.809    0.027    0.051   -0.020    0.043
1500.077    0.019    0.049   -0.012    0.037
1506.319   -0.025    0.044    0.001    0.026
1512.535    0.003    0.041    0.004    0.027
1518.726    0.000    0.031    0.008    0.020
1524.891   -0.005    0.029    0.013    0.020
1531.032    0.010    0.031    0.003    0.019
1537.148    0.002    0.027   -0.017    0.019
1543.240    0.000    0.026    0.005    0.018
1549.308    0.001    0.026    0.002    0.017
1555.352   -0.000    0.026    0.002    0.018
1561.373    0.000    0.026   -0.001    0.017
1567.371   -0.002    0.023   -0.001    0.017
1573.346    0.011    0.022    0.008    0.017
1579.298    0.008    0.021    0.003    0.017
1585.228    0.000    0.023   -0.007    0.019
1591.136    0.004    0.023   -0.004    0.019
1597.022   -0.001    0.018    0.002    0.018
1602.886    0.005    0.018    0.003    0.017
1608.729    0.007    0.017    0.004    0.018
1614.551    0.011    0.016   -0.003    0.018
1620.352    0.010    0.016   -0.000    0.017
1626.132    0.001    0.016   -0.005    0.018
1631.892    0.014    0.014   -0.007    0.017
1637.631    0.008    0.014   -0.005    0.017
1643.351    0.001    0.013   -0.007    0.016
1649.050    0.003    0.014   -0.003    0.016
1654.730    0.017    0.014    0.002    0.015
1660.391    0.004    0.015   -0.001    0.015
1666.032    0.017    0.016   -0.002    0.015
1671.655    0.002    0.014   -0.004    0.015
1677.258    0.004    0.015    0.012    0.016
1682.843    0.008    0.016    0.001    0.015
1688.409    0.010    0.015    0.000    0.015
1693.957    0.008    0.016   -0.001    0.015
1699.487    0.016    0.015    0.000    0.014
1704.999    0.023    0.015    0.001    0.014
1710.493    0.014    0.016   -0.002    0.014
1715.970    0.019    0.014   -0.001    0.015
1721.429    0.011    0.017   -0.003    0.015
1726.871    0.022    0.013   -0.011    0.016
1732.296    0.011    0.013   -0.009    0.016
1737.704    0.019    0.015   -0.010    0.018
1743.095    0.016    0.014   -0.009    0.016
1748.469    0.010    0.011   -0.011    0.013
1753.827    0.022    0.014    0.007    0.016
1759.169    0.017    0.014   -0.005    0.017
1764.495    0.023    0.014   -0.011    0.014
1769.804    0.025    0.013   -0.009    0.013
1775.098    0.020    0.012   -0.004    0.015
1780.376    0.002    0.013    0.008    0.016
1785.638    0.029    0.011   -0.000    0.015
1790.885    0.007    0.013    0.004    0.016
1796.116    0.020    0.012    0.012    0.015
1801.333    0.026    0.013   -0.003    0.018
1806.534    0.026    0.012    0.009    0.016
1811.720    0.031    0.013   -0.003    0.015
1816.892    0.028    0.014   -0.002    0.017
1822.049    0.007    0.012    0.014    0.015
1827.191    0.026    0.011    0.019    0.015
1832.319   -0.002    0.011    0.028    0.013
1837.432    0.014    0.010    0.007    0.013
1842.532    0.020    0.010   -0.002    0.013
1847.617    0.026    0.010    0.003    0.013
1852.688    0.022    0.011   -0.010    0.012
1857.746    0.044    0.011   -0.025    0.016
1862.790    0.023    0.011    0.021    0.014
1867.820    0.012    0.011    0.022    0.012
1872.836    0.020    0.011    0.007    0.013
1877.840    0.016    0.010   -0.010    0.011
1882.829    0.031    0.010    0.004    0.013
1887.806    0.015    0.010    0.020    0.012
1892.770    0.044    0.009    0.006    0.012
1897.721    0.010    0.009    0.010    0.011
1902.658    0.006    0.008   -0.003    0.009
1907.583    0.025    0.008    0.002    0.009
1912.496    0.013    0.008   -0.000    0.009
1917.395    0.010    0.008    0.005    0.007
1922.283    0.027    0.007    0.002    0.008
