   W                 E3-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.047    0.113    0.154    0.142
1493.809    0.031    0.131    0.149    0.132
1500.077   -0.028    0.142    0.155    0.102
1506.319   -0.290    0.126    0.194    0.083
1512.535   -0.159    0.161    0.037    0.092
1518.726    0.163    0.122    0.047    0.082
1524.891    0.040    0.146   -0.033    0.071
1531.032    0.224    0.169   -0.102    0.068
1537.148    0.040    0.139    0.067    0.081
1543.240    0.011    0.107   -0.011    0.066
1549.308    0.074    0.109    0.163    0.066
1555.352    0.067    0.136    0.033    0.063
1561.373    0.054    0.103   -0.071    0.070
1567.371   -0.195    0.116   -0.035    0.059
1573.346    0.252    0.109    0.088    0.079
1579.298    0.084    0.106    0.043    0.065
1585.228    0.003    0.090    0.022    0.063
1591.136   -0.074    0.085    0.028    0.069
1597.022    0.166    0.060    0.005    0.060
1602.886    0.040    0.074   -0.031    0.068
1608.729    0.066    0.062    0.126    0.058
1614.551    0.130    0.063   -0.047    0.063
1620.352    0.025    0.050   -0.015    0.048
1626.132    0.027    0.048   -0.044    0.055
1631.892    0.087    0.045    0.024    0.052
1637.631    0.040    0.033    0.032    0.038
1643.351    0.073    0.035    0.101    0.045
1649.050    0.137    0.031    0.188    0.037
1654.730   -0.003    0.030    0.011    0.031
1660.391    0.107    0.028    0.137    0.033
1666.032   -0.061    0.030    0.162    0.032
1671.655    0.011    0.030    0.135    0.025
1677.258    0.059    0.027    0.084    0.030
1682.843   -0.053    0.036    0.160    0.033
1688.409   -0.024    0.027    0.153    0.027
1693.957   -0.055    0.036    0.149    0.031
1699.487   -0.124    0.036    0.076    0.034
1704.999   -0.138    0.029    0.016    0.027
1710.493   -0.144    0.025    0.205    0.030
1715.970   -0.126    0.027    0.104    0.032
1721.429   -0.107    0.023    0.148    0.022
1726.871   -0.108    0.025    0.109    0.037
1732.296   -0.085    0.023    0.108    0.032
1737.704   -0.126    0.023    0.108    0.027
1743.095   -0.086    0.018    0.110    0.024
1748.469   -0.166    0.018    0.122    0.025
1753.827   -0.089    0.022    0.085    0.029
1759.169   -0.026    0.017    0.177    0.030
1764.495   -0.149    0.020    0.006    0.032
1769.804   -0.095    0.019    0.033    0.029
1775.098   -0.138    0.020    0.017    0.025
1780.376   -0.099    0.018    0.040    0.031
1785.638   -0.169    0.023    0.050    0.028
1790.885   -0.115    0.019    0.003    0.027
1796.116   -0.208    0.020   -0.093    0.027
1801.333   -0.085    0.018    0.053    0.033
1806.534   -0.091    0.016    0.038    0.028
1811.720   -0.101    0.021    0.049    0.027
1816.892   -0.113    0.022    0.029    0.033
1822.049   -0.043    0.017    0.024    0.024
1827.191   -0.021    0.015    0.000    0.019
1832.319   -0.070    0.017   -0.037    0.031
1837.432   -0.139    0.020   -0.061    0.026
1842.532   -0.121    0.021    0.031    0.026
1847.617   -0.113    0.020   -0.013    0.019
1852.688   -0.094    0.018    0.021    0.027
1857.746   -0.104    0.021   -0.039    0.027
1862.790   -0.057    0.018    0.008    0.031
1867.820   -0.106    0.020    0.006    0.029
1872.836   -0.072    0.016    0.100    0.025
1877.840   -0.077    0.019    0.007    0.025
1882.829   -0.071    0.019   -0.004    0.022
1887.806   -0.020    0.019   -0.063    0.024
1892.770    0.010    0.015   -0.038    0.021
1897.721   -0.022    0.016   -0.019    0.022
1902.658   -0.084    0.014   -0.017    0.021
1907.583   -0.043    0.016   -0.071    0.019
1912.496   -0.025    0.016   -0.098    0.019
1917.395   -0.044    0.014   -0.024    0.016
1922.283   -0.030    0.014   -0.072    0.019
