   W                 E5+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.056    0.032   -0.005    0.031
1493.809    0.041    0.024   -0.020    0.027
1500.077    0.066    0.024   -0.016    0.023
1506.319    0.056    0.027   -0.023    0.020
1512.535    0.089    0.030   -0.031    0.023
1518.726    0.126    0.035   -0.041    0.024
1524.891    0.062    0.025   -0.016    0.019
1531.032   -0.054    0.029   -0.034    0.016
1537.148    0.004    0.028   -0.026    0.014
1543.240   -0.033    0.017   -0.008    0.017
1549.308   -0.030    0.026    0.034    0.013
1555.352   -0.033    0.019    0.008    0.014
1561.373    0.012    0.020   -0.023    0.012
1567.371    0.020    0.019    0.008    0.014
1573.346   -0.025    0.017   -0.037    0.014
1579.298   -0.020    0.017   -0.009    0.012
1585.228    0.027    0.019    0.044    0.011
1591.136   -0.042    0.015   -0.030    0.010
1597.022    0.024    0.013   -0.024    0.011
1602.886   -0.005    0.012   -0.016    0.013
1608.729    0.022    0.011    0.042    0.011
1614.551    0.013    0.010    0.009    0.010
1620.352   -0.003    0.008   -0.031    0.008
1626.132    0.016    0.006   -0.004    0.008
1631.892    0.004    0.006    0.008    0.007
1637.631    0.002    0.005   -0.002    0.007
1643.351   -0.009    0.004   -0.013    0.006
1649.050    0.010    0.003   -0.008    0.005
1654.730   -0.005    0.003   -0.024    0.005
1660.391    0.009    0.003   -0.012    0.005
1666.032    0.004    0.003    0.004    0.004
1671.655   -0.008    0.003   -0.000    0.004
1677.258    0.001    0.003    0.001    0.004
1682.843   -0.005    0.003   -0.003    0.003
1688.409   -0.003    0.004    0.012    0.004
1693.957    0.002    0.003   -0.003    0.004
1699.487   -0.002    0.003   -0.004    0.004
1704.999   -0.010    0.004   -0.005    0.004
1710.493    0.005    0.004    0.000    0.003
1715.970    0.004    0.003    0.011    0.004
1721.429   -0.002    0.004    0.000    0.003
1726.871    0.007    0.003    0.007    0.004
1732.296    0.003    0.003    0.007    0.003
1737.704   -0.000    0.003   -0.010    0.003
1743.095    0.010    0.003    0.013    0.004
1748.469    0.009    0.003    0.011    0.004
1753.827   -0.004    0.003   -0.004    0.004
1759.169   -0.003    0.003    0.012    0.003
1764.495    0.008    0.003   -0.001    0.003
1769.804    0.008    0.003   -0.006    0.003
1775.098    0.001    0.003   -0.005    0.003
1780.376    0.007    0.003    0.001    0.003
1785.638    0.006    0.003   -0.003    0.003
1790.885   -0.007    0.003   -0.001    0.003
1796.116   -0.005    0.003   -0.005    0.003
1801.333   -0.005    0.003    0.007    0.004
1806.534   -0.010    0.003   -0.008    0.003
1811.720    0.009    0.003    0.012    0.004
1816.892   -0.001    0.003    0.005    0.003
1822.049   -0.008    0.004   -0.010    0.003
1827.191   -0.015    0.003   -0.019    0.005
1832.319   -0.001    0.003   -0.007    0.003
1837.432   -0.001    0.003    0.007    0.003
1842.532    0.004    0.003    0.006    0.003
1847.617   -0.004    0.003   -0.001    0.003
1852.688   -0.007    0.003   -0.002    0.003
1857.746    0.003    0.003    0.003    0.002
1862.790   -0.000    0.003   -0.004    0.003
1867.820    0.008    0.002   -0.002    0.003
1872.836   -0.012    0.003    0.004    0.003
1877.840   -0.000    0.003   -0.000    0.003
1882.829    0.010    0.003    0.002    0.003
1887.806    0.004    0.003   -0.009    0.003
1892.770    0.004    0.003    0.016    0.003
1897.721    0.002    0.002   -0.008    0.002
1902.658    0.003    0.002    0.001    0.002
1907.583    0.011    0.002   -0.003    0.002
1912.496    0.006    0.002   -0.005    0.002
1917.395    0.005    0.002    0.002    0.002
1922.283   -0.000    0.001    0.001    0.001
