   W                 M2+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.085    0.129    0.015    0.130
1493.809   -0.059    0.112   -0.071    0.086
1500.077   -0.099    0.124   -0.010    0.080
1506.319   -0.039    0.117    0.063    0.085
1512.535   -0.085    0.124    0.044    0.081
1518.726   -0.050    0.135   -0.091    0.094
1524.891    0.177    0.131   -0.004    0.081
1531.032   -0.046    0.134    0.038    0.068
1537.148   -0.165    0.109   -0.079    0.067
1543.240    0.025    0.117   -0.110    0.067
1549.308   -0.313    0.106   -0.142    0.071
1555.352    0.092    0.103    0.059    0.062
1561.373    0.053    0.098   -0.048    0.073
1567.371    0.046    0.094   -0.138    0.063
1573.346   -0.172    0.087   -0.017    0.070
1579.298    0.003    0.076   -0.000    0.061
1585.228    0.094    0.089   -0.036    0.055
1591.136   -0.040    0.075   -0.018    0.060
1597.022   -0.087    0.079   -0.105    0.055
1602.886   -0.170    0.058   -0.138    0.059
1608.729   -0.120    0.052   -0.124    0.054
1614.551   -0.102    0.055   -0.192    0.059
1620.352   -0.056    0.053   -0.110    0.052
1626.132   -0.012    0.045   -0.075    0.044
1631.892    0.003    0.038   -0.160    0.045
1637.631    0.026    0.028   -0.225    0.040
1643.351   -0.040    0.030   -0.147    0.039
1649.050   -0.037    0.034   -0.255    0.035
1654.730    0.056    0.028   -0.224    0.033
1660.391    0.099    0.030   -0.250    0.030
1666.032    0.024    0.033   -0.318    0.032
1671.655    0.085    0.030   -0.188    0.034
1677.258    0.230    0.028   -0.237    0.035
1682.843    0.144    0.037   -0.298    0.035
1688.409    0.245    0.040   -0.256    0.037
1693.957    0.220    0.042   -0.217    0.037
1699.487    0.238    0.040   -0.224    0.038
1704.999    0.215    0.037   -0.205    0.035
1710.493    0.338    0.035   -0.377    0.035
1715.970    0.297    0.033   -0.197    0.033
1721.429    0.232    0.034   -0.143    0.030
1726.871    0.276    0.032   -0.189    0.033
1732.296    0.250    0.029   -0.186    0.031
1737.704    0.295    0.030   -0.108    0.031
1743.095    0.333    0.027   -0.103    0.027
1748.469    0.326    0.024   -0.060    0.030
1753.827    0.301    0.029   -0.083    0.033
1759.169    0.330    0.023   -0.053    0.031
1764.495    0.312    0.029   -0.075    0.030
1769.804    0.313    0.029   -0.086    0.029
1775.098    0.323    0.028   -0.070    0.028
1780.376    0.365    0.025   -0.040    0.032
1785.638    0.284    0.026   -0.115    0.033
1790.885    0.313    0.026   -0.042    0.033
1796.116    0.280    0.026   -0.074    0.031
1801.333    0.348    0.021   -0.039    0.034
1806.534    0.303    0.025   -0.016    0.035
1811.720    0.327    0.020    0.028    0.033
1816.892    0.284    0.026   -0.028    0.034
1822.049    0.284    0.025    0.074    0.030
1827.191    0.227    0.023   -0.006    0.027
1832.319    0.328    0.025    0.066    0.030
1837.432    0.278    0.024    0.070    0.027
1842.532    0.309    0.021    0.015    0.033
1847.617    0.284    0.022    0.003    0.030
1852.688    0.251    0.025    0.074    0.033
1857.746    0.319    0.020    0.103    0.032
1862.790    0.247    0.024    0.114    0.029
1867.820    0.256    0.022    0.098    0.028
1872.836    0.250    0.020    0.008    0.030
1877.840    0.245    0.021    0.091    0.028
1882.829    0.294    0.019    0.083    0.027
1887.806    0.260    0.020    0.142    0.024
1892.770    0.247    0.017    0.124    0.023
1897.721    0.238    0.018    0.128    0.021
1902.658    0.216    0.016    0.169    0.021
1907.583    0.252    0.016    0.120    0.019
1912.496    0.241    0.015    0.118    0.019
1917.395    0.214    0.013    0.078    0.016
1922.283    0.245    0.013    0.135    0.018
