   W                 M4-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.021    0.057    0.024    0.080
1493.809    0.142    0.056   -0.139    0.050
1500.077    0.052    0.054    0.027    0.047
1506.319    0.060    0.064    0.045    0.039
1512.535    0.107    0.063   -0.039    0.045
1518.726   -0.075    0.065   -0.052    0.044
1524.891    0.039    0.054   -0.042    0.037
1531.032   -0.049    0.062    0.048    0.033
1537.148    0.047    0.067   -0.039    0.030
1543.240   -0.054    0.082    0.033    0.032
1549.308    0.042    0.050    0.010    0.028
1555.352    0.100    0.054    0.099    0.033
1561.373    0.006    0.053   -0.032    0.034
1567.371    0.098    0.041   -0.007    0.027
1573.346   -0.082    0.043   -0.039    0.031
1579.298   -0.007    0.040   -0.021    0.030
1585.228   -0.033    0.033   -0.117    0.026
1591.136   -0.024    0.034   -0.021    0.027
1597.022   -0.001    0.031   -0.048    0.028
1602.886   -0.042    0.031   -0.027    0.029
1608.729   -0.008    0.027    0.052    0.027
1614.551   -0.002    0.025   -0.023    0.029
1620.352    0.010    0.025   -0.034    0.024
1626.132    0.038    0.019   -0.007    0.023
1631.892    0.052    0.019    0.059    0.022
1637.631    0.050    0.014    0.024    0.016
1643.351    0.036    0.012   -0.001    0.015
1649.050    0.018    0.009    0.004    0.015
1654.730   -0.003    0.012    0.072    0.013
1660.391    0.019    0.010    0.050    0.012
1666.032    0.026    0.009   -0.039    0.011
1671.655    0.038    0.011    0.018    0.011
1677.258   -0.038    0.011    0.003    0.011
1682.843    0.015    0.012   -0.000    0.011
1688.409    0.009    0.011   -0.023    0.011
1693.957    0.028    0.012    0.037    0.011
1699.487    0.047    0.012    0.035    0.012
1704.999    0.030    0.011    0.015    0.014
1710.493    0.011    0.011   -0.029    0.007
1715.970    0.054    0.010    0.025    0.012
1721.429   -0.023    0.011   -0.005    0.011
1726.871    0.025    0.010    0.019    0.011
1732.296    0.003    0.011    0.003    0.012
1737.704   -0.001    0.011    0.014    0.011
1743.095   -0.008    0.009   -0.038    0.011
1748.469    0.039    0.008   -0.028    0.009
1753.827    0.005    0.011    0.006    0.011
1759.169    0.046    0.009   -0.033    0.008
1764.495   -0.018    0.011   -0.001    0.012
1769.804    0.027    0.009    0.014    0.011
1775.098   -0.014    0.010    0.026    0.012
1780.376    0.015    0.009   -0.050    0.010
1785.638    0.041    0.010    0.038    0.012
1790.885    0.023    0.012    0.003    0.015
1796.116    0.031    0.010    0.040    0.012
1801.333    0.040    0.008   -0.021    0.010
1806.534    0.012    0.010    0.017    0.010
1811.720    0.012    0.008   -0.037    0.011
1816.892    0.010    0.011    0.007    0.016
1822.049    0.011    0.009   -0.053    0.010
1827.191    0.007    0.007   -0.036    0.010
1832.319    0.005    0.008   -0.052    0.010
1837.432   -0.003    0.008    0.013    0.010
1842.532    0.032    0.008   -0.010    0.013
1847.617    0.028    0.010   -0.044    0.009
1852.688    0.043    0.009   -0.004    0.011
1857.746    0.030    0.008   -0.042    0.011
1862.790    0.017    0.009   -0.039    0.010
1867.820    0.023    0.007   -0.036    0.010
1872.836   -0.012    0.007   -0.031    0.007
1877.840    0.055    0.007    0.010    0.010
1882.829    0.029    0.007   -0.005    0.009
1887.806    0.027    0.006   -0.008    0.010
1892.770    0.007    0.006   -0.008    0.008
1897.721    0.022    0.007    0.002    0.008
1902.658    0.027    0.006   -0.029    0.007
1907.583    0.013    0.006   -0.002    0.007
1912.496    0.022    0.006   -0.004    0.007
1917.395    0.024    0.005   -0.016    0.006
1922.283    0.017    0.005   -0.037    0.006
