   W                 E2-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.020    0.054    0.017    0.065
1493.809    0.027    0.061    0.064    0.059
1500.077    0.080    0.065    0.170    0.054
1506.319    0.056    0.068    0.211    0.050
1512.535    0.077    0.071    0.287    0.046
1518.726    0.047    0.072    0.383    0.043
1524.891    0.021    0.074    0.441    0.041
1531.032   -0.021    0.074    0.468    0.039
1537.148   -0.070    0.074    0.460    0.038
1543.240   -0.099    0.074    0.481    0.038
1549.308   -0.130    0.074    0.516    0.039
1555.352   -0.152    0.073    0.518    0.040
1561.373   -0.170    0.073    0.458    0.041
1567.371   -0.169    0.071    0.473    0.043
1573.346   -0.202    0.070    0.477    0.045
1579.298   -0.201    0.069    0.465    0.047
1585.228   -0.210    0.067    0.446    0.048
1591.136   -0.213    0.066    0.432    0.050
1597.022   -0.200    0.064    0.424    0.052
1602.886   -0.195    0.062    0.416    0.054
1608.729   -0.189    0.060    0.420    0.056
1614.551   -0.212    0.059    0.430    0.058
1620.352   -0.208    0.057    0.429    0.060
1626.132   -0.211    0.055    0.434    0.060
1631.892   -0.194    0.054    0.426    0.062
1637.631   -0.204    0.053    0.415    0.061
1643.351   -0.210    0.053    0.413    0.060
1649.050   -0.212    0.052    0.419    0.061
1654.730   -0.210    0.054    0.417    0.059
1660.391   -0.222    0.054    0.410    0.058
1666.032   -0.205    0.056    0.403    0.057
1671.655   -0.223    0.056    0.416    0.056
1677.258   -0.232    0.056    0.402    0.057
1682.843   -0.222    0.056    0.380    0.056
1688.409   -0.229    0.058    0.381    0.057
1693.957   -0.228    0.056    0.368    0.056
1699.487   -0.237    0.056    0.374    0.057
1704.999   -0.216    0.054    0.365    0.060
1710.493   -0.234    0.054    0.342    0.058
1715.970   -0.229    0.052    0.330    0.058
1721.429   -0.227    0.052    0.315    0.059
1726.871   -0.216    0.052    0.315    0.059
1732.296   -0.223    0.049    0.298    0.059
1737.704   -0.188    0.048    0.281    0.056
1743.095   -0.202    0.047    0.280    0.058
1748.469   -0.202    0.047    0.262    0.061
1753.827   -0.173    0.046    0.258    0.061
1759.169   -0.186    0.045    0.233    0.059
1764.495   -0.156    0.048    0.233    0.058
1769.804   -0.140    0.042    0.228    0.057
1775.098   -0.138    0.044    0.205    0.058
1780.376   -0.135    0.042    0.185    0.060
1785.638   -0.111    0.044    0.188    0.057
1790.885   -0.104    0.043    0.172    0.060
1796.116   -0.063    0.041    0.193    0.056
1801.333   -0.041    0.045    0.177    0.055
1806.534   -0.032    0.044    0.146    0.058
1811.720   -0.003    0.043    0.147    0.058
1816.892    0.014    0.042    0.138    0.058
1822.049    0.041    0.043    0.139    0.058
1827.191    0.050    0.044    0.152    0.057
1832.319    0.082    0.046    0.107    0.053
1837.432    0.099    0.043    0.139    0.057
1842.532    0.126    0.044    0.158    0.057
1847.617    0.148    0.037    0.173    0.056
1852.688    0.137    0.045    0.186    0.054
1857.746    0.195    0.044    0.200    0.057
1862.790    0.209    0.045    0.190    0.059
1867.820    0.217    0.048    0.219    0.057
1872.836    0.234    0.045    0.257    0.056
1877.840    0.247    0.045    0.210    0.054
1882.829    0.265    0.046    0.265    0.055
1887.806    0.269    0.046    0.280    0.057
1892.770    0.288    0.046    0.280    0.055
1897.721    0.280    0.040    0.285    0.051
1902.658    0.320    0.037    0.286    0.050
1907.583    0.309    0.039    0.348    0.050
1912.496    0.330    0.033    0.301    0.043
1917.395    0.334    0.032    0.347    0.042
1922.283    0.354    0.034    0.372    0.041
