   W                 M2-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.015    0.037    0.015    0.041
1493.809    0.037    0.040    0.070    0.039
1500.077    0.046    0.041    0.133    0.037
1506.319    0.032    0.042    0.182    0.036
1512.535    0.011    0.043    0.209    0.035
1518.726   -0.020    0.044    0.260    0.034
1524.891   -0.050    0.044    0.320    0.033
1531.032   -0.096    0.044    0.316    0.033
1537.148   -0.138    0.044    0.315    0.033
1543.240   -0.174    0.044    0.315    0.033
1549.308   -0.208    0.044    0.312    0.033
1555.352   -0.235    0.044    0.313    0.033
1561.373   -0.271    0.043    0.308    0.034
1567.371   -0.279    0.043    0.270    0.034
1573.346   -0.313    0.042    0.270    0.034
1579.298   -0.328    0.042    0.247    0.035
1585.228   -0.340    0.041    0.217    0.035
1591.136   -0.358    0.040    0.196    0.036
1597.022   -0.361    0.040    0.171    0.037
1602.886   -0.374    0.039    0.153    0.037
1608.729   -0.380    0.039    0.129    0.038
1614.551   -0.380    0.038    0.089    0.039
1620.352   -0.384    0.037    0.075    0.039
1626.132   -0.375    0.037    0.038    0.039
1631.892   -0.366    0.036    0.015    0.039
1637.631   -0.356    0.036   -0.014    0.039
1643.351   -0.347    0.035   -0.032    0.039
1649.050   -0.330    0.035   -0.058    0.038
1654.730   -0.323    0.034   -0.097    0.038
1660.391   -0.295    0.034   -0.094    0.037
1666.032   -0.289    0.034   -0.125    0.036
1671.655   -0.257    0.033   -0.133    0.036
1677.258   -0.224    0.033   -0.134    0.036
1682.843   -0.222    0.034   -0.146    0.035
1688.409   -0.183    0.034   -0.159    0.035
1693.957   -0.187    0.034   -0.153    0.034
1699.487   -0.162    0.035   -0.160    0.034
1704.999   -0.146    0.034   -0.167    0.035
1710.493   -0.144    0.035   -0.161    0.034
1715.970   -0.116    0.035   -0.154    0.034
1721.429   -0.111    0.034   -0.164    0.035
1726.871   -0.100    0.035   -0.146    0.036
1732.296   -0.091    0.035   -0.160    0.036
1737.704   -0.086    0.035   -0.155    0.033
1743.095   -0.069    0.034   -0.174    0.034
1748.469   -0.076    0.034   -0.185    0.036
1753.827   -0.059    0.035   -0.179    0.035
1759.169   -0.041    0.034   -0.182    0.035
1764.495   -0.054    0.035   -0.186    0.034
1769.804   -0.036    0.032   -0.197    0.033
1775.098   -0.030    0.034   -0.208    0.035
1780.376   -0.011    0.033   -0.194    0.033
1785.638    0.003    0.033   -0.224    0.033
1790.885    0.013    0.034   -0.211    0.035
1796.116    0.010    0.035   -0.248    0.032
1801.333    0.034    0.034   -0.225    0.033
1806.534    0.047    0.034   -0.236    0.035
1811.720    0.058    0.033   -0.227    0.035
1816.892    0.081    0.032   -0.233    0.034
1822.049    0.089    0.033   -0.227    0.035
1827.191    0.105    0.034   -0.234    0.035
1832.319    0.101    0.033   -0.232    0.034
1837.432    0.131    0.030   -0.238    0.039
1842.532    0.150    0.031   -0.216    0.034
1847.617    0.170    0.029   -0.210    0.035
1852.688    0.170    0.032   -0.209    0.034
1857.746    0.149    0.034   -0.211    0.034
1862.790    0.175    0.033   -0.184    0.035
1867.820    0.184    0.033   -0.189    0.035
1872.836    0.189    0.033   -0.186    0.034
1877.840    0.194    0.030   -0.173    0.032
1882.829    0.201    0.030   -0.175    0.032
1887.806    0.194    0.031   -0.173    0.033
1892.770    0.208    0.030   -0.174    0.032
1897.721    0.221    0.025   -0.160    0.031
1902.658    0.194    0.025   -0.139    0.025
1907.583    0.209    0.025   -0.164    0.030
1912.496    0.219    0.021   -0.135    0.023
1917.395    0.214    0.020   -0.140    0.021
1922.283    0.204    0.020   -0.146    0.024
