   W                 E3+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.100    0.063    0.074    0.068
1493.809   -0.014    0.063   -0.015    0.060
1500.077    0.039    0.061    0.030    0.055
1506.319    0.007    0.054   -0.029    0.045
1512.535   -0.035    0.066    0.019    0.053
1518.726    0.004    0.064   -0.022    0.042
1524.891    0.132    0.069   -0.022    0.049
1531.032   -0.010    0.100    0.031    0.041
1537.148   -0.014    0.065   -0.011    0.040
1543.240   -0.033    0.047    0.000    0.035
1549.308   -0.026    0.078    0.031    0.035
1555.352   -0.020    0.045   -0.002    0.030
1561.373   -0.014    0.069    0.023    0.041
1567.371   -0.072    0.047    0.005    0.045
1573.346   -0.022    0.066    0.020    0.043
1579.298   -0.008    0.049   -0.021    0.036
1585.228   -0.027    0.051   -0.014    0.031
1591.136   -0.001    0.036   -0.032    0.030
1597.022   -0.053    0.035   -0.016    0.035
1602.886   -0.014    0.044    0.011    0.043
1608.729   -0.065    0.042   -0.052    0.045
1614.551   -0.026    0.035    0.022    0.037
1620.352    0.022    0.047    0.025    0.042
1626.132   -0.035    0.046   -0.016    0.053
1631.892   -0.044    0.038    0.010    0.028
1637.631   -0.013    0.020   -0.022    0.022
1643.351   -0.039    0.033   -0.037    0.039
1649.050   -0.010    0.028   -0.031    0.032
1654.730    0.068    0.036    0.043    0.041
1660.391   -0.002    0.029   -0.036    0.082
1666.032    0.012    0.035   -0.011    0.026
1671.655   -0.069    0.058   -0.115    0.056
1677.258   -0.001    0.036    0.004    0.022
1682.843    0.040    0.033   -0.057    0.026
1688.409    0.015    0.020    0.001    0.031
1693.957   -0.023    0.030   -0.007    0.018
1699.487    0.043    0.027    0.018    0.043
1704.999   -0.015    0.015   -0.050    0.049
1710.493   -0.031    0.025    0.005    0.022
1715.970   -0.010    0.025   -0.127    0.060
1721.429   -0.046    0.025    0.006    0.020
1726.871   -0.033    0.037    0.006    0.059
1732.296    0.006    0.049   -0.028    0.018
1737.704   -0.075    0.020   -0.007    0.039
1743.095    0.010    0.035   -0.021    0.033
1748.469   -0.011    0.035    0.020    0.029
1753.827   -0.014    0.020    0.022    0.019
1759.169   -0.013    0.017   -0.036    0.027
1764.495    0.074    0.063    0.000    0.054
1769.804   -0.015    0.040   -0.069    0.070
1775.098   -0.014    0.024    0.018    0.035
1780.376    0.064    0.034    0.057    0.025
1785.638   -0.041    0.025    0.011    0.014
1790.885   -0.005    0.023   -0.035    0.079
1796.116    0.028    0.026   -0.108    0.024
1801.333   -0.067    0.014    0.018    0.024
1806.534    0.038    0.019    0.008    0.030
1811.720   -0.001    0.028   -0.021    0.016
1816.892   -0.058    0.018   -0.027    0.049
1822.049    0.032    0.056    0.096    0.055
1827.191    0.052    0.009    0.043    0.014
1832.319    0.051    0.018   -0.018    0.017
1837.432    0.030    0.034    0.008    0.055
1842.532   -0.037    0.019   -0.003    0.023
1847.617   -0.018    0.019    0.007    0.019
1852.688    0.025    0.028    0.029    0.042
1857.746    0.020    0.011    0.012    0.012
1862.790    0.040    0.013    0.043    0.016
1867.820    0.045    0.017    0.036    0.029
1872.836   -0.050    0.019   -0.020    0.030
1877.840    0.026    0.015   -0.058    0.026
1882.829    0.001    0.014    0.036    0.008
1887.806    0.022    0.011    0.038    0.021
1892.770   -0.008    0.012   -0.015    0.013
1897.721   -0.011    0.021    0.020    0.021
1902.658    0.018    0.015    0.041    0.021
1907.583   -0.048    0.014    0.009    0.018
1912.496    0.014    0.014   -0.001    0.017
1917.395   -0.035    0.019   -0.051    0.023
1922.283    0.009    0.009   -0.014    0.010
