   W                 E4-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.030    0.078    0.128    0.094
1493.809    0.016    0.069   -0.020    0.074
1500.077   -0.095    0.123    0.104    0.062
1506.319   -0.116    0.075   -0.003    0.054
1512.535   -0.052    0.117    0.012    0.075
1518.726    0.053    0.076    0.025    0.054
1524.891   -0.047    0.135   -0.034    0.050
1531.032    0.107    0.088    0.084    0.042
1537.148    0.077    0.120    0.057    0.040
1543.240    0.061    0.067   -0.003    0.037
1549.308   -0.106    0.102   -0.020    0.053
1555.352   -0.084    0.085   -0.050    0.034
1561.373   -0.071    0.074    0.010    0.049
1567.371   -0.086    0.072   -0.053    0.055
1573.346   -0.069    0.069   -0.056    0.043
1579.298   -0.011    0.097    0.015    0.053
1585.228   -0.020    0.083    0.056    0.062
1591.136    0.073    0.052    0.067    0.040
1597.022    0.006    0.043    0.047    0.036
1602.886    0.054    0.068    0.063    0.054
1608.729    0.047    0.065    0.052    0.058
1614.551   -0.035    0.043   -0.012    0.046
1620.352    0.011    0.044    0.020    0.046
1626.132   -0.076    0.035   -0.014    0.062
1631.892   -0.048    0.029   -0.054    0.037
1637.631    0.038    0.022    0.058    0.030
1643.351   -0.025    0.025    0.055    0.055
1649.050    0.020    0.028   -0.019    0.041
1654.730   -0.005    0.027   -0.035    0.023
1660.391    0.023    0.045    0.025    0.039
1666.032   -0.052    0.047   -0.024    0.039
1671.655   -0.063    0.020   -0.005    0.027
1677.258   -0.024    0.037   -0.037    0.033
1682.843    0.034    0.034    0.025    0.025
1688.409    0.032    0.023    0.025    0.027
1693.957   -0.025    0.042   -0.035    0.036
1699.487    0.052    0.029   -0.006    0.036
1704.999   -0.019    0.028   -0.043    0.029
1710.493   -0.076    0.031   -0.089    0.021
1715.970   -0.018    0.037   -0.024    0.016
1721.429    0.084    0.055   -0.055    0.034
1726.871   -0.004    0.033   -0.078    0.038
1732.296   -0.033    0.021   -0.031    0.027
1737.704   -0.062    0.028   -0.002    0.014
1743.095    0.033    0.022   -0.053    0.033
1748.469    0.021    0.029   -0.038    0.023
1753.827    0.040    0.024    0.012    0.040
1759.169   -0.007    0.021    0.010    0.013
1764.495    0.050    0.034    0.004    0.036
1769.804    0.035    0.032   -0.030    0.030
1775.098    0.013    0.029    0.013    0.019
1780.376    0.013    0.017   -0.019    0.022
1785.638   -0.032    0.024   -0.006    0.027
1790.885   -0.004    0.040    0.013    0.040
1796.116    0.105    0.030    0.065    0.016
1801.333   -0.040    0.012    0.002    0.024
1806.534    0.057    0.029    0.024    0.025
1811.720    0.084    0.022   -0.047    0.046
1816.892   -0.001    0.030   -0.000    0.033
1822.049   -0.000    0.014   -0.003    0.021
1827.191    0.036    0.023   -0.036    0.011
1832.319    0.051    0.017   -0.033    0.027
1837.432    0.059    0.033   -0.008    0.049
1842.532    0.035    0.025   -0.081    0.042
1847.617   -0.004    0.029    0.005    0.028
1852.688    0.068    0.042    0.004    0.025
1857.746    0.068    0.015    0.034    0.020
1862.790    0.034    0.015    0.007    0.023
1867.820    0.038    0.013   -0.040    0.025
1872.836   -0.025    0.023    0.068    0.039
1877.840    0.007    0.018   -0.007    0.014
1882.829   -0.005    0.013   -0.058    0.025
1887.806    0.079    0.025    0.023    0.014
1892.770    0.043    0.021   -0.030    0.014
1897.721    0.023    0.034   -0.001    0.027
1902.658    0.088    0.018    0.000    0.018
1907.583   -0.025    0.020    0.011    0.021
1912.496   -0.013    0.027    0.005    0.011
1917.395   -0.051    0.020    0.015    0.016
1922.283    0.027    0.013    0.008    0.019
