   W                 M3+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.063    0.071    0.013    0.088
1493.809   -0.089    0.074    0.055    0.062
1500.077   -0.021    0.065    0.088    0.050
1506.319    0.115    0.068   -0.090    0.048
1512.535    0.068    0.075   -0.009    0.057
1518.726    0.012    0.096   -0.028    0.053
1524.891   -0.002    0.074    0.005    0.059
1531.032    0.045    0.085    0.034    0.050
1537.148   -0.055    0.076   -0.034    0.048
1543.240   -0.014    0.063    0.014    0.043
1549.308   -0.029    0.079    0.058    0.047
1555.352   -0.043    0.060   -0.017    0.039
1561.373   -0.066    0.080    0.019    0.057
1567.371   -0.059    0.077    0.026    0.051
1573.346   -0.029    0.055    0.035    0.052
1579.298   -0.021    0.056   -0.022    0.058
1585.228   -0.009    0.073   -0.001    0.040
1591.136    0.015    0.051   -0.027    0.042
1597.022   -0.039    0.041    0.031    0.033
1602.886   -0.025    0.063    0.039    0.045
1608.729   -0.038    0.045   -0.004    0.043
1614.551   -0.003    0.037    0.047    0.043
1620.352    0.002    0.046    0.024    0.045
1626.132   -0.012    0.056    0.019    0.055
1631.892   -0.036    0.031    0.059    0.059
1637.631    0.018    0.023    0.008    0.024
1643.351   -0.049    0.033   -0.012    0.040
1649.050    0.023    0.029    0.015    0.037
1654.730    0.111    0.029    0.035    0.033
1660.391    0.063    0.072    0.052    0.084
1666.032    0.108    0.025    0.008    0.032
1671.655    0.032    0.045   -0.012    0.059
1677.258    0.028    0.039    0.033    0.026
1682.843   -0.068    0.030   -0.053    0.052
1688.409   -0.038    0.032   -0.139    0.024
1693.957   -0.001    0.031    0.021    0.023
1699.487    0.060    0.066   -0.042    0.027
1704.999   -0.012    0.050   -0.084    0.100
1710.493    0.020    0.057   -0.017    0.028
1715.970    0.015    0.036   -0.163    0.041
1721.429   -0.050    0.029    0.031    0.026
1726.871    0.069    0.044    0.003    0.048
1732.296    0.079    0.042   -0.006    0.033
1737.704    0.040    0.033    0.081    0.035
1743.095   -0.014    0.037    0.082    0.054
1748.469   -0.056    0.036    0.006    0.032
1753.827    0.066    0.029   -0.004    0.030
1759.169    0.056    0.033   -0.074    0.034
1764.495    0.029    0.053   -0.063    0.046
1769.804    0.041    0.112   -0.014    0.190
1775.098   -0.023    0.057   -0.107    0.036
1780.376    0.011    0.028   -0.011    0.040
1785.638    0.016    0.033   -0.029    0.045
1790.885    0.045    0.094    0.067    0.058
1796.116   -0.016    0.058   -0.015    0.070
1801.333   -0.011    0.022    0.045    0.035
1806.534    0.044    0.034   -0.019    0.031
1811.720    0.071    0.023    0.014    0.026
1816.892    0.030    0.045   -0.088    0.039
1822.049    0.048    0.041   -0.051    0.061
1827.191    0.087    0.015    0.070    0.027
1832.319    0.096    0.034   -0.052    0.049
1837.432    0.082    0.103    0.004    0.118
1842.532   -0.020    0.035    0.014    0.032
1847.617    0.036    0.021    0.024    0.022
1852.688    0.030    0.055    0.121    0.068
1857.746    0.087    0.016   -0.041    0.015
1862.790   -0.002    0.021    0.021    0.033
1867.820    0.043    0.038    0.047    0.059
1872.836    0.011    0.035    0.010    0.032
1877.840    0.080    0.035    0.039    0.034
1882.829    0.103    0.020    0.017    0.032
1887.806    0.064    0.053    0.064    0.040
1892.770   -0.022    0.020   -0.009    0.012
1897.721    0.010    0.064    0.025    0.059
1902.658    0.104    0.041    0.055    0.045
1907.583   -0.010    0.023    0.006    0.025
1912.496    0.049    0.023    0.065    0.026
1917.395   -0.001    0.019    0.081    0.022
1922.283    0.066    0.034    0.007    0.079
