   W                 M5-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.004    0.049   -0.050    0.066
1493.809    0.002    0.061   -0.017    0.041
1500.077   -0.105    0.040    0.030    0.043
1506.319    0.040    0.066   -0.028    0.028
1512.535    0.108    0.048   -0.060    0.047
1518.726    0.028    0.050   -0.011    0.029
1524.891   -0.075    0.053    0.052    0.032
1531.032    0.018    0.067    0.004    0.035
1537.148    0.034    0.041   -0.036    0.032
1543.240    0.018    0.035   -0.003    0.025
1549.308   -0.047    0.040   -0.058    0.023
1555.352   -0.060    0.043   -0.010    0.032
1561.373    0.019    0.050   -0.013    0.031
1567.371    0.028    0.033    0.006    0.029
1573.346   -0.013    0.030   -0.028    0.030
1579.298   -0.061    0.031   -0.033    0.030
1585.228    0.042    0.027    0.049    0.024
1591.136   -0.057    0.022   -0.040    0.021
1597.022    0.045    0.020   -0.013    0.023
1602.886   -0.020    0.027   -0.025    0.038
1608.729   -0.005    0.027    0.038    0.019
1614.551    0.023    0.020    0.024    0.025
1620.352   -0.012    0.017   -0.053    0.020
1626.132   -0.007    0.016   -0.045    0.025
1631.892    0.009    0.019    0.006    0.027
1637.631   -0.021    0.014    0.007    0.018
1643.351    0.012    0.014   -0.004    0.015
1649.050    0.026    0.014    0.037    0.013
1654.730   -0.018    0.011    0.025    0.009
1660.391   -0.004    0.009    0.016    0.017
1666.032   -0.001    0.012    0.010    0.010
1671.655   -0.008    0.015   -0.003    0.012
1677.258    0.011    0.008    0.030    0.011
1682.843    0.036    0.009    0.008    0.012
1688.409   -0.001    0.013    0.003    0.011
1693.957    0.021    0.015    0.020    0.017
1699.487    0.011    0.022   -0.032    0.017
1704.999    0.024    0.014    0.006    0.017
1710.493    0.020    0.008    0.001    0.015
1715.970    0.005    0.020    0.002    0.014
1721.429    0.021    0.008   -0.013    0.010
1726.871   -0.027    0.014   -0.019    0.011
1732.296    0.008    0.009    0.035    0.012
1737.704   -0.001    0.009    0.009    0.007
1743.095    0.002    0.011    0.013    0.008
1748.469   -0.000    0.015   -0.004    0.012
1753.827    0.015    0.015    0.019    0.017
1759.169   -0.004    0.006    0.044    0.008
1764.495   -0.010    0.012    0.011    0.022
1769.804    0.018    0.020   -0.001    0.013
1775.098    0.025    0.016   -0.004    0.009
1780.376   -0.006    0.010    0.009    0.016
1785.638    0.004    0.008   -0.016    0.011
1790.885    0.005    0.018   -0.012    0.012
1796.116   -0.001    0.014   -0.003    0.012
1801.333   -0.015    0.008   -0.008    0.009
1806.534   -0.027    0.011    0.004    0.009
1811.720    0.041    0.015    0.031    0.017
1816.892    0.009    0.008    0.015    0.012
1822.049   -0.009    0.013   -0.013    0.010
1827.191    0.037    0.015    0.020    0.015
1832.319   -0.002    0.007    0.017    0.009
1837.432    0.008    0.016   -0.010    0.019
1842.532   -0.007    0.015   -0.007    0.015
1847.617    0.041    0.011   -0.018    0.010
1852.688    0.008    0.010    0.007    0.009
1857.746    0.015    0.011    0.036    0.010
1862.790    0.009    0.011   -0.024    0.012
1867.820   -0.001    0.008    0.009    0.011
1872.836   -0.010    0.007   -0.017    0.008
1877.840    0.020    0.004    0.015    0.009
1882.829    0.015    0.011    0.034    0.014
1887.806   -0.002    0.009   -0.015    0.007
1892.770   -0.009    0.006    0.030    0.006
1897.721    0.005    0.010   -0.012    0.008
1902.658   -0.004    0.007   -0.015    0.010
1907.583   -0.007    0.006   -0.010    0.006
1912.496    0.009    0.011    0.010    0.006
1917.395    0.004    0.007    0.001    0.007
1922.283    0.008    0.009    0.002    0.009
