   W                 E0+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   13.109    0.051    8.954    0.035
1493.809   10.341    0.040   11.043    0.043
1500.077    8.370    0.032   12.105    0.047
1506.319    6.671    0.026   12.821    0.049
1512.535    5.021    0.020   13.050    0.051
1518.726    3.557    0.014   13.160    0.053
1524.891    2.207    0.013   13.012    0.074
1531.032    0.998    0.005   12.706    0.061
1537.148   -0.071    0.000   12.327    0.056
1543.240   -1.008    0.005   11.852    0.055
1549.308   -1.831    0.008   11.376    0.050
1555.352   -2.533    0.011   10.797    0.046
1561.373   -3.149    0.012   10.258    0.040
1567.371   -3.643    0.015    9.613    0.039
1573.346   -4.069    0.016    9.013    0.036
1579.298   -4.424    0.017    8.419    0.033
1585.228   -4.665    0.019    7.751    0.032
1591.136   -4.903    0.019    7.194    0.028
1597.022   -5.036    0.020    6.580    0.027
1602.886   -5.117    0.021    5.993    0.025
1608.729   -5.159    0.021    5.447    0.022
1614.551   -5.075    0.022    4.860    0.021
1620.352   -4.941    0.032    4.323    0.028
1626.132   -4.814    0.025    3.888    0.020
1631.892   -4.635    0.020    3.505    0.015
1637.631   -4.326    0.034    3.122    0.025
1643.351   -3.972    0.079    2.797    0.056
1649.050   -3.702    0.045    2.603    0.031
1654.730   -3.517    0.034    2.521    0.024
1660.391   -3.301    0.036    2.449    0.027
1666.032   -3.031    0.040    2.345    0.031
1671.655   -2.961    0.031    2.392    0.025
1677.258   -2.698    0.038    2.268    0.032
1682.843   -2.675    0.035    2.325    0.031
1688.409   -2.602    0.036    2.320    0.032
1693.957   -2.528    0.038    2.296    0.034
1699.487   -2.512    0.038    2.307    0.035
1704.999   -2.352    0.045    2.172    0.041
1710.493   -2.448    0.041    2.262    0.038
1715.970   -2.343    0.035    2.158    0.032
1721.429   -2.345    0.034    2.145    0.031
1726.871   -2.365    0.039    2.144    0.036
1732.296   -2.325    0.035    2.084    0.031
1737.704   -2.308    0.031    2.043    0.027
1743.095   -2.294    0.030    2.002    0.026
1748.469   -2.289    0.030    1.968    0.026
1753.827   -2.317    0.024    1.961    0.021
1759.169   -2.291    0.030    1.907    0.025
1764.495   -2.260    0.023    1.849    0.019
1769.804   -2.278    0.023    1.831    0.018
1775.098   -2.231    0.021    1.761    0.017
1780.376   -2.196    0.023    1.702    0.018
1785.638   -2.158    0.020    1.640    0.015
1790.885   -2.159    0.021    1.608    0.015
1796.116   -2.138    0.020    1.560    0.014
1801.333   -2.147    0.019    1.534    0.014
1806.534   -2.122    0.021    1.482    0.015
1811.720   -2.085    0.021    1.423    0.014
1816.892   -2.103    0.020    1.400    0.014
1822.049   -2.087    0.018    1.354    0.012
1827.191   -2.065    0.018    1.302    0.011
1832.319   -2.062    0.019    1.261    0.012
1837.432   -2.054    0.019    1.215    0.011
1842.532   -2.024    0.018    1.155    0.010
1847.617   -2.024    0.019    1.109    0.011
1852.688   -2.000    0.018    1.048    0.009
1857.746   -1.972    0.018    0.982    0.009
1862.790   -1.989    0.019    0.937    0.009
1867.820   -1.915    0.020    0.848    0.009
1872.836   -1.924    0.018    0.797    0.007
1877.840   -1.828    0.018    0.707    0.007
1882.829   -1.783    0.017    0.645    0.006
1887.806   -1.689    0.017    0.578    0.006
1892.770   -1.621    0.016    0.539    0.005
1897.721   -1.521    0.015    0.508    0.005
1902.658   -1.466    0.015    0.510    0.005
1907.583   -1.372    0.014    0.513    0.005
1912.496   -1.307    0.015    0.533    0.006
1917.395   -1.244    0.014    0.553    0.006
1922.283   -1.207    0.013    0.581    0.006
