   W                 E3-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.000    0.001    0.000    0.000
1493.809    0.000    0.001    0.000    0.000
1500.077    0.000    0.002    0.000    0.000
1506.319    0.000    0.001    0.000    0.000
1512.535    0.006    0.034    0.001    0.005
1518.726    0.000    0.016    0.000    0.003
1524.891    0.000    0.002    0.000    0.000
1531.032    0.000    0.005    0.000    0.001
1537.148    0.012    0.044    0.003    0.010
1543.240    0.007    0.066    0.002    0.016
1549.308    0.046    0.028    0.012    0.007
1555.352    0.000    0.010    0.000    0.003
1561.373    0.000    0.006    0.000    0.002
1567.371    0.000    0.041    0.000    0.014
1573.346    0.000    0.009    0.000    0.003
1579.298    0.000    0.007    0.000    0.003
1585.228    0.041    0.148    0.018    0.065
1591.136    0.040    0.050    0.020    0.024
1597.022    0.016    0.052    0.009    0.028
1602.886    0.057    0.037    0.034    0.022
1608.729    0.090    0.015    0.060    0.010
1614.551    0.058    0.025    0.043    0.019
1620.352    0.054    0.022    0.045    0.019
1626.132    0.044    0.023    0.042    0.022
1631.892    0.052    0.017    0.057    0.019
1637.631    0.062    0.013    0.080    0.017
1643.351    0.078    0.012    0.119    0.018
1649.050    0.068    0.006    0.127    0.011
1654.730    0.054    0.004    0.128    0.010
1660.391    0.040    0.003    0.129    0.009
1666.032    0.029    0.002    0.145    0.008
1671.655    0.014    0.001    0.145    0.007
1677.258   -0.001    0.000    0.155    0.007
1682.843   -0.016    0.001    0.156    0.006
1688.409   -0.032    0.001    0.161    0.006
1693.957   -0.049    0.002    0.163    0.006
1699.487   -0.060    0.002    0.151    0.005
1704.999   -0.074    0.003    0.149    0.005
1710.493   -0.085    0.003    0.143    0.005
1715.970   -0.087    0.003    0.126    0.004
1721.429   -0.102    0.003    0.127    0.004
1726.871   -0.105    0.004    0.116    0.004
1732.296   -0.104    0.004    0.102    0.004
1737.704   -0.115    0.003    0.101    0.003
1743.095   -0.111    0.004    0.087    0.003
1748.469   -0.117    0.004    0.083    0.003
1753.827   -0.118    0.004    0.075    0.002
1759.169   -0.124    0.005    0.071    0.003
1764.495   -0.128    0.004    0.065    0.002
1769.804   -0.119    0.004    0.054    0.002
1775.098   -0.121    0.004    0.049    0.002
1780.376   -0.114    0.005    0.040    0.002
1785.638   -0.123    0.005    0.037    0.001
1790.885   -0.126    0.005    0.032    0.001
1796.116   -0.121    0.005    0.025    0.001
1801.333   -0.127    0.005    0.021    0.001
1806.534   -0.116    0.005    0.014    0.001
1811.720   -0.114    0.006    0.009    0.000
1816.892   -0.111    0.005    0.004    0.000
1822.049   -0.107    0.005   -0.001    0.000
1827.191   -0.109    0.005   -0.006    0.000
1832.319   -0.114    0.005   -0.011    0.000
1837.432   -0.104    0.005   -0.014    0.001
1842.532   -0.104    0.005   -0.019    0.001
1847.617   -0.107    0.005   -0.024    0.001
1852.688   -0.101    0.005   -0.028    0.001
1857.746   -0.090    0.004   -0.029    0.001
1862.790   -0.094    0.005   -0.035    0.002
1867.820   -0.087    0.005   -0.037    0.002
1872.836   -0.081    0.004   -0.038    0.002
1877.840   -0.075    0.004   -0.039    0.002
1882.829   -0.075    0.004   -0.044    0.002
1887.806   -0.071    0.004   -0.045    0.002
1892.770   -0.063    0.004   -0.044    0.003
1897.721   -0.067    0.004   -0.051    0.003
1902.658   -0.066    0.003   -0.055    0.003
1907.583   -0.061    0.003   -0.055    0.003
1912.496   -0.053    0.003   -0.052    0.003
1917.395   -0.051    0.003   -0.054    0.003
1922.283   -0.047    0.003   -0.054    0.003
