   W                 M1+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.116    0.035   -0.034    0.010
1493.809    0.171    0.045   -0.053    0.014
1500.077    0.162    0.034   -0.053    0.011
1506.319    0.232    0.041   -0.081    0.014
1512.535    0.261    0.033   -0.094    0.012
1518.726    0.315    0.079   -0.118    0.030
1524.891    0.335    0.059   -0.129    0.023
1531.032    0.385    0.044   -0.152    0.017
1537.148    0.447    0.031   -0.179    0.013
1543.240    0.438    0.031   -0.177    0.013
1549.308    0.502    0.028   -0.204    0.011
1555.352    0.514    0.030   -0.208    0.012
1561.373    0.580    0.028   -0.233    0.011
1567.371    0.579    0.033   -0.229    0.013
1573.346    0.655    0.033   -0.253    0.013
1579.298    0.665    0.033   -0.251    0.012
1585.228    0.746    0.043   -0.272    0.016
1591.136    0.744    0.022   -0.262    0.008
1597.022    0.837    0.046   -0.282    0.015
1602.886    0.845    0.047   -0.272    0.015
1608.729    0.847    0.049   -0.259    0.015
1614.551    0.859    0.053   -0.248    0.015
1620.352    1.033    0.067   -0.280    0.018
1626.132    0.961    0.080   -0.243    0.020
1631.892    0.925    0.019   -0.217    0.004
1637.631    1.058    0.071   -0.229    0.015
1643.351    1.152    0.117   -0.228    0.023
1649.050    1.245    0.045   -0.223    0.008
1654.730    1.109    0.056   -0.177    0.009
1660.391    1.147    0.061   -0.162    0.009
1666.032    1.240    0.042   -0.151    0.005
1671.655    1.164    0.041   -0.120    0.004
1677.258    1.332    0.035   -0.112    0.003
1682.843    1.301    0.035   -0.085    0.002
1688.409    1.301    0.036   -0.060    0.002
1693.957    1.306    0.037   -0.036    0.001
1699.487    1.352    0.036   -0.011    0.000
1704.999    1.469    0.036    0.016    0.000
1710.493    1.374    0.039    0.041    0.001
1715.970    1.447    0.030    0.071    0.001
1721.429    1.449    0.031    0.099    0.002
1726.871    1.433    0.036    0.125    0.003
1732.296    1.477    0.029    0.158    0.003
1737.704    1.467    0.029    0.186    0.004
1743.095    1.485    0.026    0.217    0.004
1748.469    1.492    0.026    0.248    0.004
1753.827    1.449    0.025    0.270    0.005
1759.169    1.460    0.027    0.302    0.005
1764.495    1.492    0.022    0.339    0.005
1769.804    1.473    0.022    0.366    0.006
1775.098    1.506    0.020    0.406    0.006
1780.376    1.483    0.021    0.431    0.006
1785.638    1.500    0.019    0.469    0.006
1790.885    1.509    0.018    0.504    0.006
1796.116    1.482    0.018    0.528    0.007
1801.333    1.498    0.017    0.568    0.006
1806.534    1.485    0.019    0.597    0.008
1811.720    1.478    0.018    0.629    0.008
1816.892    1.431    0.019    0.642    0.009
1822.049    1.441    0.015    0.681    0.007
1827.191    1.411    0.016    0.701    0.008
1832.319    1.360    0.019    0.709    0.010
1837.432    1.358    0.019    0.741    0.010
1842.532    1.351    0.014    0.772    0.008
1847.617    1.348    0.015    0.804    0.009
1852.688    1.300    0.014    0.808    0.009
1857.746    1.305    0.014    0.845    0.009
1862.790    1.262    0.021    0.850    0.014
1867.820    1.271    0.014    0.890    0.010
1872.836    1.212    0.014    0.880    0.010
1877.840    1.201    0.014    0.904    0.010
1882.829    1.189    0.012    0.926    0.010
1887.806    1.141    0.018    0.919    0.015
1892.770    1.110    0.014    0.924    0.011
1897.721    1.104    0.010    0.948    0.008
1902.658    1.057    0.010    0.936    0.009
1907.583    1.036    0.010    0.944    0.009
1912.496    0.998    0.012    0.935    0.011
1917.395    1.001    0.009    0.963    0.009
1922.283    0.957    0.010    0.945    0.010
