   W                 M2-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.000    0.016    0.000    0.026
1493.809    0.054    0.019    0.116    0.041
1500.077    0.056    0.009    0.175    0.029
1506.319    0.043    0.006    0.237    0.032
1512.535    0.010    0.006    0.191    0.109
1518.726   -0.013    0.007    0.193    0.107
1524.891   -0.060    0.017    0.321    0.091
1531.032   -0.095    0.008    0.314    0.027
1537.148   -0.132    0.025    0.316    0.059
1543.240   -0.171    0.023    0.322    0.044
1549.308   -0.158    0.023    0.245    0.035
1555.352   -0.208    0.021    0.273    0.028
1561.373   -0.286    0.019    0.322    0.021
1567.371   -0.254    0.017    0.248    0.016
1573.346   -0.313    0.018    0.267    0.016
1579.298   -0.342    0.019    0.255    0.014
1585.228   -0.319    0.018    0.207    0.011
1591.136   -0.371    0.019    0.207    0.011
1597.022   -0.353    0.018    0.169    0.009
1602.886   -0.384    0.018    0.153    0.007
1608.729   -0.418    0.018    0.135    0.006
1614.551   -0.386    0.018    0.097    0.005
1620.352   -0.389    0.021    0.069    0.004
1626.132   -0.374    0.022    0.040    0.002
1631.892   -0.409    0.018    0.014    0.001
1637.631   -0.350    0.019   -0.013    0.001
1643.351   -0.347    0.016   -0.039    0.002
1649.050   -0.341    0.015   -0.064    0.003
1654.730   -0.314    0.014   -0.083    0.004
1660.391   -0.303    0.012   -0.104    0.004
1666.032   -0.282    0.012   -0.119    0.005
1671.655   -0.260    0.011   -0.131    0.006
1677.258   -0.238    0.010   -0.141    0.006
1682.843   -0.216    0.010   -0.148    0.007
1688.409   -0.196    0.009   -0.152    0.007
1693.957   -0.190    0.010   -0.167    0.009
1699.487   -0.153    0.009   -0.151    0.009
1704.999   -0.144    0.009   -0.158    0.010
1710.493   -0.146    0.008   -0.178    0.009
1715.970   -0.115    0.007   -0.156    0.010
1721.429   -0.117    0.007   -0.175    0.011
1726.871   -0.093    0.007   -0.155    0.011
1732.296   -0.090    0.006   -0.166    0.011
1737.704   -0.090    0.006   -0.185    0.012
1743.095   -0.071    0.007   -0.163    0.016
1748.469   -0.071    0.005   -0.186    0.014
1753.827   -0.059    0.004   -0.179    0.012
1759.169   -0.049    0.005   -0.175    0.019
1764.495   -0.039    0.004   -0.172    0.016
1769.804   -0.034    0.003   -0.192    0.018
1775.098   -0.026    0.002   -0.210    0.014
1780.376   -0.015    0.001   -0.210    0.017
1785.638   -0.004    0.000   -0.224    0.018
1790.885    0.008    0.001   -0.197    0.019
1796.116    0.024    0.002   -0.247    0.016
1801.333    0.037    0.002   -0.239    0.016
1806.534    0.051    0.004   -0.236    0.017
1811.720    0.068    0.004   -0.244    0.015
1816.892    0.079    0.005   -0.231    0.014
1822.049    0.093    0.004   -0.230    0.011
1827.191    0.111    0.005   -0.236    0.010
1832.319    0.118    0.007   -0.220    0.012
1837.432    0.125    0.007   -0.207    0.012
1842.532    0.151    0.006   -0.227    0.009
1847.617    0.166    0.007   -0.226    0.009
1852.688    0.161    0.007   -0.202    0.008
1857.746    0.164    0.008   -0.190    0.009
1862.790    0.176    0.015   -0.189    0.016
1867.820    0.204    0.007   -0.206    0.008
1872.836    0.185    0.008   -0.176    0.008
1877.840    0.189    0.008   -0.171    0.008
1882.829    0.205    0.008   -0.176    0.007
1887.806    0.198    0.016   -0.163    0.013
1892.770    0.211    0.012   -0.167    0.009
1897.721    0.211    0.006   -0.162    0.005
1902.658    0.202    0.007   -0.150    0.005
1907.583    0.214    0.007   -0.155    0.005
1912.496    0.212    0.010   -0.150    0.007
1917.395    0.219    0.008   -0.152    0.005
1922.283    0.215    0.006   -0.148    0.004
