   W                 E3+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.184    0.082   -0.238    0.072
1493.809    0.173    0.061   -0.270    0.067
1500.077   -0.072    0.202   -0.135    0.131
1506.319   -0.114    0.046   -0.232    0.052
1512.535    0.041    0.059   -0.006    0.048
1518.726   -0.015    0.075    0.009    0.059
1524.891    0.111    0.043   -0.078    0.040
1531.032   -0.056    0.079    0.051    0.037
1537.148   -0.107    0.451   -0.220    0.255
1543.240   -0.040    0.586   -0.301    0.285
1549.308    0.002    0.053   -0.199    0.033
1555.352   -0.029    0.052   -0.027    0.066
1561.373   -0.078    0.054   -0.014    0.049
1567.371   -0.049    0.204    0.123    0.231
1573.346   -0.071    0.042   -0.004    0.036
1579.298    0.213    0.045    0.049    0.031
1585.228   -0.184    0.038   -0.079    0.033
1591.136    0.018    0.038   -0.050    0.028
1597.022   -0.010    0.032   -0.038    0.027
1602.886   -0.044    0.028    0.029    0.022
1608.729   -0.018    0.159   -0.106    0.076
1614.551    0.013    0.027    0.119    0.029
1620.352    0.048    0.028    0.034    0.024
1626.132   -0.037    0.023   -0.004    0.022
1631.892   -0.065    0.014    0.060    0.018
1637.631   -0.010    0.037   -0.027    0.029
1643.351   -0.026    0.016    0.006    0.012
1649.050   -0.039    0.013   -0.002    0.011
1654.730   -0.000    0.016   -0.016    0.011
1660.391   -0.059    0.009   -0.028    0.012
1666.032   -0.020    0.012   -0.013    0.010
1671.655   -0.102    0.013   -0.089    0.013
1677.258   -0.025    0.012    0.029    0.010
1682.843    0.039    0.013    0.009    0.015
1688.409    0.058    0.010   -0.032    0.010
1693.957   -0.019    0.015    0.019    0.013
1699.487    0.086    0.011    0.012    0.013
1704.999    0.073    0.010   -0.031    0.010
1710.493   -0.038    0.009   -0.017    0.009
1715.970   -0.028    0.098   -0.053    0.078
1721.429    0.072    0.041    0.012    0.154
1726.871   -0.011    0.038   -0.021    0.027
1732.296   -0.013    0.010   -0.031    0.011
1737.704   -0.016    0.012   -0.000    0.011
1743.095   -0.061    0.010   -0.056    0.011
1748.469    0.073    0.008    0.068    0.011
1753.827   -0.007    0.065    0.032    0.035
1759.169   -0.016    0.010   -0.030    0.009
1764.495    0.032    0.008   -0.022    0.007
1769.804   -0.064    0.008    0.069    0.010
1775.098   -0.033    0.009    0.033    0.014
1780.376   -0.058    0.056    0.018    0.101
1785.638    0.052    0.131    0.029    0.044
1790.885   -0.022    0.011    0.003    0.008
1796.116    0.059    0.008   -0.062    0.009
1801.333    0.034    0.058    0.045    0.046
1806.534    0.008    0.010    0.024    0.007
1811.720   -0.048    0.052   -0.064    0.046
1816.892    0.018    0.007   -0.004    0.007
1822.049    0.026    0.097    0.107    0.046
1827.191   -0.002    0.044    0.044    0.013
1832.319    0.037    0.066    0.051    0.063
1837.432    0.009    0.028    0.017    0.023
1842.532   -0.030    0.036    0.012    0.037
1847.617   -0.030    0.052    0.040    0.041
1852.688    0.024    0.010   -0.021    0.011
1857.746    0.012    0.044    0.039    0.019
1862.790   -0.008    0.041    0.027    0.025
1867.820   -0.058    0.008   -0.003    0.007
1872.836    0.030    0.007   -0.017    0.007
1877.840    0.021    0.080   -0.031    0.073
1882.829    0.032    0.008    0.006    0.006
1887.806    0.007    0.005    0.062    0.007
1892.770   -0.017    0.007    0.011    0.006
1897.721   -0.011    0.028    0.019    0.028
1902.658    0.046    0.007    0.038    0.004
1907.583   -0.017    0.005   -0.018    0.005
1912.496    0.020    0.006    0.013    0.005
1917.395   -0.002    0.025   -0.038    0.030
1922.283   -0.011    0.005   -0.014    0.005
