   W                 E5-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.094    0.028    0.085    0.026
1493.809    0.214    0.033    0.009    0.033
1500.077    0.106    0.129   -0.074    0.159
1506.319    0.158    0.038   -0.029    0.031
1512.535   -0.047    0.039    0.056    0.040
1518.726    0.039    0.032   -0.045    0.024
1524.891    0.338    0.054   -0.203    0.036
1531.032   -0.017    0.037    0.051    0.023
1537.148    0.009    0.056    0.002    0.053
1543.240    0.384    0.131   -0.059    0.755
1549.308    0.076    0.026   -0.019    0.019
1555.352   -0.028    0.098   -0.066    0.073
1561.373    0.139    0.029   -0.048    0.019
1567.371   -0.142    0.099    0.000    0.241
1573.346   -0.061    0.032    0.093    0.019
1579.298   -0.085    0.017    0.110    0.020
1585.228   -0.069    0.018   -0.031    0.014
1591.136   -0.014    0.024    0.003    0.019
1597.022   -0.001    0.013    0.098    0.016
1602.886   -0.012    0.020    0.032    0.017
1608.729   -0.031    0.079   -0.065    0.045
1614.551   -0.053    0.017   -0.017    0.013
1620.352    0.021    0.015    0.028    0.010
1626.132    0.021    0.015    0.014    0.015
1631.892    0.098    0.011    0.053    0.013
1637.631    0.002    0.079   -0.072    0.019
1643.351   -0.005    0.010   -0.003    0.011
1649.050    0.052    0.007   -0.017    0.007
1654.730   -0.010    0.007    0.032    0.006
1660.391   -0.001    0.009    0.043    0.007
1666.032   -0.034    0.007   -0.061    0.008
1671.655    0.036    0.007   -0.027    0.007
1677.258   -0.047    0.008   -0.009    0.007
1682.843   -0.024    0.007   -0.003    0.007
1688.409    0.043    0.008    0.057    0.009
1693.957   -0.037    0.010   -0.016    0.007
1699.487    0.016    0.006    0.006    0.008
1704.999   -0.035    0.007   -0.025    0.006
1710.493   -0.042    0.006    0.008    0.008
1715.970    0.015    0.025    0.018    0.022
1721.429    0.018    0.014    0.002    0.032
1726.871   -0.022    0.015    0.006    0.025
1732.296   -0.006    0.005   -0.007    0.007
1737.704    0.005    0.004   -0.012    0.006
1743.095    0.005    0.005    0.035    0.006
1748.469   -0.015    0.006   -0.008    0.006
1753.827   -0.019    0.019   -0.003    0.027
1759.169    0.019    0.005   -0.005    0.006
1764.495    0.021    0.007   -0.054    0.007
1769.804   -0.003    0.005    0.013    0.006
1775.098    0.012    0.006   -0.015    0.008
1780.376   -0.009    0.041    0.013    0.024
1785.638    0.019    0.031    0.028    0.027
1790.885    0.008    0.005    0.009    0.010
1796.116    0.038    0.006    0.013    0.006
1801.333   -0.045    0.023    0.015    0.055
1806.534    0.045    0.006   -0.003    0.007
1811.720   -0.031    0.026    0.032    0.027
1816.892    0.048    0.007    0.046    0.009
1822.049   -0.018    0.020   -0.005    0.018
1827.191    0.033    0.010   -0.004    0.032
1832.319   -0.007    0.015   -0.010    0.013
1837.432   -0.001    0.027   -0.028    0.019
1842.532   -0.020    0.014    0.010    0.025
1847.617    0.003    0.016    0.007    0.012
1852.688   -0.010    0.005    0.004    0.006
1857.746    0.024    0.033    0.034    0.025
1862.790   -0.019    0.012   -0.005    0.019
1867.820   -0.051    0.005   -0.005    0.006
1872.836   -0.019    0.005   -0.029    0.006
1877.840   -0.000    0.028    0.029    0.021
1882.829    0.018    0.006    0.044    0.005
1887.806    0.033    0.005   -0.025    0.004
1892.770   -0.013    0.005    0.023    0.004
1897.721    0.009    0.019   -0.025    0.013
1902.658   -0.014    0.003   -0.021    0.005
1907.583   -0.033    0.004   -0.020    0.005
1912.496   -0.000    0.004   -0.010    0.003
1917.395    0.007    0.010    0.004    0.007
1922.283   -0.017    0.004    0.020    0.004
