   W                 M1-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.533    0.522    1.788    0.645
1493.809    0.567    0.776   -0.471    0.722
1500.077   -3.622    7.457   -1.939    7.841
1506.319    9.464    0.533   -2.720    0.826
1512.535   -0.136    0.921   -1.935    0.834
1518.726   -0.511    0.953   -2.104    0.550
1524.891    1.409    0.744   -1.726    0.674
1531.032    0.668    0.916   -0.884    0.590
1537.148    4.347    4.862    2.391    8.288
1543.240    0.037    3.952    2.234    2.824
1549.308    3.816    0.635    0.335    0.794
1555.352    2.439    2.122    0.756    3.914
1561.373   -3.654    0.687    0.087    0.518
1567.371   -3.685    4.808    3.071    7.301
1573.346    0.568    0.611    3.530    0.490
1579.298   -0.870    0.282    2.606    0.267
1585.228   -0.248    0.394    0.449    0.386
1591.136    0.676    0.486   -1.287    0.454
1597.022   -0.336    0.417    2.077    0.363
1602.886    2.436    0.539    0.229    0.465
1608.729    0.343    2.592   -0.738    1.768
1614.551   -2.701    0.404    1.983    0.478
1620.352   -1.781    0.370   -0.042    0.260
1626.132   -0.332    0.341    0.185    0.283
1631.892    1.353    0.238   -0.509    0.169
1637.631   -0.358    1.182    0.832    0.892
1643.351    1.620    0.223    0.070    0.169
1649.050    0.624    0.126    0.745    0.121
1654.730   -0.147    0.134    2.099    0.113
1660.391    0.091    0.192    0.003    0.103
1666.032    0.127    0.144   -0.591    0.128
1671.655   -0.439    0.114   -0.449    0.109
1677.258    0.516    0.118   -0.384    0.152
1682.843    0.114    0.142   -0.450    0.167
1688.409    0.267    0.124   -0.276    0.120
1693.957    0.266    0.150   -1.597    0.143
1699.487    0.498    0.137   -0.511    0.180
1704.999    0.331    0.142   -1.835    0.097
1710.493    1.370    0.130    0.572    0.121
1715.970    0.219    0.489    0.091    0.523
1721.429    1.046    1.271    0.826    1.578
1726.871   -0.076    0.462   -0.393    0.494
1732.296    1.214    0.108   -0.507    0.149
1737.704    0.674    0.097   -0.469    0.131
1743.095    1.086    0.104   -0.499    0.131
1748.469    2.110    0.116   -0.474    0.121
1753.827    0.841    0.748   -0.557    1.143
1759.169    0.474    0.117   -0.325    0.090
1764.495    0.240    0.092   -0.244    0.082
1769.804    1.059    0.110   -0.111    0.118
1775.098    1.654    0.104   -0.517    0.152
1780.376   -0.122    1.594   -0.601    0.435
1785.638    1.807    0.826    0.728    1.591
1790.885    0.316    0.120   -0.596    0.125
1796.116    1.726    0.108   -0.243    0.145
1801.333    0.681    1.773    1.428    0.861
1806.534    1.184    0.100    0.192    0.092
1811.720    0.906    0.474    0.156    0.782
1816.892    1.801    0.112   -0.371    0.162
1822.049   -0.583    0.566    0.342    0.603
1827.191    1.276    0.450   -0.353    1.216
1832.319   -0.149    0.629   -0.099    0.803
1837.432    0.556    1.422   -0.987    0.950
1842.532    0.824    0.426    0.225    1.372
1847.617    0.350    0.666   -0.238    0.424
1852.688    0.726    0.081    0.281    0.118
1857.746    1.118    0.450   -0.364    1.027
1862.790    0.991    0.811   -0.326    1.252
1867.820    0.878    0.061    0.267    0.085
1872.836    0.208    0.078   -0.873    0.079
1877.840    0.473    0.774   -0.044    0.391
1882.829    1.598    0.093    0.594    0.082
1887.806   -0.217    0.065    0.074    0.074
1892.770    0.941    0.053    0.098    0.058
1897.721    0.544    0.824   -0.540    1.148
1902.658   -0.481    0.047   -0.061    0.070
1907.583    1.668    0.048    0.044    0.084
1912.496    0.526    0.058   -0.113    0.056
1917.395    1.019    0.257   -0.261    0.617
1922.283    0.193    0.059   -0.038    0.065
