   W                 M4+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.053    0.050    0.143    0.043
1493.809    0.050    0.035    0.186    0.040
1500.077   -0.104    0.203    0.145    0.201
1506.319   -0.021    0.026    0.097    0.033
1512.535   -0.092    0.039    0.052    0.036
1518.726   -0.039    0.043   -0.072    0.036
1524.891    0.064    0.030    0.228    0.031
1531.032   -0.036    0.041    0.029    0.022
1537.148   -0.133    0.137    0.063    0.253
1543.240   -0.032    0.100   -0.054    0.255
1549.308    0.059    0.030    0.004    0.023
1555.352   -0.041    0.062    0.034    0.057
1561.373   -0.083    0.023   -0.096    0.033
1567.371   -0.010    0.158   -0.096    0.079
1573.346    0.062    0.030    0.149    0.029
1579.298   -0.141    0.028   -0.096    0.020
1585.228    0.055    0.020   -0.112    0.020
1591.136    0.042    0.025    0.027    0.021
1597.022    0.121    0.021    0.055    0.016
1602.886    0.053    0.018    0.053    0.016
1608.729   -0.072    0.044    0.007    0.081
1614.551    0.018    0.018    0.073    0.017
1620.352   -0.050    0.018   -0.025    0.017
1626.132    0.054    0.015   -0.023    0.014
1631.892    0.020    0.010   -0.055    0.013
1637.631   -0.013    0.070   -0.063    0.023
1643.351    0.059    0.012   -0.022    0.008
1649.050    0.006    0.010   -0.055    0.009
1654.730    0.015    0.009    0.020    0.007
1660.391   -0.009    0.008    0.013    0.008
1666.032    0.019    0.008   -0.017    0.008
1671.655    0.081    0.009   -0.010    0.008
1677.258   -0.029    0.011   -0.024    0.007
1682.843   -0.029    0.006    0.009    0.008
1688.409    0.014    0.008   -0.008    0.007
1693.957   -0.005    0.008   -0.010    0.010
1699.487   -0.012    0.008   -0.015    0.012
1704.999    0.005    0.011    0.012    0.009
1710.493   -0.014    0.008    0.011    0.007
1715.970    0.010    0.023    0.010    0.022
1721.429    0.014    0.048    0.035    0.073
1726.871    0.040    0.041    0.035    0.042
1732.296   -0.030    0.008    0.015    0.009
1737.704    0.039    0.008    0.015    0.008
1743.095   -0.003    0.007    0.001    0.007
1748.469   -0.029    0.006   -0.030    0.008
1753.827    0.017    0.042    0.031    0.034
1759.169    0.021    0.007   -0.040    0.007
1764.495   -0.025    0.007   -0.031    0.007
1769.804   -0.019    0.007    0.047    0.006
1775.098   -0.040    0.008   -0.014    0.008
1780.376   -0.019    0.027    0.011    0.037
1785.638    0.022    0.016    0.001    0.030
1790.885    0.000    0.008   -0.018    0.009
1796.116   -0.045    0.005    0.016    0.006
1801.333   -0.025    0.027   -0.020    0.033
1806.534    0.025    0.007   -0.009    0.007
1811.720   -0.013    0.019   -0.008    0.017
1816.892   -0.006    0.006    0.017    0.005
1822.049   -0.020    0.032   -0.013    0.039
1827.191    0.025    0.049   -0.049    0.039
1832.319    0.002    0.035   -0.027    0.018
1837.432    0.029    0.024   -0.030    0.029
1842.532    0.028    0.035    0.032    0.034
1847.617    0.050    0.022   -0.007    0.048
1852.688   -0.007    0.007    0.033    0.006
1857.746    0.008    0.030   -0.032    0.013
1862.790    0.021    0.023   -0.019    0.023
1867.820    0.028    0.004   -0.004    0.005
1872.836   -0.009    0.006   -0.010    0.007
1877.840   -0.016    0.041    0.043    0.020
1882.829    0.014    0.004    0.015    0.004
1887.806    0.015    0.005   -0.052    0.006
1892.770    0.001    0.005   -0.014    0.005
1897.721    0.003    0.019   -0.016    0.017
1902.658   -0.032    0.005   -0.043    0.005
1907.583    0.004    0.004    0.010    0.004
1912.496    0.024    0.004    0.005    0.005
1917.395    0.012    0.014    0.014    0.013
1922.283    0.025    0.004    0.018    0.004
