   W                 E0+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   12.470    0.242    9.497    0.384
1493.809   10.956    0.348   10.213    0.293
1500.077    8.278    0.295   12.159    0.189
1506.319    5.743    0.250   13.234    0.112
1512.535    5.640    0.240   12.803    0.118
1518.726    3.303    0.200   13.225    0.071
1524.891    3.203    0.197   12.853    0.070
1531.032    1.166    0.197   12.741    0.053
1537.148   -0.569    0.180   12.337    0.049
1543.240   -0.553    0.177   11.930    0.047
1549.308   -1.941    0.170   11.385    0.053
1555.352   -3.069    0.164   10.646    0.063
1561.373   -2.979    0.161   10.307    0.062
1567.371   -3.866    0.150    9.515    0.071
1573.346   -3.731    0.146    9.182    0.069
1579.298   -4.454    0.138    8.400    0.080
1585.228   -5.006    0.130    7.514    0.091
1591.136   -4.839    0.128    7.230    0.090
1597.022   -5.230    0.113    6.405    0.094
1602.886   -5.002    0.110    6.114    0.092
1608.729   -5.242    0.102    5.346    0.100
1614.551   -4.930    0.099    5.029    0.097
1620.352   -4.967    0.092    4.344    0.103
1626.132   -4.864    0.087    3.753    0.109
1631.892   -4.578    0.084    3.552    0.106
1637.631   -4.313    0.081    3.115    0.105
1643.351   -4.010    0.078    2.900    0.101
1649.050   -3.753    0.079    2.680    0.102
1654.730   -3.517    0.077    2.554    0.098
1660.391   -3.287    0.078    2.429    0.099
1666.032   -3.017    0.081    2.359    0.095
1671.655   -2.954    0.079    2.339    0.094
1677.258   -2.750    0.080    2.314    0.092
1682.843   -2.726    0.081    2.317    0.091
1688.409   -2.605    0.081    2.302    0.091
1693.957   -2.562    0.082    2.287    0.091
1699.487   -2.503    0.081    2.294    0.089
1704.999   -2.463    0.080    2.238    0.089
1710.493   -2.444    0.080    2.250    0.089
1715.970   -2.397    0.079    2.184    0.091
1721.429   -2.365    0.084    2.206    0.096
1726.871   -2.360    0.078    2.105    0.095
1732.296   -2.339    0.079    2.129    0.093
1737.704   -2.295    0.080    2.059    0.103
1743.095   -2.286    0.081    2.056    0.097
1748.469   -2.262    0.090    2.005    0.098
1753.827   -2.262    0.077    1.886    0.107
1759.169   -2.221    0.092    1.908    0.123
1764.495   -2.233    0.074    1.747    0.108
1769.804   -2.225    0.074    1.722    0.107
1775.098   -2.163    0.100    1.776    0.105
1780.376   -2.215    0.070    1.565    0.119
1785.638   -2.128    0.097    1.671    0.109
1790.885   -2.208    0.102    1.479    0.134
1796.116   -2.152    0.096    1.344    0.116
1801.333   -2.130    0.088    1.578    0.147
1806.534   -2.131    0.098    1.429    0.128
1811.720   -2.122    0.094    1.335    0.124
1816.892   -2.117    0.103    1.332    0.134
1822.049   -2.129    0.087    1.124    0.113
1827.191   -2.038    0.093    1.183    0.119
1832.319   -2.018    0.086    0.925    0.102
1837.432   -2.037    0.079    0.943    0.111
1842.532   -2.062    0.073    1.051    0.105
1847.617   -2.015    0.079    1.075    0.111
1852.688   -1.927    0.084    0.852    0.105
1857.746   -1.869    0.088    0.779    0.116
1862.790   -1.861    0.085    0.681    0.099
1867.820   -1.810    0.074    0.628    0.101
1872.836   -1.880    0.073    0.776    0.116
1877.840   -1.686    0.080    0.410    0.081
1882.829   -1.758    0.070    0.619    0.099
1887.806   -1.550    0.074    0.450    0.095
1892.770   -1.546    0.069    0.541    0.088
1897.721   -1.480    0.062    0.394    0.084
1902.658   -1.505    0.053    0.324    0.068
1907.583   -1.408    0.054    0.601    0.078
1912.496   -1.289    0.064    0.274    0.060
1917.395   -1.119    0.063    0.230    0.052
1922.283   -1.272    0.046    0.456    0.073
