   W                 M1-(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.018    0.334   -0.143    0.416
1493.809    0.059    0.382   -0.070    0.360
1500.077    0.100    0.315    0.045    0.256
1506.319    0.256    0.266   -0.017    0.204
1512.535    0.135    0.255    0.011    0.204
1518.726    0.187    0.203   -0.014    0.175
1524.891    0.199    0.201   -0.006    0.173
1531.032    0.213    0.197   -0.037    0.161
1537.148    0.250    0.182   -0.054    0.153
1543.240    0.238    0.177   -0.015    0.150
1549.308    0.236    0.171   -0.038    0.145
1555.352    0.218    0.168   -0.061    0.141
1561.373    0.192    0.166   -0.005    0.140
1567.371    0.190    0.157   -0.054    0.136
1573.346    0.182    0.154   -0.030    0.134
1579.298    0.183    0.150   -0.090    0.132
1585.228    0.218    0.147   -0.127    0.133
1591.136    0.183    0.145   -0.064    0.131
1597.022    0.200    0.136   -0.116    0.128
1602.886    0.178    0.133   -0.087    0.125
1608.729    0.181    0.130   -0.141    0.125
1614.551    0.167    0.128   -0.105    0.123
1620.352    0.146    0.124   -0.155    0.123
1626.132    0.084    0.123   -0.235    0.122
1631.892    0.095    0.120   -0.204    0.120
1637.631    0.019    0.118   -0.272    0.116
1643.351    0.013    0.113   -0.223    0.111
1649.050   -0.032    0.114   -0.337    0.109
1654.730   -0.042    0.110   -0.308    0.104
1660.391   -0.087    0.109   -0.448    0.102
1666.032   -0.115    0.108   -0.595    0.098
1671.655   -0.080    0.107   -0.636    0.093
1677.258   -0.056    0.104   -0.782    0.091
1682.843   -0.012    0.104   -0.789    0.090
1688.409    0.076    0.103   -0.991    0.089
1693.957    0.112    0.102   -0.997    0.087
1699.487    0.262    0.101   -1.099    0.085
1704.999    0.451    0.099   -1.163    0.088
1710.493    0.501    0.100   -1.217    0.088
1715.970    0.693    0.096   -1.200    0.089
1721.429    0.711    0.097   -1.189    0.090
1726.871    0.901    0.095   -1.141    0.096
1732.296    0.895    0.094   -1.114    0.095
1737.704    1.028    0.095   -1.004    0.094
1743.095    1.031    0.097   -0.983    0.093
1748.469    1.128    0.111   -0.848    0.103
1753.827    1.076    0.090   -0.902    0.111
1759.169    1.155    0.107   -0.696    0.119
1764.495    1.107    0.089   -0.845    0.109
1769.804    1.117    0.083   -0.660    0.108
1775.098    1.252    0.113   -0.491    0.123
1780.376    1.076    0.086   -0.663    0.126
1785.638    1.192    0.107   -0.395    0.126
1790.885    1.060    0.113   -0.611    0.166
1796.116    1.142    0.105   -0.579    0.151
1801.333    1.167    0.101   -0.397    0.128
1806.534    1.125    0.108   -0.391    0.147
1811.720    1.103    0.105   -0.498    0.155
1816.892    1.072    0.110   -0.336    0.168
1822.049    1.009    0.100   -0.550    0.143
1827.191    0.997    0.101   -0.254    0.122
1832.319    0.991    0.098   -0.517    0.116
1837.432    1.093    0.098   -0.511    0.136
1842.532    0.999    0.087   -0.386    0.127
1847.617    1.033    0.095   -0.238    0.120
1852.688    1.128    0.111   -0.562    0.121
1857.746    1.177    0.112   -0.398    0.128
1862.790    0.876    0.094   -0.306    0.106
1867.820    0.892    0.090   -0.241    0.099
1872.836    0.884    0.095   -0.160    0.110
1877.840    1.076    0.111   -0.492    0.094
1882.829    0.845    0.083   -0.164    0.098
1887.806    0.897    0.090   -0.159    0.087
1892.770    0.954    0.085   -0.163    0.088
1897.721    0.770    0.075   -0.199    0.075
1902.658    0.742    0.075   -0.343    0.074
1907.583    0.851    0.077   -0.036    0.071
1912.496    0.893    0.096   -0.395    0.067
1917.395    0.807    0.076   -0.284    0.049
1922.283    0.791    0.063   -0.138    0.071
